,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,-18629.59786,-26954.25921,-41316.79729,-19699.08413,-28052.35571,-58441.89923,-13243.63211,-21089.89907,-13098.92691,-43195.75199,-70256.67372,-66501.42419,-38623.18857,-23158.55302,-35580.98204,-30704.74782,B
2,-37192.16283,-53852.19203,-83531.48651,-40552.76997,-55962.37552,-117661.4827,-27391.19111,-42121.61656,-24751.74066,-83755.42864,-132457.6446,-109311.2957,-57643.60668,-44903.98406,-67153.6481,-56706.73331,B
4,-37607.54765,-54287.31344,-82785.40764,-39571.90836,-56173.19717,-117080.3821,-26588.987,-42498.24345,-24885.96289,-84136.16826,-132837.0208,-109750.9768,-58087.42292,-45202.75983,-67535.88528,-56792.74282,B
6,-37183.26684,-53841.17262,-82965.74151,-39805.01471,-56028.69314,-117239.6606,-26816.14778,-42103.51164,-24906.10181,-83420.84538,-132190.966,-108919.8943,-57225.98669,-45174.75309,-66604.53279,-56213.83264,B
8,-37470.77733,-54155.43814,-83381.28279,-40348.13974,-56066.80287,-117628.0892,-27200.19546,-42372.91722,-24751.60655,-84151.90389,-132940.8894,-109836.1817,-58125.30912,-44955.41542,-67662.82084,-57062.08134,B
10,-37450.28078,-54126.51499,-82484.64256,-39184.88791,-56166.22343,-116895.1308,-26303.8458,-42344.08347,-24994.50296,-83627.91194,-132452.772,-109187.5341,-57480.05897,-45369.68265,-66849.4185,-56288.04043,B
12,-37204.56805,-53881.45046,-83478.31171,-40468.19096,-55968.83517,-117749.5039,-27330.1932,-42122.48827,-24746.08567,-83684.93124,-132565.8718,-109320.1917,-57560.56995,-44919.02678,-67072.66773,-56701.14537,B
14,-37609.06757,-54308.34643,-82758.67495,-39518.06301,-56170.51496,-117188.1398,-26558.36511,-42488.60985,-24874.5188,-84088.38023,-132968.2479,-109788.3042,-58036.19272,-45214.04746,-67508.83967,-56821.04013,B
16,-37184.27267,-53863.43495,-82956.6667,-39774.50458,-56028.29081,-117360.5835,-26807.83293,-42102.59522,-24901.96674,-83389.53059,-132336.4535,-108976.7795,-57192.28026,-45188.23119,-66594.78743,-56242.35347,B
18,-37457.96978,-54167.23986,-83409.22247,-40350.48668,-56053.23536,-117782.4951,-27230.07974,-42356.44398,-24725.85734,-84138.35873,-133096.7928,-109910.3001,-58100.36458,-44948.0617,-67655.24359,-57076.96761,B
20,-37458.10389,-54159.59557,-82540.209,-39220.29307,-56174.67239,-117066.524,-26355.94772,-42347.14566,-24988.71386,-83666.20048,-132652.2389,-109315.5201,-57519.5545,-45378.08691,-66904.29204,-56327.51361,B
22,-37215.49806,-53917.81675,-83543.42235,-40517.87889,-55974.15489,-117923.6016,-27388.12892,-42127.62918,-24750.17604,-83727.31015,-132766.054,-109451.8434,-57613.1189,-44937.33286,-67130.6258,-56727.1181,B
24,-37621.15987,-54345.67384,-82831.22871,-39580.6479,-56169.86676,-117364.048,-26618.62542,-42497.90817,-24869.02027,-84141.26446,-133173.9063,-109930.2602,-58104.38789,-45222.54112,-67572.34097,-56845.82822,B
26,-37205.43977,-53907.40084,-83004.83471,-39809.17213,-56037.1421,-117511.6813,-26841.3382,-42109.3678,-24908.38169,-83442.75009,-132532.9924,-109115.7403,-57268.70087,-45207.29723,-66665.35189,-56258.29026,B
28,-37479.3604,-54209.3729,-83475.00366,-40410.81404,-56066.64641,-117942.0418,-27278.38186,-42369.31859,-24731.48998,-84183.95629,-133282.9157,-110041.9295,-58171.48783,-44954.23078,-67710.78768,-57085.08129,B
30,-37460.8308,-54183.95897,-82571.85907,-39229.99373,-56168.16803,-117203.0484,-26364.53079,-42341.91535,-24989.80909,-83707.4618,-132830.427,-109445.0709,-57585.15687,-45388.05579,-66947.22974,-56325.90429,B
32,-37213.77697,-53938.93915,-83575.18418,-40529.01006,-55972.65732,-118061.2213,-27402.07641,-42120.52132,-24755.71927,-83761.35185,-132933.178,-109572.3193,-57661.13045,-44958.00822,-67148.52955,-56728.70508,B
34,-37622.83625,-54373.92645,-82869.74077,-39606.37475,-56174.42652,-117508.2839,-26645.11223,-42499.22693,-24873.64708,-84188.94073,-133350.5745,-110070.048,-58168.02331,-45232.15237,-67610.80833,-56865.54246,B
36,-37196.65554,-53924.96931,-83014.71418,-39793.88354,-56034.03521,-117635.2641,-26838.63364,-42107.28909,-24905.61007,-83476.16595,-132695.9366,-109237.9596,-57309.98454,-45216.12617,-66672.72796,-56251.31652,B
38,-37451.97951,-54209.77523,-83486.71597,-40396.79949,-56050.48609,-118071.1455,-27279.32063,-42352.7783,-24730.32769,-84215.24873,-133443.3342,-110162.4948,-58211.07277,-44965.96545,-67720.80126,-57083.2708,B
40,-37459.26618,-54209.08233,-82586.14183,-39229.79256,-56170.98435,-117331.3698,-26374.16439,-42351.30308,-24985.4505,-83748.79017,-133000.6803,-109577.9073,-57638.64459,-45403.29968,-66970.14027,-56335.44848,B
42,-37191.20171,-53942.18015,-83568.36689,-40496.13064,-55965.41535,-118171.4154,-27383.30095,-42101.34352,-24746.17508,-83778.33918,-133080.6548,-109677.5961,-57692.06526,-44968.87117,-67151.68114,-56718.1774,B
44,-37631.1958,-54405.73298,-82899.89327,-39616.29893,-56191.83853,-117653.5478,-26661.69723,-42508.54761,-24856.36918,-84216.43337,-133511.2388,-110185.5842,-58197.01352,-45228.93372,-67599.25247,-56856.5347,B
46,-37201.03648,-53956.57467,-83023.14079,-39780.76306,-56047.24509,-117763.1161,-26832.48691,-42108.04905,-24914.03668,-83514.23097,-132866.3686,-109362.5482,-57363.94165,-45246.5916,-66699.57241,-56267.67799,B
48,-37460.49553,-54240.84416,-83511.3923,-40407.7295,-56065.68528,-118211.6038,-27290.54121,-42351.5713,-24719.84473,-84243.99307,-133603.5739,-110276.2652,-58241.35938,-44981.81283,-67710.00537,-57089.43988,B
50,-37471.09025,-54241.73823,-82599.32936,-39226.4845,-56185.31182,-117461.6581,-26371.54923,-42352.15245,-24987.50686,-83792.71135,-133169.0113,-109705.804,-57685.15857,-45421.00226,-66984.19952,-56359.78953,B
52,-37212.48057,-53980.62515,-83592.23856,-40509.04995,-55986.33659,-118312.6784,-27395.21443,-42115.69334,-24752.59003,-83812.62676,-133238.9052,-109791.59,-57721.63662,-44984.6515,-67145.37795,-56726.89458,B
54,-37634.01212,-54423.61437,-82916.3218,-39618.46705,-56191.23503,-117786.0713,-26660.24436,-42500.32216,-24864.48286,-84263.05911,-133679.2345,-110314.1067,-58251.2612,-45246.18927,-67637.07163,-56889.65999,B
56,-37220.37074,-53988.9847,-83035.27779,-39782.14887,-56065.48411,-117886.7883,-26827.05543,-42123.89643,-24918.19411,-83548.09386,-133021.5344,-109475.8269,-57395.16704,-45270.55267,-66704.40038,-56280.37379,B
58,-37461.54606,-54261.45247,-83522.63522,-40414.59148,-56065.55117,-118335.7007,-27284.77446,-42355.43816,-24724.91857,-84267.03772,-133749.3296,-110376.468,-58271.10955,-44991.46879,-67736.42513,-57113.35625,B
60,-37479.9639,-54270.16965,-82592.55679,-39212.51466,-56188.48576,-117571.2487,-26344.86125,-42357.94155,-24990.36789,-83814.21373,-133318.455,-109806.8338,-57717.21097,-45429.85355,-67011.69217,-56383.7506,B
62,-37216.10155,-54004.80974,-83577.01702,-40493.80606,-55986.91773,-118411.339,-27368.34763,-42120.74484,-24751.60655,-83806.21181,-133364.9243,-109862.065,-57717.81447,-44983.17629,-67132.90568,-56726.62636,B
64,-37630.99463,-54443.03804,-82896.18288,-39597.07643,-56178.15926,-117879.0769,-26628.86252,-42497.99758,-24856.21272,-84249.62571,-133800.8504,-110376.7363,-58239.37008,-45244.66935,-67621.13483,-56897.23723,B
66,-37222.15888,-54013.50457,-82992.60831,-39732.01391,-56054.68822,-117964.0583,-26778.19452,-42118.77789,-24909.87926,-83520.4224,-133135.2378,-109523.2126,-57363.29345,-45265.18825,-66667.49765,-56279.9491,B
68,-37471.6714,-54288.74395,-83507.5925,-40392.46325,-56063.62892,-118431.2544,-27265.32844,-42350.14079,-24714.72618,-84236.12526,-133863.1,-110422.1103,-58227.41189,-44986.59611,-67683.63031,-57113.60212,B
70,-37494.44783,-54303.89843,-82574.83185,-39177.1542,-56183.32251,-117664.8355,-26321.86131,-42353.98529,-24975.0793,-83795.46062,-133444.4071,-109866.5577,-57676.93313,-45429.98766,-66964.28412,-56386.36576,B
72,-37223.1647,-54029.53077,-83555.31347,-40453.52822,-55981.28509,-118501.1036,-27340.45265,-42104.58453,-24744.81162,-83789.448,-133491.1669,-109917.5197,-57677.2237,-45005.97507,-67098.90867,-56739.67978,B
74,-37664.58931,-54490.96018,-82905.45886,-39604.3631,-56196.39828,-117995.0378,-26637.46794,-42504.39018,-24846.98145,-84246.27295,-133942.5828,-110450.6758,-58210.64808,-45253.25242,-67605.64507,-56921.31006,B
76,-37252.71371,-54058.0963,-82993.86001,-39724.2355,-56070.91559,-118067.9715,-26776.22757,-42127.2939,-24910.32629,-83517.1367,-133275.0256,-109594.2017,-57331.62103,-45274.06189,-66654.62305,-56285.7382,B
78,-37496.01245,-54324.64085,-83526.41267,-40421.96756,-56075.85532,-118545.4942,-27290.34004,-42355.95225,-24738.50843,-84241.64614,-134010.5097,-110502.3978,-58221.7569,-45011.49595,-67720.37658,-57143.5758,B
80,-37523.43804,-54346.25499,-82576.79881,-39189.55942,-56196.55474,-117766.4018,-26327.49395,-42363.52949,-24980.35431,-83794.61125,-133586.1619,-109942.1513,-57666.9866,-45436.02263,-66989.87687,-56402.70488,B
82,-37247.14813,-54070.63563,-83557.21337,-40459.85376,-55999.9041,-118601.1277,-27345.16887,-42113.8158,-24747.35972,-83771.90188,-133614.1239,-109975.8354,-57645.46187,-45014.98282,-67090.37031,-56733.5554,B
84,-37670.9372,-54516.1953,-82910.64446,-39611.98504,-56197.27,-118097.3864,-26648.10737,-42500.27746,-24848.09903,-84248.73164,-134076.9391,-110526.7165,-58204.63547,-45265.79175,-67629.78496,-56939.86201,B
86,-37273.92552,-54091.22158,-82991.06604,-39719.38517,-56080.57154,-118165.0228,-26778.64156,-42135.56405,-24906.25827,-83522.61287,-133405.2245,-109669.7059,-57321.92037,-45297.73239,-66665.5754,-56292.84606,B
88,-37501.131,-54340.6894,-83530.10071,-40410.12113,-56072.52491,-118654.079,-27292.4411,-42345.29046,-24712.06632,-84243.32252,-134131.2539,-110571.5988,-58192.49847,-45015.3181,-67700.52823,-57139.41838,B
90,-37554.66343,-54389.86324,-82603.93382,-39220.33777,-56217.90066,-117890.4763,-26362.51913,-42385.38949,-24979.79551,-83839.40415,-133743.8981,-110057.151,-57688.57839,-45455.04397,-67029.39475,-56432.61152,B
92,-37267.73408,-54097.21185,-83582.09086,-40491.90617,-56009.56005,-118717.9603,-27378.09299,-42127.91975,-24747.80676,-83805.5189,-133758.9856,-110074.0489,-57658.26942,-45035.97111,-67123.92028,-56739.45626,B
94,-37682.22483,-54537.09418,-82938.49473,-39651.36881,-56202.23209,-118214.3308,-26680.65151,-42503.38435,-24857.08444,-84291.62464,-134230.205,-110637.5811,-58246.25441,-45290.08809,-67700.1706,-56971.33326,B
96,-37281.4357,-54116.61316,-82990.26137,-39723.5873,-56083.32081,-118261.7388,-26782.03902,-42134.96055,-24902.52553,-83548.04916,-133542.8442,-109763.5162,-57329.69878,-45297.2183,-66680.17109,-56291.4826,B
98,-37513.37975,-54372.71945,-83551.08899,-40451.15893,-56086.27124,-118761.2109,-27320.91723,-42349.64905,-24721.65522,-84272.42449,-134269.9017,-110669.7229,-58214.15731,-45017.41916,-67731.91008,-57148.15791,B
100,-37558.57498,-54413.95842,-82605.36434,-39222.39414,-56219.30882,-117979.2351,-26360.77569,-42378.88514,-24980.06373,-83864.30399,-133876.0863,-110148.7932,-57707.42091,-45465.34812,-67049.62308,-56436.2325,B
102,-37264.78365,-54117.37312,-83574.8489,-40477.22107,-56011.99639,-118800.617,-27367.74413,-42113.27936,-24760.07787,-83820.42752,-133882.5013,-110154.4482,-57669.26648,-45046.90111,-67132.14572,-56745.22301,B
104,-37703.12371,-54579.6072,-82966.61323,-39677.74387,-56213.85499,-118321.485,-26704.74669,-42513.19677,-24840.43239,-84309.03665,-134358.8393,-110725.6917,-58245.96384,-45280.25332,-67683.36209,-56965.18653,B
106,-37295.85258,-54142.72,-82992.92123,-39713.3055,-56086.80768,-118341.8028,-26774.64059,-42131.04899,-24903.9784,-83573.53015,-133668.9527,-109856.2312,-57359.71717,-45321.78287,-66711.82116,-56303.03845,B
