,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-14164.72514,-21163.39161,-29527.79436,-12425.75943,-22318.10508,-48332.80871,-2503.261269,-13553.11436,-4948.855036,-32135.103,-54110.04175,-49140.13137,-5686.350845,-17983.23011,-26614.75856,-16439.59629,E,,,,,,,,,,,,,,
2,-28376.79128,-42374.61595,-58564.94559,-24092.34185,-44629.95167,-96250.23261,-4623.592451,-27148.51822,-8091.264438,-63698.64955,-106907.4326,-94837.20003,-21866.73395,-33599.76811,-53319.19233,-26844.95918,E,,,,,,,,,,,,,,
4,-28175.44677,-42171.25978,-58963.79011,-24828.13893,-44591.57373,-96595.76822,-4672.296902,-26962.93169,-7990.480422,-63494.35461,-106731.502,-94510.68574,-21632.80059,-33454.72764,-53099.51938,-26968.40787,E,,,,,,,,,,,,,,
6,-28379.29468,-42384.11544,-58848.61158,-24494.36033,-44638.89237,-96540.62647,-4878.93878,-27150.93221,-7974.767145,-63816.06326,-107099.3223,-94916.52637,-21951.17884,-33449.13971,-53561.12761,-26884.67823,E,,,,,,,,,,,,,,
8,-28246.65943,-42245.04289,-58624.89296,-24259.62231,-44608.29283,-96350.34607,-4477.277932,-27025.36011,-8078.926275,-63528.2175,-106782.6652,-94703.22367,-21639.64023,-33585.95474,-53000.74703,-26894.08832,E,,,,,,,,,,,,,,
10,-28250.90626,-42249.33442,-59102.6615,-24954.73921,-44628.25294,-96790.76484,-4923.128178,-27029.62929,-7923.067561,-63715.56982,-107040.1349,-94775.57627,-21813.02271,-33381.45863,-53422.50209,-26960.36124,E,,,,,,,,,,,,,,
12,-28386.38018,-42388.16111,-58578.69191,-24087.37976,-44644.65912,-96360.67258,-4641.13857,-27160.9905,-8088.895153,-63748.51629,-107059.1786,-95008.32498,-21852.27237,-33595.1413,-53314.67728,-26844.82507,E,,,,,,,,,,,,,,
14,-28189.66248,-42187.10717,-58982.09619,-24850.64713,-44607.35406,-96702.98954,-4704.014028,-26981.0813,-8010.999323,-63553.81025,-106888.5454,-94699.87091,-21657.43222,-33473.05607,-53146.79332,-26988.30092,E,,,,,,,,,,,,,,
16,-28381.82043,-42385.14362,-58859.27336,-24513.71694,-44639.2947,-96638.75063,-4889.980541,-27158.88943,-7982.433794,-63853.30127,-107238.3055,-95080.3423,-21958.21964,-33442.74711,-53603.90885,-26876.25162,E,,,,,,,,,,,,,,
18,-28259.66814,-42258.38688,-58626.0329,-24270.77583,-44620.83216,-96437.89785,-4484.743414,-27041.2969,-8097.992313,-63563.68972,-106916.7533,-94872.18051,-21651.55371,-33589.93335,-53052.51367,-26889.19328,E,,,,,,,,,,,,,,
20,-28242.4573,-42240.57254,-59085.71888,-24948.2572,-44622.86617,-96861.70928,-4893.2886,-27021.31444,-7930.063657,-63730.90312,-107151.4019,-94921.15318,-21805.42312,-33375.91539,-53454.84507,-26946.14553,E,,,,,,,,,,,,,,
22,-28379.96523,-42383.98133,-58553.74736,-24057.38372,-44636.07605,-96429.69476,-4604.548765,-27153.12268,-8073.114821,-63757.36758,-107163.5389,-95147.08461,-21818.18596,-33570.44263,-53301.93678,-26811.61038,E,,,,,,,,,,,,,,
24,-28182.33111,-42181.56394,-58949.82027,-24800.8251,-44603.30839,-96767.72019,-4653.990824,-26975.87335,-7995.71073,-63560.20284,-106985.1496,-94833.66845,-21604.99502,-33461.61198,-53097.01599,-26961.99291,E,,,,,,,,,,,,,,
