,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-12791.9257,-21133.12735,-29970.20244,-9029.970649,-18313.99123,-44839.34281,-971.6303315,-8494.489908,-1544.371431,-31190.6971,-55400.20679,-51430.26876,-4263.595255,-14491.12767,-24791.39266,-13063.72292,G,,,,,,,,,,,,,,
2,-26002.92426,-42703.85715,-59804.28276,-17795.34135,-36430.90712,-89577.29811,-1889.191793,-17402.0177,-1110.211147,-60514.30828,-104720.9403,-103608.941,-21560.38094,-26579.48751,-53065.1424,-26537.39918,G,,,,,,,,,,,,,,
4,-25922.61445,-42610.76213,-59109.47878,-16992.48904,-36226.12044,-88946.68835,-1122.683421,-17315.27058,-1389.160918,-60063.83122,-104208.9288,-103247.0662,-21077.53856,-27013.20076,-52237.16673,-26116.53818,G,,,,,,,,,,,,,,
6,-25715.48083,-42400.94631,-60012.08693,-18109.04808,-36591.83968,-89803.31895,-2041.138952,-17116.9212,-1041.278367,-60233.30214,-104452.8311,-103200.3287,-21188.49262,-26503.7151,-52613.19013,-26564.86947,G,,,,,,,,,,,,,,
8,-26118.39338,-42818.67806,-59221.95276,-17061.10889,-36167.2683,-89096.35563,-1275.211725,-17505.32746,-1294.680094,-60508.00508,-104710.569,-103833.4866,-21584.52083,-26876.20692,-52851.77265,-26252.77206,G,,,,,,,,,,,,,,
10,-25639.95429,-42323.22929,-59585.92857,-17593.46039,-36472.21315,-89447.14391,-1562.789269,-17040.58999,-1197.964096,-59953.72652,-104147.9533,-102984.3662,-20843.6052,-26779.40151,-52021.42769,-26287.50667,G,,,,,,,,,,,,,,
12,-25998.72214,-42702.69486,-59834.8376,-17827.84078,-36434.59516,-89701.10443,-1908.391942,-17400.58719,-1105.24906,-60625.53056,-104885.8514,-103821.1484,-21644.40115,-26590.59633,-53060.91792,-26557.89573,G,,,,,,,,,,,,,,
14,-25906.52119,-42604.526,-59102.99678,-16964.01292,-36203.90281,-89037.34702,-1093.156766,-17307.8498,-1370.854839,-60175.20996,-104373.9071,-103472.193,-21153.28862,-27004.30477,-52221.54286,-26104.37883,G,,,,,,,,,,,,,,
16,-25685.82007,-42386.64119,-60017.09372,-18098.87804,-36583.94952,-89899.23029,-2021.51412,-17106.10296,-1041.70305,-60337.70714,-104607.6393,-103410.1669,-21248.55176,-26503.02219,-52574.18633,-26562.96957,G,,,,,,,,,,,,,,
18,-26120.24857,-42835.82185,-59251.36766,-17087.70747,-36170.75517,-89215.24456,-1291.819071,-17532.70835,-1310.192205,-60630.11266,-104882.901,-104066.6823,-21668.60809,-26876.27397,-52837.82516,-26260.05873,G,,,,,,,,,,,,,,
20,-25621.24588,-42319.40714,-59591.09182,-17594.48857,-36467.04989,-89543.41287,-1554.072088,-17047.65314,-1231.424657,-60066.98281,-104315.8149,-103207.4366,-20940.05298,-26787.53755,-52031.41892,-26285.85265,G,,,,,,,,,,,,,,
22,-25964.09928,-42683.4053,-59841.20784,-17821.5823,-36424.02278,-89796.94871,-1898.065436,-17390.79713,-1111.328734,-60723.27473,-105040.0114,-104015.8992,-21708.17068,-26577.87819,-53032.46415,-26535.52163,G,,,,,,,,,,,,,,
24,-25892.68546,-42603.58722,-59104.13672,-16946.48915,-36190.4247,-89125.09997,-1081.28799,-17311.40373,-1377.023921,-60272.44005,-104526.9048,-103673.3363,-21219.91917,-27012.26199,-52193.91611,-26096.62278,G,,,,,,,,,,,,,,
26,-25674.19716,-42382.52847,-60025.31916,-18091.14433,-36580.86498,-89989.95602,-2017.647268,-17101.92318,-1037.187998,-60415.93825,-104741.9733,-103590.8584,-21300.13958,-26501.65874,-52532.7462,-26553.53714,G,,,,,,,,,,,,,,
28,-26116.29231,-42833.60902,-59280.112,-17098.10103,-36171.8504,-89320.67774,-1313.813187,-17527.76862,-1292.243754,-60719.51964,-105030.6013,-104265.3447,-21737.295,-26868.83084,-52824.59293,-26262.53978,G,,,,,,,,,,,,,,
30,-25634.36635,-42331.58884,-59636.21999,-17639.6838,-36472.07904,-89650.56713,-1596.428644,-17051.31883,-1238.130181,-60170.35963,-104472.2547,-103432.094,-21050.18002,-26812.92913,-52068.72398,-26309.99253,G,,,,,,,,,,,,,,
32,-25959.36071,-42676.07393,-59864.14073,-17825.73972,-36412.80221,-89892.72593,-1904.52509,-17369.47356,-1093.179118,-60809.57482,-105179.8439,-104218.2719,-21794.20254,-26573.25138,-53051.91017,-26524.68103,G,,,,,,,,,,,,,,
34,-25905.26949,-42610.62802,-59124.40975,-16949.35017,-36192.30225,-89223.71587,-1089.87106,-17310.66612,-1383.438871,-60361.22118,-104667.609,-103880.8946,-21299.29022,-27014.16189,-52202.96856,-26083.56936,G,,,,,,,,,,,,,,
36,-25682.98139,-42386.30591,-60051.04602,-18108.0646,-36581.02144,-90095.83623,-2023.481074,-17099.33038,-1043.535893,-60505.23347,-104876.8213,-103801.8812,-21379.7565,-26506.06203,-52545.26318,-26547.63628,G,,,,,,,,,,,,,,
38,-26120.24857,-42835.37481,-59292.98661,-17089.94264,-36167.42476,-89412.69987,-1295.820033,-17524.41585,-1301.765597,-60811.45237,-105172.1326,-104470.6901,-21815.54846,-26875.58107,-52848.71046,-26258.85174,G,,,,,,,,,,,,,,
40,-25629.27015,-42324.14571,-59625.28999,-17595.31559,-36464.90413,-89720.52809,-1544.796115,-17044.90388,-1235.090343,-60240.20883,-104595.9046,-103617.8817,-21086.90394,-26810.76101,-52030.56956,-26282.56694,G,,,,,,,,,,,,,,
42,-25961.01474,-42672.40824,-59898.00363,-17839.39664,-36419.79831,-89993.10762,-1897.305476,-17378.59307,-1091.301571,-60889.01292,-105316.3013,-104407.3229,-21838.72722,-26571.48559,-53027.41266,-26530.69365,G,,,,,,,,,,,,,,
44,-25903.43665,-42605.80005,-59147.23088,-16938.1743,-36175.11376,-89310.32888,-1067.340501,-17314.62238,-1373.648807,-60447.58832,-104823.1995,-104092.7445,-21369.72056,-27019.95099,-52211.59634,-26097.00276,G,,,,,,,,,,,,,,
46,-25674.57714,-42378.54986,-60076.01292,-18107.17053,-36568.3033,-90183.47742,-2003.543318,-17094.79297,-1032.941167,-60581.65408,-105023.8958,-103992.3181,-21435.54645,-26513.41576,-52531.80743,-26559.30389,G,,,,,,,,,,,,,,
48,-26129.61395,-42846.39422,-59324.27905,-17090.45673,-36157.32177,-89507.963,-1286.231135,-17531.09903,-1272.08248,-60888.00709,-105324.415,-104663.5633,-21864.20821,-26862.25943,-52825.97874,-26254.26963,G,,,,,,,,,,,,,,
50,-25637.47324,-42335.67921,-59658.30352,-17606.40205,-36465.32881,-89813.77957,-1547.8136,-17050.42476,-1236.230282,-60324.76548,-104753.7973,-103824.1659,-21160.6647,-26823.14388,-52042.25952,-26299.71073,G,,,,,,,,,,,,,,
52,-25953.77278,-42672.54235,-59929.85486,-17838.32375,-36418.85953,-90089.22012,-1898.020732,-17366.54548,-1084.23842,-60973.52487,-105468.4944,-104606.857,-21907.19061,-26567.75285,-53031.30186,-26528.54789,G,,,,,,,,,,,,,,
54,-25912.3997,-42623.12265,-59159.16671,-16899.10345,-36176.96895,-89391.35395,-1048.118001,-17320.21032,-1368.418499,-60523.89717,-104965.6472,-104281.192,-21404.32106,-27010.89853,-52167.02696,-26064.14569,G,,,,,,,,,,,,,,
56,-25683.62959,-42391.64798,-60112.17804,-18112.89258,-36589.31393,-90282.518,-2018.876614,-17103.57721,-1051.336652,-60665.98721,-105173.3396,-104190.2428,-21497.41608,-26519.20486,-52518.28462,-26560.93556,G,,,,,,,,,,,,,,
58,-26120.76266,-42844.76255,-59360.37712,-17094.79297,-36165.07783,-89606.75771,-1305.945373,-17533.9377,-1296.825862,-60984.36546,-105487.0463,-104875.7037,-21957.70555,-26867.93677,-52860.33337,-26267.72538,G,,,,,,,,,,,,,,
60,-25613.40041,-42317.95428,-59658.66115,-17552.91433,-36454.84584,-89889.7308,-1521.080914,-17041.30525,-1221.545186,-60383.81879,-104881.3364,-104005.7291,-21188.62673,-26791.18088,-51987.76597,-26246.98296,G,,,,,,,,,,,,,,
62,-25951.33644,-42672.27413,-59976.12297,-17855.17697,-36422.16759,-90202.87874,-1927.301517,-17381.31999,-1073.59899,-61050.12429,-105613.0207,-104804.8934,-21957.7279,-26549.2456,-53005.23973,-26518.4896,G,,,,,,,,,,,,,,
64,-25901.64851,-42611.07506,-59185.31825,-16897.67294,-36158.84169,-89481.87852,-1059.696205,-17323.65248,-1366.786822,-60616.23223,-105121.4165,-104504.3295,-21503.33929,-27014.89949,-52215.99963,-26078.47316,G,,,,,,,,,,,,,,
66,-25666.50816,-42370.68205,-60138.24018,-18108.69045,-36565.03994,-90367.7005,-2018.653097,-17099.62095,-1022.391143,-60729.19795,-105295.8942,-104376.5893,-21548.08748,-26507.09021,-52509.96977,-26537.13096,G,,,,,,,,,,,,,,
68,-26123.37781,-42840.67218,-59396.60929,-17090.36733,-36139.95446,-89696.03058,-1312.740304,-17543.21367,-1259.252579,-61056.94158,-105615.6582,-105063.9725,-22006.00767,-26846.16618,-52853.38197,-26243.45139,G,,,,,,,,,,,,,,
70,-25634.72398,-42333.6452,-59709.53372,-17588.83358,-36447.40271,-89977.23788,-1551.769859,-17066.3392,-1237.772553,-60475.19272,-105025.7957,-104212.3487,-21288.36021,-26824.6638,-52046.61811,-26277.67191,G,,,,,,,,,,,,,,
72,-25950.64353,-42667.84849,-60015.41734,-17871.13611,-36418.16663,-90277.57827,-1936.30927,-17377.09551,-1074.62717,-61121.09108,-105738.2576,-104979.9523,-22031.89099,-26550.51965,-53044.95878,-26514.06396,G,,,,,,,,,,,,,,
74,-25912.04207,-42615.83598,-59223.20446,-16913.07329,-36161.92623,-89552.30886,-1072.950789,-17334.20251,-1386.948095,-60686.84139,-105247.6591,-104685.021,-21578.4188,-27025.20365,-52251.4495,-26071.34295,G,,,,,,,,,,,,,,
76,-25651.42073,-42349.00085,-60161.19542,-18096.17348,-36566.76102,-90431.35827,-2010.070027,-17083.48299,-1035.824542,-60786.73134,-105407.4294,-104552.8998,-21601.75402,-26498.64125,-52515.28949,-26513.88514,G,,,,,,,,,,,,,,
78,-26120.09211,-42834.43604,-59438.34,-17098.86099,-36148.51518,-89777.97208,-1329.392353,-17544.64418,-1284.331236,-61137.00552,-105749.2993,-105274.4365,-22083.41176,-26852.51407,-52883.86975,-26247.27353,G,,,,,,,,,,,,,,
80,-25607.07487,-42305.86199,-59698.15668,-17513.73172,-36433.99166,-90019.7509,-1499.913812,-17040.61234,-1245.796829,-60539.0293,-105139.4096,-104411.4133,-21332.95194,-26819.63465,-52030.32369,-26242.95965,G,,,,,,,,,,,,,,
82,-25930.79518,-42647.37429,-60021.00528,-17810.98757,-36411.63992,-90342.77831,-1900.457072,-17361.71751,-1056.142277,-61174.57881,-105841.7461,-105158.6768,-22034.46144,-26533.44292,-52968.15818,-26479.3964,G,,,,,,,,,,,,,,
84,-25919.30639,-42623.59203,-59228.77004,-16851.53894,-36157.16531,-89619.74408,-1043.424135,-17341.26566,-1374.162897,-60755.59536,-105369.8338,-104882.6775,-21596.90369,-27019.07927,-52190.5857,-26054.33328,G,,,,,,,,,,,,,,
86,-25655.19818,-42354.05235,-60172.99714,-18059.31545,-36570.04673,-90504.62729,-1992.188632,-17081.98542,-1028.806094,-60856.82641,-105526.7653,-104738.9111,-21634.45462,-26512.6558,-52481.35954,-26523.00465,G,,,,,,,,,,,,,,
88,-26129.34573,-42841.65565,-59452.10868,-17070.27311,-36145.85532,-89858.19249,-1323.737362,-17541.09025,-1258.716137,-61211.99563,-105872.3457,-105462.7053,-22124.38251,-26849.92127,-52869.25171,-26253.88965,G,,,,,,,,,,,,,,
90,-25626.14091,-42317.73076,-59704.05754,-17482.52868,-36430.92947,-90093.4446,-1493.565916,-17044.94858,-1220.137026,-60597.83674,-105245.8933,-104584.6393,-21357.3824,-26820.05934,-51994.5609,-26235.82944,G,,,,,,,,,,,,,,
