,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-12409.95674,-20928.72064,-25736.49147,-8792.796289,-16577.32774,-34194.61509,-1197.852337,-5925.089827,-130.5341876,-30135.06891,-48261.41724,-49123.38991,-2724.409428,-13304.22769,-24391.05056,-12393.19293,H,,,,,,,,,,,,,,
2,-24907.48762,-41945.97655,-50712.48719,-16714.52274,-32699.43985,-67706.89848,-1571.864077,-11929.08131,3372.319444694453,-58280.13966,-93756.98492,-82965.89797,7422.991981863021,-23428.40563,-39017.5851,-27041.54277,H,,,,,,,,,,,,,,
4,-24107.16106,-41143.66068,-51521.50858,-17771.46969,-33109.03556,-68455.70427,-2331.555168,-11136.24258,3735.043553715176,-58100.36458,-93615.23016,-82593.07088,7726.0592849325285,-22704.14206,-38854.57383,-27072.45524,H,,,,,,,,,,,,,,
6,-25022.17442,-42063.39026,-51097.58539,-17130.82399,-32926.60063,-68090.3203,-2023.861053,-12052.50765,3696.397388,-58654.39727,-94156.12002,-83370.95629,7040.911262144001,-22905.93361,-39553.42347,-27612.33927,H,,,,,,,,,,,,,,
8,-24344.98362,-41382.51142,-50987.95009,-17134.2438,-32840.43465,-67991.10091,-1812.234737,-11366.21968,3377.996787786101,-58039.36667,-93516.18958,-82576.0612,7808.917201628352,-23327.75573,-38598.89222,-26744.80101,H,,,,,,,,,,,,,,
10,-24490.44877,-41528.46831,-51613.41895,-17812.48514,-33209.30549,-68579.44352,-2519.399228,-11521.89958,3906.2579162428283,-58566.64432,-94094.31745,-83156.04426,7209.823394992757,-22511.87235,-39473.47128,-27636.76973,H,,,,,,,,,,,,,,
12,-24914.52842,-41956.8842,-50676.56793,-16675.92128,-32690.20858,-67741.7672,-1566.499658,-11936.01035,3376.3427586964085,-58400.39204,-93870.7553,-83070.6606,7396.236943750017,-23436.67578,-39010.16432,-27058.99949,H,,,,,,,,,,,,,,
14,-24108.72568,-41146.92404,-51491.19961,-17744.6923,-33107.04626,-68488.53898,-2326.83895,-11141.15997,3734.6188705705254,-58196.63354,-93708.79456,-82673.17953,7727.847424488953,-22718.1119,-38808.23866,-27059.67004,H,,,,,,,,,,,,,,
16,-25006.66231,-42049.12985,-51063.29782,-17094.81533,-32917.03408,-68122.21624,-2011.880518,-12043.18697,3715.910460461433,-58753.21433,-94252.47839,-83451.37786,7042.788808678247,-22887.71694,-39514.75495,-27604.29264,H,,,,,,,,,,,,,,
18,-24356.22655,-41394.44725,-50948.25339,-17107.13114,-32828.9235,-68016.87247,-1802.377618,-11388.99611,3373.1017557503887,-58138.20608,-93611.8774,-82658.51678,7801.675236424832,-23345.65948,-38566.23633,-26738.94486,H,,,,,,,,,,,,,,
20,-24485.93372,-41525.65199,-51599.47146,-17824.53273,-33207.89733,-68621.15188,-2534.643118,-11531.24261,3918.3055065042386,-58650.3516,-94179.85757,-83218.22682,7218.428817,-22502.48462,-39430.77945,-27621.99523,H,,,,,,,,,,,,,,
22,-24924.38554,-41970.78699,-50680.50184,-16716.64616,-32695.08126,-67792.12568,-1604.1847,-11964.73234,3361.300034677987,-58509.80383,-93982.80459,-83166.63899,7349.074763,-23448.70102,-39044.07192,-27093.46588,H,,,,,,,,,,,,,,
24,-24078.2379,-41118.53732,-51466.63504,-17758.12569,-33089.05311,-68511.36011,-2327.889482,-11123.25622,3715.619887783514,-58287.20281,-93801.68841,-82750.24834,7688.664816,-22730.80769,-38845.58843,-27069.21423,H,,,,,,,,,,,,,,
26,-24980.84605,-42023.80532,-51044.20943,-17105.94649,-32895.15172,-68149.08304,-2014.741542,-12025.23852,3742.598443,-58834.90996,-94339.62784,-83524.44572,7036.016230108289,-22844.06398,-39515.96195,-27587.55119,H,,,,,,,,,,,,,,
28,-24354.46076,-41395.29662,-50900.08538,-17071.74832,-32800.78266,-68018.81707,-1774.683806,-11390.60544,3398.068654306967,-58206.02127,-93685.34758,-82715.37962,7835.538129274622,-23309.76257,-38510.62518,-26679.53392,H,,,,,,,,,,,,,,
30,-24444.0689,-41485.88824,-51564.78155,-17807.32188,-33196.27442,-68632.93125,-2518.616917,-11484.52747,3907.5990209101465,-58737.99279,-94266.6494,-83283.53861,7226.542499845326,-22499.51184,-39406.34899,-27596.6707,H,,,,,,,,,,,,,,
32,-24938.86947,-41981.8958,-50646.77306,-16695.9708,-32679.77031,-67805.20145,-1593.232345,-11964.24061,3393.5312501825397,-58601.24482,-94072.39039,-83242.88079,7383.7870220884115,-23413.76524,-38980.79413,-27050.01408,H,,,,,,,,,,,,,,
34,-24082.6859,-41119.99018,-51433.21919,-17743.73117,-33083.75574,-68523.72062,-2317.048885,-11106.71593,3718.793835496168,-58384.29879,-93888.36847,-82824.76906,7714.212860371216,-22730.91945,-38784.79168,-27036.93831,H,,,,,,,,,,,,,,
36,-25013.74781,-42052.19204,-51067.63405,-17163.43518,-32931.49566,-68212.67375,-2071.760842,-12041.62235,3760.1222109940304,-58950.64729,-94447.58677,-83619.97707,7036.39621,-22829.40123,-39482.38963,-27591.97683,H,,,,,,,,,,,,,,
38,-24359.98164,-41394.31314,-50895.48092,-17091.32845,-32810.63978,-68053.48463,-1796.476757,-11383.43053,3369.4360696597187,-58355.30858,-93825.76124,-82852.97696,7761.6879655942885,-23355.44954,-38565.05168,-26739.72717,H,,,,,,,,,,,,,,
40,-24433.1836,-41467.58216,-51565.20624,-17828.08665,-33213.46291,-68682.55212,-2546.154266,-11473.55276,3942.512445749336,-58849.75151,-94371.92611,-83379.29349,7230.141130702631,-22470.9016,-39370.29563,-27587.14886,H,,,,,,,,,,,,,,
42,-24946.08908,-41982.16402,-50650.08112,-16715.77444,-32709.60989,-67859.42678,-1632.549063,-11984.7148,3389.2397152471203,-58742.17257,-94204.84682,-83369.92811,7333.853224975255,-23410.30072,-39000.37426,-27085.93334,H,,,,,,,,,,,,,,
44,-24072.85113,-41104.34396,-51416.14245,-17737.7409,-33104.56522,-68559.41636,-2330.638746,-11115.07548,3707.528556290693,-58503.16536,-93998.51787,-82923.74258,7689.938865892753,-22743.68229,-38773.41464,-27041.52042,H,,,,,,,,,,,,,,
46,-25017.61466,-42054.58368,-51079.65929,-17201.43315,-32966.85612,-68269.78246,-2118.163063,-12062.45417,3730.506149590749,-59083.26019,-94570.3202,-83725.9914,6988.652883607493,-22849.36134,-39512.81035,-27627.69492,H,,,,,,,,,,,,,,
48,-24361.16628,-41394.96134,-50862.04271,-17071.36835,-32823.00029,-68066.71686,-1791.246449,-11399.54613,3348.0230984715345,-58467.55904,-93926.74642,-82940.99813,7737.257508904638,-23363.51852,-38572.71833,-26742.45408,H,,,,,,,,,,,,,,
50,-24443.55481,-41474.53355,-51571.53178,-17864.31883,-33238.18394,-68719.54426,-2577.98315,-11493.75874,3920.9206606055095,-58946.37811,-94455.94632,-83446.01344,7220.082845697742,-22477.78594,-39363.99244,-27579.48221,H,,,,,,,,,,,,,,
52,-24942.87043,-41978.18541,-50635.91011,-16715.75209,-32714.7955,-67875.0283,-1637.37704,-11979.75272,3363.848133545892,-58859.69804,-94306.92724,-83462.62079,7280.544314449348,-23431.40077,-39054.71135,-27119.95269,H,,,,,,,,,,,,,,
54,-24089.68199,-41122.20301,-51407.06765,-17743.57471,-33106.12984,-68581.74575,-2339.177112,-11124.08324,3701.3818265654836,-58588.10199,-94071.25045,-82985.88043,7688.486002503158,-22757.29451,-38759.57891,-27019.99569,H,,,,,,,,,,,,,,
56,-25023.38141,-42059.74693,-51081.15686,-17211.98317,-32965.82794,-68300.31494,-2132.758752,-12057.0674,3730.9308327353997,-59185.8547,-94657.69317,-83810.23512,6956.779296014225,-22844.39925,-39536.61496,-27644.99517,H,,,,,,,,,,,,,,
58,-24400.70652,-41437.47436,-50855.4713,-17071.59186,-32821.48037,-68091.81787,-1798.935449,-11426.79291,3337.0036884550677,-58570.55587,-94012.57712,-83029.91337,7707.663799245811,-23385.40088,-38578.44038,-26750.70187,H,,,,,,,,,,,,,,
60,-24436.9387,-41472.76777,-51567.75434,-17856.13809,-33240.68734,-68752.06605,-2579.279551,-11477.30785,3918.037285570775,-59043.96582,-94533.41747,-83523.50694,7204.615439,-22488.47008,-39359.47738,-27582.23147,H,,,,,,,,,,,,,,
62,-24977.82856,-42016.33984,-50635.21721,-16704.59857,-32723.1774,-67912.57923,-1639.81338,-12008.49706,3375.806316829481,-58963.76776,-94393.98729,-83555.44759,7277.504477203426,-23428.33858,-39029.25271,-27112.04018,H,,,,,,,,,,,,,,
64,-24120.84033,-41154.61304,-51423.38442,-17774.15189,-33131.8567,-68629.33262,-2365.753337,-11158.25905,3642.9096630704003,-58703.92873,-94169.12874,-83087.49146,7648.275214,-22822.94158,-38780.38839,-27043.73324,H,,,,,,,,,,,,,,
66,-24982.29891,-42019.37968,-51068.23755,-17190.68196,-32975.17097,-68326.33237,-2113.290383,-12023.65154,3717.206861639841,-59292.07019,-94747.34601,-83898.4351,6936.014525415245,-22848.60138,-39547.27674,-27658.80855,H,,,,,,,,,,,,,,
68,-24386.04377,-41421.47051,-50808.0856,-16991.81849,-32812.09264,-68094.65654,-1739.412754,-11423.52956,3358.5954735988944,-58651.20097,-94077.1066,-83092.31944,7764.2137127177375,-23372.57098,-38487.84876,-26696.34243,H,,,,,,,,,,,,,,
70,-24423.99704,-41459.0438,-51561.02646,-17844.40343,-33258.99342,-68794.06497,-2570.852944,-11478.26898,3899.261820228317,-59139.94421,-94613.59317,-83596.6642,7231.996325492421,-22512.5429,-39298.32301,-27562.47253,H,,,,,,,,,,,,,,
72,-24972.50884,-42010.52839,-50629.51751,-16696.14961,-32739.06949,-67955.67339,-1641.713278,-12016.25312,3362.842305045403,-59083.23784,-94496.04535,-83657.28213,7258.930177561067,-23444.27537,-39026.34698,-27133.36374,H,,,,,,,,,,,,,,
74,-24107.22811,-41140.44203,-51385.98995,-17719.27836,-33123.05011,-68642.25193,-2324.804941,-11151.21825,3662.1321633019643,-58791.88285,-94234.50759,-83146.27655,7687.949561,-22819.23119,-38705.5771,-26999.18622,H,,,,,,,,,,,,,,
76,-24957.57788,-41996.24562,-51060.88383,-17170.29717,-32988.49261,-68367.7278,-2106.182528,-12002.75266,3742.1067049630533,-59394.37412,-94829.30986,-83973.26874,6955.505246580273,-22823.09804,-39493.05141,-27637.97672,H,,,,,,,,,,,,,,
78,-24431.57428,-41469.07973,-50827.64337,-17022.90976,-32834.57849,-68151.54173,-1774.661455,-11471.09407,3350.5041421060732,-58776.05781,-94176.12483,-83194.80219,7731.8707384909085,-23392.39697,-38477.32109,-26699.71755,H,,,,,,,,,,,,,,
80,-24414.5646,-41453.2994,-51570.43655,-17870.24204,-33263.24025,-68830.923,-2584.040473,-11461.08049,3888.4435759119483,-59253.33461,-94700.65322,-83678.24807,7190.735005227924,-22528.12207,-39319.51246,-27569.44627,H,,,,,,,,,,,,,,
