,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-10599.80072,-18603.51337,-24799.86397,-7861.376746,-15157.1873,-30890.2673,451.7958106751217,-3006.041408,3845.5952817911248,-28929.32641,-46093.16392,-40033.40483,3798.075473079142,-9415.761759,-17742.59123,-8548.044687,J,,,,,,,,,,,,,,
2,-22087.72565,-38093.76515,-48736.14594,-14661.02328,-29764.27582,-61008.95238,1740.239768056842,-6903.358627,7429.429284266149,-55735.08063,-76997.60222,-73356.86068,12724.959877128587,-18590.83993,-32087.51614,-18287.415,J,,,,,,,,,,,,,,
4,-21193.23119,-37208.50196,-48862.4333,-14919.99059,-29910.52328,-61124.64501,1645.9377581999015,-5976.968226,7100.590419839671,-55080.86742,-76323.09363,-72486.48375,13556.35536388819,-18846.90152,-31107.39215,-17663.98015,J,,,,,,,,,,,,,,
6,-21542.63366,-37551.13185,-49347.89084,-15412.98067,-30237.86458,-61578.67599,1137.972013708593,-6350.1306,7749.528616610601,-55763.73556,-77035.57784,-73326.03762,12725.295153295418,-18034.25914,-32184.65682,-18540.01207,J,,,,,,,,,,,,,,
8,-21805.51252,-37816.55882,-48384.19537,-14286.78802,-29621.26936,-60720.61488,2125.3379732773274,-6602.16887,7056.535131518261,-55382.9736,-76605.08324,-72862.4848,13261.781723711698,-19086.40046,-31382.63153,-17707.65545,J,,,,,,,,,,,,,,
10,-21017.2112,-37031.02911,-49363.96174,-15472.45866,-30269.93934,-61620.33965,1158.915598263216,-5812.817015,7586.316178597949,-55387.35454,-76634.67695,-72821.96108,13287.240360646292,-18124.22492,-31480.71098,-18110.07626,J,,,,,,,,,,,,,,
12,-22078.40497,-38082.49987,-48725.81944,-14641.51021,-29834.4603,-61058.19327,1750.9239019064787,-6892.987417,7460.386450336749,-55870.82277,-77092.44068,-73447.02762,12727.70914169659,-18559.56984,-32033.42492,-18282.8776,J,,,,,,,,,,,,,,
14,-21151.74635,-37163.82082,-48800.51897,-14818.916,-29936.89834,-61127.6625,1722.2466137703198,-5937.919729,7114.515556635328,-55216.60956,-76415.49574,-72579.55642,13559.976346489948,-18851.64009,-31038.99581,-17650.65851,J,,,,,,,,,,,,,,
16,-21531.30132,-37534.77037,-49346.08034,-15391.7018,-30305.03157,-61636.16468,1141.4365340991658,-6342.910986,7784.307930983059,-55895.70026,-77123.08492,-73412.60593,12751.71491524159,-18012.77912,-32075.60266,-18521.41541,J,,,,,,,,,,,,,,
18,-21835.48621,-37844.87848,-48398.43343,-14291.0572,-29709.26818,-60786.32901,2103.7461881335007,-6637.261109,7077.210495,-55549.5388,-76725.89442,-72992.81782,13224.275496515691,-19086.22165,-31348.25454,-17739.86432,J,,,,,,,,,,,,,,
20,-21008.44932,-37022.96013,-49377.57395,-15488.21664,-30366.00713,-61682.67866,1141.883568988272,-5809.598364,7585.019777419541,-55547.81771,-76748.15676,-72940.96177,13236.233679799281,-18137.85948,-31470.87621,-18141.25695,J,,,,,,,,,,,,,,
22,-22068.14552,-38074.09562,-48753.44619,-14670.56747,-29941.25693,-61133.4516,1720.4584742138952,-6887.779461,7474.691566788146,-56044.40642,-77228.36163,-73588.22359,12648.807483769357,-18549.98094,-32061.67752,-18325.25651,J,,,,,,,,,,,,,,
24,-21163.54807,-37177.20952,-48805.19048,-14818.71484,-30025.29949,-61180.74789,1714.4905584443281,-5954.907054,7128.686562619992,-55365.15926,-76530.80839,-72700.30054,13520.927848926527,-18848.95788,-31023.90838,-17641.51664,J,,,,,,,,,,,,,,
26,-21514.47046,-37518.96769,-49366.88982,-15412.95831,-30383.12857,-61703.26462,1119.1965483661352,-6324.202576,7775.1884192452935,-56045.70282,-77239.17988,-73531.69603,12696.103775036785,-18015.66249,-32088.20904,-18531.58546,J,,,,,,,,,,,,,,
28,-21840.42595,-37849.23707,-48409.94458,-14292.48772,-29763.98525,-60844.68941,2093.933772317621,-6640.077429,7060.334928075663,-55707.07389,-76851.48887,-73129.34227,13157.108504427493,-19092.74836,-31372.685,-17753.56594,J,,,,,,,,,,,,,,
30,-21019.60284,-37034.15835,-49400.23862,-15504.75693,-30412.56582,-61745.08473,1122.6387170122525,-5818.27084,7564.8138004319435,-55685.48211,-76855.46748,-73058.35313,13197.18518223586,-18158.42309,-31455.69938,-18132.65152,J,,,,,,,,,,,,,,
32,-22069.95601,-38076.64371,-48785.74446,-14692.80746,-29982.85353,-61200.32802,1697.212659980376,-6886.304246,7471.316453375394,-56192.95611,-77345.86475,-73722.35641,12584.590921949259,-18546.56113,-32084.78923,-18347.54119,J,,,,,,,,,,,,,,
34,-21182.23413,-37197.23668,-48815.15936,-14817.84312,-30036.25185,-61227.6195,1712.8141776101802,-5976.811764,7112.302733934252,-55502.86835,-76637.04623,-72822.96691,13471.57519716921,-18862.83831,-31025.80828,-17643.86358,J,,,,,,,,,,,,,,
36,-21485.90493,-37490.69273,-49389.46508,-15422.61427,-30378.52411,-61761.15564,1110.6134784952974,-6309.89746,7773.757907600154,-56178.82981,-77337.28168,-73647.94745,12647.824007013323,-18009.44871,-32093.39465,-18542.73898,J,,,,,,,,,,,,,,
38,-21833.60867,-37838.17295,-48414.83962,-14276.55092,-29728.35657,-60884.72138,2102.606249,-6642.200845,7063.531227532772,-55843.82186,-76956.69853,-73251.22634,13100.960922355764,-19091.9884,-31390.32053,-17764.42889,J,,,,,,,,,,,,,,
40,-21006.39296,-37013.46064,-49388.19103,-15462.19921,-30370.32102,-61771.5939,1150.2654731590121,-5798.489547,7582.829306462921,-55781.68401,-76924.17674,-73136.67365,13198.593342136544,-18140.16171,-31398.88124,-18088.66329,J,,,,,,,,,,,,,,
42,-22055.94147,-38053.3532,-48786.50442,-14653.5578,-29951.62814,-61237.63308,1713.4400264549288,-6864.041908,7488.326130905883,-56311.59917,-77438.89271,-73828.21427,12551.53269189986,-18525.66225,-32062.0575,-18343.62964,J,,,,,,,,,,,,,,
44,-21168.91249,-37177.47774,-48771.32759,-14707.80548,-29995.3258,-61229.74291,1782.1939923994532,-5954.705889,7132.7322283664025,-55600.54548,-76714.58444,-72910.09401,13479.24184551738,-18847.23679,-30941.63161,-17596.27671,J,,,,,,,,,,,,,,
46,-21477.94771,-37479.4051,-49386.96169,-15364.0974,-30397.85837,-61804.74154,1133.9710514510932,-6292.306637,7796.064948566551,-56273.80237,-77415.98218,-73729.55367,12668.968757268043,-17982.82778,-31984.92163,-18500.33772,J,,,,,,,,,,,,,,
48,-21866.89041,-37869.42069,-48413.27499,-14223.1526,-29769.93081,-60930.81068,2118.9453743631097,-6664.552589,7060.960776920411,-55972.50086,-77072.03353,-73375.83731,13063.879378304408,-19096.61521,-31352.32256,-17775.82828,J,,,,,,,,,,,,,,
50,-21011.31034,-37011.7172,-49379.71972,-15409.76201,-30423.65228,-61812.18467,1171.8349065583834,-5799.383616,7549.614614202334,-55893.50979,-77021.29507,-73233.99314,13173.51468485769,-18176.75152,-31353.84248,-18095.77115,J,,,,,,,,,,,,,,
52,-22073.86757,-38067.45715,-48813.46063,-14651.25557,-30034.39665,-61312.51142,1690.0601017546776,-6883.219705,7481.642959313746,-56432.11978,-77545.80111,-73933.91567,12516.90983973859,-18529.73026,-32038.14114,-18369.73648,J,,,,,,,,,,,,,,
54,-21206.39637,-37216.90622,-48795.31101,-14726.49154,-30066.89609,-61294.71943,1752.4438205294396,-5990.848659,7079.6691870295035,-55738.14282,-76833.3169,-73037.56601,13389.11961187358,-18904.3455,-30991.76657,-17656.87229,J,,,,,,,,,,,,,,
56,-21461.7874,-37463.60242,-49404.99954,-15367.96425,-30456.21877,-61863.61603,1116.8943186872386,-6275.229904,7808.336056272514,-56371.81477,-77498.16954,-73818.62537,12628.176823637108,-17965.61694,-31983.08879,-18506.61856,J,,,,,,,,,,,,,,
58,-21880.48028,-37880.48481,-48436.67727,-14232.02625,-29816.75772,-60988.79111,2090.312789715861,-6683.998607,7062.167771120999,-56090.58512,-77168.81659,-73489.98767,12990.90093265783,-19098.44805,-31383.27973,-17798.56,J,,,,,,,,,,,,,,
60,-20965.77984,-36966.25375,-49374.22119,-15374.06628,-30438.44914,-61842.35952,1187.235258,-5764.425488,7549.704021180156,-55991.32103,-77094.83231,-73324.80828,13127.425387790847,-18181.57949,-31354.20011,-18089.15503,J,,,,,,,,,,,,,,
62,-22053.30396,-38045.82066,-48835.14182,-14642.82896,-30052.81449,-61369.866,1678.660712082471,-6873.496696,7519.350352209849,-56529.57338,-77621.21589,-74031.63749,12493.462859804971,-18491.50878,-32010.96141,-18351.51981,J,,,,,,,,,,,,,,
64,-21197.99211,-37203.62928,-48769.20417,-14647.8581,-30047.89711,-61307.12465,1795.917963495012,-5987.026511,7092.297922646752,-55831.93074,-76906.65298,-73133.41029,13371.059402353694,-18909.70992,-30952.31574,-17634.27468,J,,,,,,,,,,,,,,
66,-21447.63874,-37445.81043,-49397.35525,-15311.68256,-30444.26059,-61890.95222,1143.9622812226155,-6257.639081,7802.524602714134,-56460.01476,-77568.89046,-73903.49494,12625.06993115782,-17983.00659,-31932.21622,-18500.24831,J,,,,,,,,,,,,,,
68,-21858.62027,-37862.58106,-48376.10404,-14085.64467,-29787.32047,-60979.0681,2177.1716686691843,-6659.232874,7102.669132074015,-56162.84831,-77232.00497,-73567.54822,13036.29732564656,-19061.50062,-31274.78436,-17753.0742,J,,,,,,,,,,,,,,
70,-20991.93138,-36996.9874,-49339.0619,-15280.1219,-30443.99237,-61858.721,1224.942651384193,-5783.715044,7540.875082120309,-56055.47053,-77148.25298,-73388.75662,13185.003481507718,-18195.41522,-31216.87099,-18043.46806,J,,,,,,,,,,,,,,
72,-22063.27284,-38058.44939,-48814.48881,-14569.89522,-30079.27896,-61399.415,1696.6762181134486,-6874.904856,7514.388264940771,-56616.2758,-77696.2954,-74118.38461,12499.274313363352,-18486.41258,-31940.79929,-18362.44981,J,,,,,,,,,,,,,,
74,-21234.00077,-37237.76039,-48736.41416,-14576.17606,-30071.5676,-61324.17903,1816.3474579271626,-6017.313125,7057.987994907856,-55926.92565,-76983.96766,-73226.86293,13353.960317845384,-18944.80216,-30908.55103,-17649.20564,J,,,,,,,,,,,,,,
76,-21424.77291,-37424.12924,-49394.00248,-15277.41734,-30493.09915,-61929.50898,1130.1489031492356,-6234.750895,7783.011529804651,-56546.87363,-77637.13034,-73984.63177,12605.78037569289,-17991.992,-31899.15799,-18519.26965,J,,,,,,,,,,,,,,
78,-21883.20719,-37886.34096,-48381.02143,-14057.43677,-29817.94236,-61018.83185,2156.0045666700084,-6683.506868,7106.938315264978,-56272.05894,-77323.08833,-73679.01637,12986.117659344394,-19063.46757,-31273.77853,-17785.7301,J,,,,,,,,,,,,,,
