,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-7925.213328,-13934.65864,-24446.43819,-8182.861886,-14103.68253,-37919.26508,428.30412725259396,-1745.537131,4217.1706816161495,-28990.50313,-36952.21686,-35380.17397,8931.198291,-8964.457686,-14884.07134,-7993.27439,K,,,,,,,,,,,,,,
2,-15711.84584,-27731.38466,-48767.72896,-16138.74181,-28677.31049,-75752.56535,806.2274225029257,-3358.126087,9860.382659480889,-54884.97673,-74973.16003,-83694.36368,3510.2744114726083,-16112.03147,-30948.31478,-14962.63772,K,,,,,,,,,,,,,,
4,-15724.60869,-27745.24274,-48873.74328,-16255.12734,-28628.02489,-75842.62053,752.9408637214738,-3357.52259,9942.502968609688,-55102.70507,-75018.46701,-84130.42386,3129.847720843282,-15935.29623,-30953.1204,-14998.55697,K,,,,,,,,,,,,,,
6,-15811.55697,-27831.27461,-48809.83964,-16192.54246,-28305.80214,-75799.34756,928.4914646734554,-3443.152123,9966.642852621419,-54991.6169,-75010.46509,-83782.4072,3414.4301312482517,-16116.34536,-30985.6869,-14992.65611,K,,,,,,,,,,,,,,
8,-15618.03557,-27637.28382,-48745.13134,-16015.82957,-28839.04771,-75766.26697,823.9300041115289,-3255.553932,9850.547891920554,-54968.14757,-74919.24762,-83902.25725,3437.407724548307,-15982.63722,-30783.85064,-14913.0839,K,,,,,,,,,,,,,,
10,-15798.05652,-27825.93254,-48858.16411,-16203.98655,-28281.5505,-75857.5962,932.2018542530363,-3433.004431,10035.173301121391,-55128.18606,-75016.72358,-84061.17816,3232.7775040599713,-15984.02303,-30902.87368,-15004.21196,K,,,,,,,,,,,,,,
12,-15710.34827,-27733.01634,-48727.8758,-15980.78203,-28650.93543,-75774.42536,912.6217261101874,-3349.028927,9872.989043353682,-54912.15645,-74900.80743,-83704.37726,3642.283814225652,-16083.77887,-30741.40468,-14906.51249,K,,,,,,,,,,,,,,
14,-15739.5173,-27760.79956,-48878.95124,-16171.88944,-28648.56614,-75899.75159,785.1497274815712,-3366.597398,9907.366026325944,-55168.28509,-74990.37087,-84201.25654,3172.450145775097,-15963.1465,-30851.59878,-15022.38393,K,,,,,,,,,,,,,,
16,-15794.92727,-27815.51663,-48813.86296,-16108.47755,-28312.61943,-75850.30953,972.6361599726869,-3415.279498,9980.545638,-55060.84026,-74984.20179,-83866.80739,3436.513654770095,-16110.91389,-30908.72984,-15014.47141,K,,,,,,,,,,,,,,
18,-15647.27165,-27664.64235,-48803.42469,-16007.53707,-28888.35566,-75860.81485,793.1069485076605,-3277.19042,9867.892845617873,-55052.10072,-74906.41772,-84002.8401,3444.4038205628185,-15975.2388,-30724.81969,-14926.74082,K,,,,,,,,,,,,,,
20,-15807.35484,-27832.07927,-48935.65761,-16221.75619,-28344.18009,-75968.3938,884.5926385632323,-3430.858663,10048.427885583387,-55243.07403,-75030.89458,-84210.84544,3176.9875498995248,-15968.35446,-30907.00876,-15033.53745,K,,,,,,,,,,,,,,
22,-15688.17534,-27706.14954,-48819.27208,-16011.06864,-28704.11023,-75891.52615,868.4323273220454,-3321.625688,9879.605159712453,-55059.92383,-74945.48857,-83884.9123,3542.4609234882505,-16077.1851,-30795.96529,-14949.04786,K,,,,,,,,,,,,,,
24,-15687.77301,-27709.74817,-48951.57205,-16162.52406,-28697.06943,-76004.69303,773.5044686203562,-3309.846319,9961.233730463235,-55308.76581,-75021.77507,-84379.57875,3113.240374712989,-15903.80262,-30840.35585,-15009.1964,K,,,,,,,,,,,,,,
26,-15801.7222,-27823.87618,-48935.09882,-16169.60957,-28371.53862,-76003.41898,904.1951184505366,-3421.582689,10013.26859155519,-55235.80971,-75040.37172,-84077.49493,3353.2087031851656,-16071.396,-30895.65407,-15007.56472,K,,,,,,,,,,,,,,
28,-15613.16289,-27634.78042,-48912.59061,-16052.01704,-28938.31181,-76003.86602,742.1002676606498,-3234.453885,9849.832636097985,-55260.48604,-74998.66337,-84248.70929,3291.942571633169,-15987.95694,-30799.49687,-14974.90883,K,,,,,,,,,,,,,,
30,-15796.06721,-27823.85383,-49058.18988,-16286.50919,-28390.33644,-76124.34192,818.4985302088893,-3415.860643,10061.637766556474,-55451.5711,-75117.95463,-84457.85456,3044.9334436575705,-15955.18928,-30932.04271,-15040.17592,K,,,,,,,,,,,,,,
32,-15680.26283,-27707.06596,-48935.4341,-16071.75363,-28731.2229,-76046.33433,810.0719225492386,-3308.102883,9890.959846,-55276.08756,-75033.12976,-84129.03805,3404.7965293880143,-16071.23954,-30833.18094,-14953.54056,K,,,,,,,,,,,,,,
34,-15716.27149,-27751.81416,-49088.90117,-16264.38096,-28739.20247,-76175.37095,682.5552204317117,-3342.077534,9953.276509437146,-55538.20646,-75117.50759,-84637.62964,2957.3816606261325,-15908.18356,-30897.55397,-15015.70076,K,,,,,,,,,,,,,,
36,-15803.80092,-27843.90334,-49065.20832,-16281.72592,-28386.78251,-76159.68003,829.7414576699088,-3430.456332,9971.381422445944,-55475.8451,-75145.73784,-84337.11044,3155.753392666983,-16118.37937,-31023.30488,-15044.69097,K,,,,,,,,,,,,,,
38,-15621.34363,-27662.80951,-49040.33083,-16154.79036,-28958.0931,-76156.1708,668.8088975916979,-3251.105935,9870.083316574493,-55473.3864,-75078.12382,-84479.4687,3153.4064594991755,-15964.86759,-30870.4413,-14954.30052,K,,,,,,,,,,,,,,
40,-15801.31987,-27848.5078,-49165.67941,-16375.6703,-28381.06047,-76255.41255,772.3198262,-3421.381524,10046.84091172706,-55679.93887,-75206.89222,-84702.02502,2871.9979968068596,-15977.49632,-31052.71978,-15049.74247,K,,,,,,,,,,,,,,
42,-15695.70788,-27738.35841,-49063.37548,-16190.95548,-28734.28508,-76190.50308,739.9545001929403,-3324.889043,9887.920008649828,-55485.27753,-75110.17622,-84343.6148,3267.8920945992586,-16082.326,-30932.31093,-14951.19362,K,,,,,,,,,,,,,,
44,-15679.63698,-27732.05521,-49178.39756,-16309.08445,-28732.25108,-76286.7497,669.3676912030807,-3297.865784,9977.081117282047,-55735.3712,-75184.83105,-84845.63498,2838.671545823997,-15886.27885,-30979.16019,-14999.18282,K,,,,,,,,,,,,,,
46,-15810.43939,-27865.42807,-49183.29259,-16362.86275,-28387.27425,-76299.22197,786.2226112154259,-3423.370829,10013.045074110636,-55672.83102,-75210.33439,-84543.66291,3065.6982142565507,-16081.07431,-31049.90346,-15008.52585,K,,,,,,,,,,,,,,
48,-15634.77703,-27692.85026,-49177.86112,-16264.64918,-28978.79082,-76309.50377,598.7361787243103,-3252.514094,9851.553720421043,-55697.6191,-75169.40834,-84712.08331,3016.122045,-15981.58669,-30959.84828,-14975.8476,K,,,,,,,,,,,,,,
50,-15812.47339,-27875.82164,-49319.99586,-16504.21518,-28421.00303,-76418.42382,692.6358571810553,-3423.728457,10036.112074388513,-55913.08992,-75300.36721,-84947.35777,2719.9837827663164,-15977.60808,-31144.54074,-15074.91053,K,,,,,,,,,,,,,,
52,-15724.1393,-27784.98415,-49213.08746,-16295.15932,-28772.9089,-76353.71552,681.8846680980525,-3349.9677,9870.597406696965,-55722.76482,-75209.28385,-84581.79499,3128.6183748982403,-16099.17922,-31011.43611,-14968.29271,K,,,,,,,,,,,,,,
54,-15758.31512,-27827.3854,-49366.04045,-16468.6312,-28817.1877,-76486.19431,555.0385183,-3381.058977,9896.637188987397,-55997.84774,-75309.55378,-85105.80928,2674.386224,-15961.35836,-31075.38445,-15055.66568,K,,,,,,,,,,,,,,
56,-15876.82407,-27946.85548,-49361.41364,-16512.68649,-28457.34697,-76489.12239,692.1441188030385,-3499.165594,9928.331962625023,-55950.77496,-75347.5741,-84814.18607,2873.093232,-16159.8195,-31176.10141,-15088.56745,K,,,,,,,,,,,,,,
