,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,1608.051551348156,5928.397885370003,-5830.430189,93749.98882412778,-23536.54337,-20546.46111,-20673.01669,11715.018655659993,8179.956159586449,-26997.64395,-46751.40044,-49271.91726,-13282.65825,-4968.613978,3619.127406969954,-12139.14301,O,,,,,,,,,,,,,,
2,-1225.143817,12595.096241843254,-10919.07304,187500,-46301.54923,-40529.99354,-40625.30138,18867.44277089152,6576.889047251827,-45990.07767,-51642.07389,-48686.36861,12780.593369077847,-28986.2563,80240.66153057356,-2353.281063,O,,,,,,,,,,,,,,
4,4902.564573593685,11599.616599037243,-11743.69594,187500,-47024.62817,-41218.15905,-41341.78654,24826.57430488757,5222.686257682593,-45863.83502,-51584.65226,-48414.37023,13059.319622435525,-28835.73965,80498.57830984335,-2221.606937,O,,,,,,,,,,,,,,
6,892.9074875006065,12261.250586658787,-11306.11584,187500,-46819.77443,-40887.15206,-41075.82314,21122.018530609435,6512.538374964997,-46381.94846,-51967.18001,-49112.974,12250.991135953802,-29474.73132,79755.24869623766,-3004.990876,O,,,,,,,,,,,,,,
8,1246.3556225723771,12222.13503,-11193.21718,187500,-46566.86444,-40832.81497,-40886.19094,21150.449949556583,5794.309770382616,-45836.52119,-51546.05079,-48425.23318,13147.497254311713,-28741.68351,80851.86998270392,-1990.154623,O,,,,,,,,,,,,,,
10,4786.067281492625,11652.277308973946,-11816.83085,187500,-47327.78488,-41345.6981,-41554.48574,24904.13485814749,5676.449021869782,-46340.8883,-51970.17514,-48975.57783,12413.465966399428,-29412.2582,80005.23060622581,-2934.471123,O,,,,,,,,,,,,,,
12,-1239.381878,12648.673373302625,-10916.12261,187500,-46489.79562,-40656.79498,-40746.17961,18874.572977372765,6623.492434441142,-46198.12771,-51823.16772,-48904.65574,12626.209870125042,-29178.03427,80490.46462660607,-2494.521736,O,,,,,,,,,,,,,,
14,4802.428758,11658.312279976879,-11731.0225,187500,-47197.83183,-41335.52806,-41452.29357,24734.775690409624,5233.504501998961,-46062.94436,-51758.37001,-48622.95671,12916.491975366114,-29018.66633,80759.64668508133,-2346.441429,O,,,,,,,,,,,,,,
16,894.6732753125758,12284.272883447753,-11335.26252,187500,-47024.96344,-41039.21098,-41232.08418,21137.66475172815,6473.400470423755,-46598.3357,-52160.58965,-49338.77132,12074.032375101135,-29683.76484,79968.23846915227,-3166.750451,O,,,,,,,,,,,,,,
18,1096.7106934440963,12298.220371987865,-11158.39316,187500,-46727.797,-40937.84582,-40979.19655,21017.39001481414,5797.930752984375,-46037.68689,-51723.50129,-48638.62528,12999.573409506489,-28929.12524,81106.90338693898,-2117.492511,O,,,,,,,,,,,,,,
