,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,6786.727224198249,-20198.39975,-28403.79219,-3542.483275,-18888.56517,-30433.21883,-37455.89107,9909.042407160094,13033.905688989842,-33143.56901,-44737.68708,-29914.52425,18684.806666947206,-1610.353781,24017.910542239017,-22093.58181,R,,,,,,,,,,,,,,
2,10387.34738675921,-39663.19289,-56050.28493,-6133.676306,-37124.23588,-60271.1213,-74227.46113,16491.94407,46757.97185396813,-63040.48008,-97829.62922,-62562.04099,11295.632874445066,-24153.8315,23479.41231482176,-26845.2274,R,,,,,,,,,,,,,,
4,14149.257737309665,-40330.99596,-56637.93464,-6883.756147,-37558.95496,-60722.1795,-74696.22191,19799.39875595555,45855.20724716273,-62759.83158,-97602.02141,-62137.53666,11759.498627126053,-23793.7896,24007.584036300665,-26380.46758,R,,,,,,,,,,,,,,
6,12081.296692049109,-40076.5884,-56567.16902,-6688.446604,-37623.10447,-60695.40211,-74745.35105,18385.762677879655,48542.266910346385,-63297.88277,-98081.24281,-62821.96943,11025.109711302484,-24466.82298,23115.503563344904,-27282.67339,R,,,,,,,,,,,,,,
8,11647.270518215957,-39829.04283,-56201.718,-6273.419413,-37221.93536,-60393.74297,-74355.29075,17337.24235,45132.95533,-62870.13744,-97719.05514,-62267.04267,11687.727175680064,-23853.9605,24058.680124125498,-26356.43945,R,,,,,,,,,,,,,,
10,14436.56706053818,-40481.62436,-56946.61223,-7133.961574,-37923.3331,-60991.58507,-75065.83036,20431.014350773617,47937.62987108587,-63213.23671,-98036.11464,-62644.206,11227.50475734529,-24323.41419,23377.443656616648,-27075.18215,R,,,,,,,,,,,,,,
12,10377.91495059907,-39654.58747,-56161.64132,-6114.274992,-37284.96728,-60388.46795,-74401.24594,16478.913006652954,46847.870570167375,-63238.42713,-98065.10485,-62708.19905,11255.89147280353,-24286.91379,23578.698763692235,-26903.81132,R,,,,,,,,,,,,,,
14,14145.390885518897,-40319.3507,-56742.29494,-6858.632786,-37717.7194,-60833.35708,-74864.75406,19799.510514677826,45782.83229861645,-62995.93306,-97874.73504,-62328.28645,11640.944974535105,-23974.36934,23998.79980072973,-26510.7559,R,,,,,,,,,,,,,,
16,12163.573463389095,-40054.48253,-56653.35735,-6635.60708,-37768.65903,-60790.50878,-74886.83759,18474.633213833957,48618.66517289462,-63490.04072,-98316.62903,-62971.34614,10985.658882338868,-24596.26193,23223.417785575126,-27337.8822,R,,,,,,,,,,,,,,
18,11635.20057621009,-39807.33929,-56293.27074,-6225.854901,-37371.0662,-60493.07412,-74509.29427,17330.045083766592,45154.30124453321,-63076.75696,-97967.7183,-62433.45141,11624.784663293918,-23999.55976,24126.517668547353,-26439.655,R,,,,,,,,,,,,,,
20,14477.828380802677,-40474.11418,-57056.82868,-7108.726455,-38087.75253,-61107.14359,-75240.73276,20463.625545933908,47991.25170603415,-63404.67941,-98272.66315,-62796.91312,11190.825544694131,-24451.7132,23492.376326605838,-27124.31128,R,,,,,,,,,,,,,,
22,10403.999436378412,-39648.26192,-56282.78777,-6099.008751,-37455.42168,-60506.3287,-74586.16192,16512.798251247197,46873.93270420226,-63471.01938,-98336.00799,-62904.78264,11147.329049984104,-24466.97944,23589.405249286327,-27025.69539,R,,,,,,,,,,,,,,
24,14086.941073768268,-40311.99697,-56861.56384,-6848.932129,-37876.79677,-60948.89324,-75051.23467,19732.52233654527,45799.59610695793,-63198.77514,-98117.47499,-62491.32007,11583.948026174072,-24116.45938,24083.490560470887,-26577.22999,R,,,,,,,,,,,,,,
26,12125.44138734834,-40067.69241,-56796.56497,-6663.345595,-37942.86852,-60925.75919,-75098.44155,18438.02105641616,48572.41941361659,-63723.95172,-98584.55939,-63157.69263,10868.982776282166,-24777.69104,23214.92412268211,-27465.15303,R,,,,,,,,,,,,,,
28,11515.261115462914,-39803.00305,-56418.28405,-6232.38161,-37527.32724,-60612.47714,-74698.36768,17223.49431794814,45078.171202918435,-63314.13249,-98236.34156,-62620.55786,11496.552705353823,-24185.68274,24105.127049103627,-26574.48072,R,,,,,,,,,,,,,,
30,14469.871159776589,-40461.66425,-57156.51746,-7081.434975,-38224.27699,-61203.3008,-75393.66339,20455.154234785346,47885.595009993915,-63616.81981,-98515.80543,-62955.27523,11102.692616306857,-24605.22498,23520.114841474875,-27220.87082,R,,,,,,,,,,,,,,
32,10454.134399191666,-39633.15214,-56373.40175,-6052.315957,-37596.43884,-60596.02625,-74729.03427,16569.392868208037,46919.57497,-63668.02766,-98564.04049,-63052.55002,11083.33600560856,-24600.97815,23668.217500235736,-27096.34925,R,,,,,,,,,,,,,,
