,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,45667.29613,25838.57189,5412.47492,26855.26334,14953.22763,-643.5961298,-10111.43745,52370.6737,93749.98882,28959.3448,24740.56479,32093.86403,82007.14225,48323.89037,93749.98882,31052.96565,U
2,90995.94098,51323.87445,10386.98976,53214.31794,29509.44358,-1610.912575,-20695.27903,108443.9362,144093.2699,12021.8187,-11132.26397,7707.999075,85038.10585,56347.22785,145369.8898,35467.72575,U
4,91855.70083,52063.40427,10984.96598,54029.19549,29891.50195,-1149.483162,-20185.39103,106495.0429,142909.745,11927.33788,-11171.89362,7467.673119,84841.81283,56276.97632,145332.2718,35411.46641,U
6,91294.22501,51696.7239,10759.57099,53616.02349,29918.25699,-1307.979382,-20341.20504,106314.4632,139996.5751,12197.39165,-10910.53467,7969.939169,85305.38801,56634.17955,145879.1743,35894.77818,U
8,91579.43327,51851.19681,10695.39913,53664.61619,29709.4917,-1345.060926,-20508.99959,108921.213,146017.2187,11973.89656,-11161.4777,7568.546542,85018.23515,56347.02669,145342.3748,35296.95842,U
10,91930.82505,52270.18026,11198.71571,54193.14554,30254.51663,-955.6041307,-19979.68793,105140.8178,139420.0566,12170.83778,-10897.19068,7860.057993,85261.28802,56659.1688,145936.1042,35883.08822,U
12,91346.41634,51747.2612,10651.61206,53509.7633,29842.17165,-1360.528333,-20533.4971,108746.1095,144318.5755,12174.54817,-10955.75225,7929.326049,85391.79985,56646.47301,145773.3611,35628.97123,U
14,92202.4658,52475.65984,11237.51834,54310.26868,30207.91324,-910.8559383,-20039.41179,106889.4618,143373.6331,12084.18007,-10994.08549,7682.652197,85206.50389,56580.89299,145750.5176,35574.92472,U
16,91636.58668,52107.75013,11012.27981,53883.39506,30237.81988,-1072.615513,-20201.39488,106523.6084,140220.7631,12337.35828,-10744.10358,8170.635482,85640.61947,56922.82998,146259.221,36032.82255,U
18,91911.60255,52250.77894,10950.6337,53935.04994,30025.18773,-1107.506586,-20363.46738,109209.9305,146252.5378,12118.08766,-10990.55391,7778.116498,85362.07203,56642.29323,145724.3661,35434.26519,U
20,92290.12934,52687.59909,11473.59746,54489.37321,30576.13588,-706.38218,-19816.72136,105445.8073,139776.8128,12327.76938,-10717.54971,8072.556027,85623.58744,56968.96398,146363.8048,36041.45033,U
22,91700.69149,52166.13289,10935.63568,53810.95306,30176.91138,-1102.164519,-20356.47128,108970.9457,144496.2495,12342.09685,-10766.67884,8156.039793,85766.75037,56965.92414,146229.8284,35807.29345,U
24,92548.09082,52890.66468,11515.28347,54602.20481,30532.39352,-656.1354585,-19867.70569,107186.4941,143671.1348,12247.92895,-10810.68943,7898.950028,85571.32907,56888.5871,146189.1483,35733.08566,U
26,91965.33614,52524.3643,11290.06729,54168.24569,30566.167,-820.3984285,-20030.42639,106659.7529,140398.8842,12517.7145,-10546.55886,8400.053787,86023.84013,57245.36565,146735.2014,36223.39353,U
28,92207.85257,52645.77897,11214.29488,54196.09597,30340.50379,-867.672368,-20204.50177,109387.0234,146376.7912,12277.58971,-10816.79145,7992.268561,85707.22767,56933.22354,146133.7606,35582.03257,U
30,92555.53395,53072.36201,11716.98561,54720.89257,30880.41018,-479.579029,-19682.52148,105512.9967,139927.1953,12480.40944,-10551.40919,8277.72269,85959.64592,57249.65718,146762.0235,36177.93008,U
32,91929.28278,52538.71412,11174.39701,54024.32281,30485.45486,-879.3623304,-20225.26654,108928.902,144386.9271,12475.64852,-10617.48095,8349.829417,86065.61554,57226.23256,146561.9977,35911.22906,U
34,92773.06113,53265.72696,11765.37714,54833.79124,30837.76305,-420.6598306,-19722.84403,107264.1888,143773.4164,12393.08118,-10658.00466,8106.28481,85894.64705,57165.03348,146547.3573,35854.76856,U
36,92211.96529,52922.04653,11579.47768,54449.40829,30895.43055,-554.099745,-19847.07503,106679.7577,140378.6335,12677.21655,-10382.51941,8625.359371,86372.05796,57543.51557,147139.0751,36377.4641,U
38,92445.65278,53040.91311,11518.36801,54493.97767,30673.09775,-590.7119025,-20004.09603,109535.6401,146496.2389,12471.80402,-10620.67725,8258.321376,86119.66206,57278.89327,146633.0092,35796.11758,U
40,92833.99198,53499.41444,12065.89634,55075.30183,31235.26648,-170.6779207,-19436.31702,105737.0729,140134.7983,12679.49643,-10351.04815,8538.969879,86376.34949,57601.47364,147275.4207,36400.79932,U
42,92158.67873,52939.03386,11496.08332,54332.08398,30826.74364,-597.8197572,-20014.93663,109033.7094,144549.1114,12708.35253,-10387.77207,8645.319479,86539.04784,57619.26563,147163.8408,36198.22546,U
44,92966.60488,53642.26444,12053.53583,55100.49225,31155.26958,-169.336816,-19547.60635,107414.3255,143958.6006,12575.00202,-10475.10034,8341.40281,86272.5927,57489.42435,146996.8062,36039.63984,U
46,92415.00853,53308.5976,11881.60621,54732.60489,31225.90109,-294.4395297,-19649.84323,106772.361,140416.0727,12857.17045,-10199.27981,8860.991461,86744.88506,57866.31946,147582.6901,36568.9515,U
48,92591.18498,53389.01918,11770.89802,54706.11807,30980.43424,-372.2683039,-19860.46372,109593.8888,146608.2658,12656.27297,-10437.10237,8498.11089,86501.47456,57605.16168,147082.7263,35999.04907,U
50,92979.99358,53850.40389,12316.23588,55285.14001,31537.3503,46.24575928,-19294.60696,105749.0087,140148.3211,12829.61074,-10200.26329,8742.393105,86689.13981,57882.34566,147616.486,36536.36265,U
52,92351.88721,53317.87358,11800.44702,54615.03471,31157.16948,-333.7786,-19805.14315,109149.5584,144503.6256,12882.65143,-10217.00474,8875.229523,86885.99162,57924.63516,147557.0974,36374.80424,U
54,93137.28281,54006.68728,12337.53709,55357.02322,31468.90926,78.09699513,-19371.02757,107583.3494,144209.0296,12779.92282,-10279.41081,8598.514926,86677.62866,57832.70244,147483.8954,36266.77826,U
56,92579.67384,53671.38877,12165.9204,54979.07758,31542.08887,-48.369175,-19480.03703,106810.2249,140485.3184,13047.78612,-10014.20736,9100.4457,87116.57222,58189.19041,148023.8018,36772.28532,U
58,92725.38486,53733.10193,12042.78464,54934.41879,31286.47432,-134.5798534,-19704.40384,109678.803,146643.6933,12834.25991,-10264.16692,8728.49032,86847.94895,57909.88301,147469.9926,36171.24691,U
60,93092.62402,54182.52846,12573.63857,55493.34651,31830.22521,271.2160672,-19159.84829,105789.2195,140256.4141,12999.4393,-10036.84968,8955.762858,87022.67254,58175.91347,147989.7377,36699.26217,U
62,92417.8025,53621.14204,12028.99361,54779.72237,31437.37095,-134.8927778,-19699.86644,109079.6198,144443.1641,13038.80072,-10063.20239,9082.38549,87195.47387,58203.76375,147895.0781,36524.69504,U
64,93238.08917,54327.34541,12596.75027,55567.30843,31760.51012,305.8165676,-19224.13191,107709.6591,144290.7252,12931.95938,-10128.55889,8797.557211,86980.31598,58104.4773,147801.1561,36404.71088,U
66,92717.36058,54014.28688,12455.15197,55233.23926,31852.19697,205.8372147,-19297.55739,106924.2635,140541.0189,13223.22496,-9841.204863,9318.91165,87458.77742,58490.02254,148414.7785,36958.02831,U
68,92874.31453,54068.06517,12332.30678,55199.15285,31597.65531,123.4933881,-19508.93784,109907.3496,146819.7133,13033.52571,-10067.89626,8976.974663,87239.17153,58241.24762,147937.2559,36399.19,U
70,93244.10179,54516.82115,12848.54267,55742.68022,32133.35957,514.4477504,-18981.36961,106003.8857,140536.8838,13200.20267,-9836.779217,9198.59221,87420.48888,58507.92629,148472.5801,36926.60176,U
72,92532.04227,53921.41538,12265.63153,54966.73941,31724.12148,77.67231198,-19562.44791,109186.0365,144555.884,13209.88097,-9887.338863,9294.034158,87536.18151,58498.65031,148295.6661,36695.64118,U
74,93335.94511,54605.57993,12805.9626,55722.78717,32027.88169,498.2203839,-19112.48495,107862.6568,144471.9308,13071.12134,-9983.943103,8973.197219,87262.50675,58355.5768,148107.7326,36509.33939,U
76,92856.96958,54320.25991,12699.45654,55438.51768,32138.92515,427.8123889,-19147.64424,107078.4682,140702.8008,13394.28286,-9667.621215,9525.642935,87799.10508,58779.32117,148812.0361,37124.70527,U
78,92946.9577,54327.70304,12516.84278,55314.73372,31844.32916,296.6747042,-19429.76796,110041.1025,146951.8345,13163.72462,-9933.159939,9139.136569,87498.49647,58475.91859,148218.262,36485.37832,U
80,93390.84099,54816.15571,13079.90558,55927.90913,32403.12277,732.1760931,-18847.43796,106277.784,140798.6898,13342.248,-9694.197439,9362.09522,87696.1753,58754.33192,148779.8943,37030.00093,U
82,92697.02049,54227.34371,12508.1256,55170.00618,32002.93714,302.9108409,-19413.63,109460.5159,144781.5248,13377.02732,-9717.197385,9489.187239,87859.27598,58777.10834,148678.6185,36854.6962,U
84,93542.34112,54929.47905,13068.685,55960.96736,32313.157,739.0380787,-18939.10246,108313.4914,144949.4758,13257.17726,-9799.697673,9185.717605,87629.61181,58659.2923,148555.0804,36703.509,U
86,93009.65434,54602.92007,12902.61154,55586.28506,32394.62911,614.9411935,-19044.93797,107244.5416,140939.5952,13539.21158,-9514.623525,9698.086643,88085.40858,59035.33805,149157.4152,37249.80798,U
88,93134.28767,54619.92975,12742.41659,55500.87905,32112.23717,503.1377677,-19295.21046,110337.956,147215.138,13318.15282,-9769.92515,9331.138054,87810.50447,58744.25128,148579.5779,36630.19528,U
90,93553.02525,55093.85378,13276.8468,56076.57058,32660.52546,911.9511738,-18753.06889,106453.8934,141046.8612,13475.08442,-9546.899443,9532.214347,87966.29613,58994.30025,149087.9907,37140.37384,U
92,92840.80927,54494.04472,12695.8132,55306.55298,32270.62163,478.7743662,-19320.64674,109530.678,144840.2652,13510.24372,-9568.37947,9663.419087,88119.20442,59015.28853,148969.9511,36964.86795,U
94,93639.97354,55171.39198,13213.45725,56048.51914,32562.71423,880.1446414,-18894.55544,108315.1902,145000.3484,13362.074,-9677.232465,9326.354781,87831.3363,58859.09454,148751.3734,36753.5322,U
96,93165.69187,54891.70461,13116.22716,55763.5344,32694.3213,814.6987337,-18916.88483,107263.2724,140860.2912,13665.56599,-9373.62872,9860.829694,88317.73261,59261.38124,149397.4059,37345.18288,U
98,93290.77223,54919.04079,12974.80768,55700.97187,32426.43564,717.8262732,-19144.62675,110449.7818,147294.1291,13486.23794,-9594.754528,9530.761484,88112.5883,59019.9824,148924.823,36791.82074,U
100,93733.29207,55412.72377,13532.93074,56310.54864,32986.5033,1143.850523,-18579.95463,106545.9602,141160.1399,13655.15007,-9366.766735,9733.692972,88288.51888,59284.76116,149467.2328,37321.04299,U
102,93054.17902,54830.63964,13000.71335,55594.77873,32626.26024,750.0574887,-19093.9777,109665.9731,144886.6004,13711.07414,-9370.499476,9893.217372,88485.4154,59336.70662,149415.1532,37192.29695,U
104,93839.97695,55509.10449,13518.3574,56329.86055,32917.41406,1147.806781,-18672.51321,108446.6631,145181.7328,13582.66337,-9463.728602,9579.331825,88239.61326,59206.97709,149255.3829,37015.00291,U
106,93335.05104,55221.30343,13411.60547,56024.89335,33043.94728,1069.821545,-18712.7687,107231.5553,140805.82,13866.9105,-9176.329872,10092.97491,88687.96691,59588.61078,149842.8091,37574.89175,U
108,93407.76126,55219.49294,13242.11219,55919.54957,32761.33183,950.4408777,-18969.59024,110416.9024,147275.9795,13680.94399,-9402.171898,9760.336251,88476.16178,59340.41701,149351.2496,37014.51117,U
110,93822.43083,55715.07582,13793.44032,56519.93978,33318.9855,1369.267865,-18412.92005,106422.5115,141077.0808,13833.94168,-9187.438689,9945.676916,88622.31983,59582.32994,149841.9151,37514.49734,U
112,93084.6668,55109.27649,13235.76429,55762.8862,32949.60057,954.9112266,-18949.96541,109418.3605,144597.257,13879.76275,-9200.469756,10099.1887,88787.70039,59616.17048,149734.7608,37364.20421,U
114,93899.25377,55810.40601,13790.37813,56557.04368,33256.73589,1389.31738,-18480.53407,108454.218,145121.7854,13760.47149,-9289.653217,9788.544153,88558.57266,59493.23589,149584.6912,37195.67206,U
116,93385.16365,55522.11321,13680.00521,56250.02012,33388.47707,1306.995905,-18523.51648,107160.2532,140825.2884,14085.91289,-8969.173905,10330.30573,89072.99806,59918.96956,150292.2356,37829.88046,U
118,93459.77377,55513.82071,13515.63049,56160.21081,33104.60992,1195.483052,-18763.79773,110499.3803,147240.0826,13876.81232,-9222.285059,9978.846905,88814.18721,59639.21513,149720.858,37219.9237,U
120,93909.2003,56025.22862,14079.0062,56780.87405,33668.65619,1622.982517,-18195.90696,106599.7832,141292.9316,14050.32892,-8989.513992,10171.25072,88997.06918,59906.6761,150279.4728,37755.06917,U
122,93202.23697,55431.52159,13545.02303,56052.29659,33318.42671,1223.601547,-18705.01264,109619.1239,144739.5482,14117.11593,-8981.869695,10348.23183,89202.59347,59967.76342,150229.5837,37643.13163,U
124,93933.98838,56071.20616,14006.27363,56720.0326,33565.07821,1577.630827,-18349.39639,108569.8883,145385.7372,13969.21444,-9098.411691,10002.27153,88918.99454,59805.31094,150004.8146,37412.57339,U
126,93481.2985,55814.27286,13938.36903,56474.65515,33721.87569,1535.810713,-18337.46056,107305.5172,140898.7139,14259.98828,-8802.407539,10512.58421,89373.69607,60189.33626,150620.7392,37995.79745,U
128,93500.40925,55758.28174,13714.20338,56295.50592,33408.50424,1373.469993,-18644.55118,110545.3578,147366.9958,14061.0354,-9043.336993,10175.09522,89132.74427,59922.43408,150079.2682,37401.39751,U
130,93993.7346,56295.77414,14311.84433,56967.42171,33982.63114,1832.887749,-18033.45448,106715.1629,141348.2298,14207.61814,-8835.957508,10337.79357,89262.36203,60155.38396,150548.2302,37881.53534,U
132,93253.19895,55676.07202,13751.93313,56197.80644,33619.30354,1412.831415,-18569.85165,109616.0393,144735.1673,14299.28265,-8804.016865,10547.20706,89514.22149,60247.98724,150579.165,37824.44898,U
134,94028.60332,56332.54276,14239.55878,56915.34214,33869.03958,1792.498147,-18174.98573,108813.8799,145589.0486,14136.85252,-8937.635593,10182.71717,89210.57304,60066.53578,150318.946,37566.33104,U
136,93595.9406,56085.39952,14182.18186,56679.71005,34034.91188,1756.958873,-18154.77975,107448.8813,141054.9973,14443.5408,-8624.95704,10708.60901,89693.21426,60471.99642,150993.924,38185.47436,U
138,93588.92215,56006.22964,13933.92103,56465.44623,33693.39957,1571.908781,-18494.54862,110745.1154,147551.9341,14240.67637,-8867.987557,10371.5,89451.21192,60197.67346,150435.6444,37578.0657,U
