,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,48564.23868,37484.38954,7001.795709,32085.34802,28180.58767,-2016.462626,-9937.51853,66306.27111,56885.56962,418.8493393,-14389.96367,-6161.191304,33979.83718,29768.14267,62425.42713,18333.88428,W
2,97577.45684,75396.68088,14474.67678,64711.85413,56659.92876,-3684.215687,-19443.98367,130643.6218,164839.2427,30089.4043,3162.615378,-6962.59075,72216.0947,114124.565,155961.7556,58390.222,W
4,96813.8542,74834.28864,13897.68885,63955.94048,56435.76311,-4123.338058,-19999.96096,131115.333,167339.4418,30088.35376,3174.707672,-6907.359589,72272.13052,114127.7166,155946.8023,58367.91496,W
6,97498.93516,75340.30978,14263.60926,64522.02076,56612.20778,-3852.23375,-19678.67698,132060.5659,170462.0028,29922.63793,3005.460263,-7186.398767,72061.33122,114021.9258,155528.6906,57955.77114,W
8,97356.12987,75323.65773,14334.26313,64523.58538,56737.28815,-3798.611915,-19614.12515,130217.9998,163001.9516,30148.09998,3289.841508,-6806.754387,72391.15356,114347.4566,156214.6656,58639.24278,W
10,97137.30629,75108.81276,13974.86943,64160.28013,56552.05924,-4071.347901,-19971.84246,132448.9722,171950.6737,29962.35698,3066.03349,-7099.875164,72204.27063,114143.8099,155656.7661,58034.33752,W
12,97847.51062,75729.27484,14588.40246,64924.12864,56902.95928,-3612.645401,-19413.56294,130863.4288,165092.0186,30077.35671,3234.230367,-6938.428514,72349.89224,114392.7636,156075.0119,58459.95944,W
14,97098.16838,75173.85634,14025.31731,64188.64449,56678.27954,-4037.619118,-19950.40714,131347.5676,167486.4045,30086.11859,3252.447039,-6877.452955,72420.00966,114400.1397,156083.2597,58454.46091,W
16,97791.85477,75690.31575,14403.71,64772.18148,56852.6008,-3755.450696,-19614.97451,132388.2648,170786.6395,29927.95765,3089.145194,-7150.43481,72225.50478,114304.0942,155691.456,58054.63291,W
18,97632.88917,75667.42756,14465.24435,64757.04935,56974.03782,-3711.149539,-19565.15247,130483.8291,163325.1355,30172.57514,3391.229021,-6752.037317,72587.22306,114650.5686,156433.8468,58769.64286,W
20,97427.00725,75458.21523,14124.58141,64422.93548,56794.95565,-3968.1946,-19897.9923,132791.7138,172219.4087,29970.00128,3148.846704,-7061.38546,72373.13805,114422.9385,155831.4673,58136.95438,W
22,98152.45547,76089.27203,14753.58185,65203.65956,57155.08695,-3500.886679,-19327.03934,131251.6786,165516.6123,30102.21185,3330.61109,-6884.381996,72558.09874,114693.2381,156307.5371,58598.00382,W
24,97430.13649,75544.22474,14221.94561,64492.80703,56944.44411,-3905.02857,-19835.89915,131763.3548,167848.5474,30121.4567,3355.332119,-6811.470605,72643.37065,114714.1146,156345.6021,58617.11456,W
26,98130.14843,76061.19824,14601.94762,65077.99805,57119.74885,-3621.742561,-19499.19248,132829.6894,171268.2526,29984.37345,3206.223632,-7064.268835,72484.24858,114640.488,156005.4756,58253.40697,W
28,97990.15945,76046.66961,14675.95424,65071.60545,57242.2364,-3572.635779,-19444.16248,130938.8883,163808.6037,30221.72662,3504.418254,-6675.32613,72838.09904,114981.0168,156740.3116,58967.18758,W
30,97749.14059,75808.42236,14300.04261,64682.21571,57046.74805,-3859.475715,-19821.7505,133149.4311,172633.5418,30005.80877,3251.575321,-6994.576096,72597.75074,114739.9756,156108.9419,58313.2873,W
32,98507.62469,76455.03598,14947.75146,65495.93097,57422.68204,-3371.581837,-19225.65183,131682.2403,165930.6113,30127.73754,3417.917003,-6831.833045,72762.88542,114996.0819,156546.969,58747.08995,W
34,97730.85686,75875.43289,14362.40397,64711.09417,57189.26277,-3819.957831,-19799.75638,132015.1248,168167.0151,30153.08442,3452.85278,-6749.310404,72859.86964,115023.4404,156612.0573,58778.85178,W
36,98391.75324,76365.53959,14707.49256,65251.35818,57349.01069,-3565.013834,-19501.76293,133039.3711,171490.6077,29962.6699,3251.240045,-7057.496257,72599.8518,114880.2775,156114.6639,58303.98897,W
38,98258.53685,76351.32388,14787.95884,65257.14728,57473.33109,-3508.32981,-19434.64064,131143.6079,163995.129,30213.94822,3554.754383,-6658.718784,72967.91797,115232.3622,156874.5115,59033.34874,W
40,98026.79396,76118.50811,14430.68855,64890.42221,57291.18673,-3778.405938,-19786.07712,133408.1749,172810.6571,29996.48809,3303.58783,-6977.521715,72726.36267,114989.1528,156242.8065,58377.50386,W
42,98763.86509,76758.70678,15066.84155,65686.03256,57661.71159,-3306.135929,-19209.8715,131896.8394,166196.083,30137.39349,3488.436757,-6797.970152,72924.30972,115263.6323,156732.9579,58838.10626,W
44,98019.28377,76197.40977,14521.54839,64953.6553,57444.07266,-3718.235042,-19733.52817,132316.9404,168336.7542,30160.57225,3520.667973,-6720.588412,73010.20748,115285.3805,156789.329,58865.62125,W
46,98673.16171,76688.45525,14864.80413,65493.00289,57603.61941,-3463.246341,-19442.28493,133383.6998,171910.8205,30002.65718,3350.906474,-6997.32536,72814.04857,115181.9366,156402.0403,58456.02554,W
48,98549.64597,76680.85565,14952.80295,65503.91054,57735.82998,-3398.716855,-19370.02174,131469.2058,164292.452,30232.09783,3639.15457,-6620.497301,73137.83594,115504.7405,157106.1426,59145.57685,W
50,98307.35306,76438.07101,14584.60266,65116.95714,57547.62829,-3678.091309,-19736.03156,133702.5027,173150.1354,30040.43162,3412.507881,-6911.226441,72938.0784,115287.9063,156541.2917,58537.05061,W
52,99022.9218,77060.38827,15195.65465,65876.33531,57896.24845,-3224.328545,-19188.97261,132154.5103,166524.9218,30144.79192,3564.097412,-6765.738936,73070.84776,115515.0894,156929.6532,58926.84268,W
54,98261.68844,76481.45574,14634.78233,65115.43722,57665.93607,-3651.112753,-19728.56608,132497.0284,168497.8656,30156.1019,3587.767909,-6693.632209,73134.1926,115521.7502,156949.4345,58935.42575,W
56,98925.98229,76974.267,14986.1741,65665.73717,57831.78602,-3388.591515,-19416.46867,133588.2182,172092.9873,30001.91957,3420.554509,-6963.663633,72943.19695,115416.7417,156554.9262,58527.64052,W
58,98790.41896,76961.28064,15065.88043,65665.84893,57954.29593,-3331.371049,-19349.43579,131623.2093,164469.5672,30242.75961,3722.213652,-6575.749108,73289.35841,115751.6156,157287.1023,59238.94009,W
60,98477.06985,76671.60203,14641.59961,65198.94334,57729.88441,-3662.288626,-19777.65051,133712.8963,173150.8506,30002.3219,3453.769201,-6911.181737,73003.5243,115477.3373,156590.2643,58544.80666,W
62,99192.23627,77300.13309,15258.3513,65971.39728,58078.23635,-3204.167271,-19221.67322,132199.7279,166577.7167,30104.7823,3599.614334,-6773.807916,73131.86802,115696.0715,156958.7105,58927.84851,W
64,98506.12712,76766.82046,14776.35828,65314.16658,57887.95595,-3563.94095,-19667.4117,132715.4273,168568.743,30155.29724,3658.488829,-6663.859685,73262.29045,115745.67,157084.2379,59011.24287,W
66,99141.96719,77250.3781,15103.00667,65835.00693,58045.96043,-3319.703438,-19385.93619,133782.7008,172333.7602,30020.44916,3509.045066,-6914.80272,73104.21891,115664.2873,156753.9909,58637.78992,W
68,99011.20949,77241.95149,15189.37381,65844.86405,58171.48783,-3255.576283,-19315.95288,131815.6802,164616.3287,30244.01131,3790.319418,-6544.814294,73417.21039,115976.5412,157434.6015,59315.53952,W
70,98723.34137,76968.12027,14794.41849,65413.90007,57965.4718,-3559.20238,-19708.44951,133986.6828,173415.5176,30042.77856,3555.179066,-6838.382106,73204.6453,115750.2521,156854.1937,58697.96082,W
72,99472.88477,77620.21007,15437.76875,66225.22369,58331.07928,-3076.449403,-19117.42468,132565.6259,166918.1114,30142.89202,3700.130129,-6703.534031,73324.3836,115965.4323,157216.9849,59070.81027,W
