1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-13329.440454177911,-26164.549727982252,-11400.417852451546,-12965.486999212146,-74087.80742738336,-59989.1093360316,-4919.976582524369,25646.391588019324,-20453.6790196513,-42869.461222822814,-65169.66255541594,-66817.14258398325,-58232.37398056674,-60843.54947132462,-13655.50770229193,-13850.526672664486,C
-42008.02499151528,-55380.82782993649,-38761.54586810421,-17330.693284355795,-139134.42362957285,-114196.13530589764,-24522.054138428466,67213.48371666476,-31837.48952597255,-90202.78933081501,-137047.66476722536,-130042.20337178749,-112412.9801884866,-123503.51345580978,-44351.69480463205,-30977.841434221442,C
-33520.93351136846,-55801.30884662973,-29770.020219090013,-16698.608302904166,-136937.2247978717,-113134.449796015,-16901.919770469638,69587.61895747411,-40200.90880404816,-80620.35061363586,-125927.96247338802,-120132.46806054928,-101562.28113916889,-111779.46469538983,-33042.606180024886,-25907.37055627949,C
-32072.272249731097,-53004.278600725964,-28464.67834290008,-23907.515276374255,-146528.42539887733,-118861.30200163151,-14907.741833656053,54947.15928401462,-34266.76652035314,-89813.198424959,-135520.92886220562,-128361.1510230483,-111832.77360591575,-122564.80724392025,-43607.04643810349,-35361.823184707544,C
-42682.06419730952,-57087.80820224383,-39331.73886915909,-12802.475726899593,-133427.9338631551,-110762.03563952871,-25561.67847653371,76554.03185534857,-35330.15076281437,-84674.15239502817,-131311.17895974862,-125167.17614736274,-106162.560720749,-116995.95951985831,-37820.38096432459,-24883.012459637222,C
-27381.5128065959,-53364.879294023434,-23483.12270440134,-23095.185827635032,-144823.74725624887,-117948.16618539885,-10732.8830042938,57209.87107871426,-39265.19772591564,-84152.28386548566,-128964.0893297302,-122508.10086823713,-105416.39243559747,-115642.51668960055,-36885.27338329236,-32377.418265034947,C
-41872.081681738106,-55301.54619235351,-38627.1671804389,-17336.035351280614,-139586.35355071467,-114433.01909363498,-24392.168151398677,67385.659204204,-31812.96966230508,-90492.93732558934,-137368.83698330368,-130344.28719810095,-112630.4403102923,-123819.94710206355,-44396.04066563138,-31034.86073432693,C
-33766.378017232186,-55853.70133563296,-30024.338367502496,-16382.062897928108,-137005.26350799366,-113138.02607512785,-17144.97263967665,70338.88344036143,-40173.37145487922,-80819.48230498818,-126183.82289216793,-120394.87754045457,-101684.52282959496,-111997.4836108069,-33002.50715047206,-25755.535156194586,C
-31925.60010261537,-52993.7062255986,-28310.294843947275,-23783.485446391758,-146777.66970129844,-118987.76817175963,-14783.77905890692,55315.493680893625,-34402.86629234151,-89898.82795796728,-135599.27172652146,-128452.25673344813,-111822.80472788868,-122626.45335512797,-43432.97105228556,-35349.03798687911,C
-42873.52924031368,-57111.6798653221,-39535.29620591357,-12591.698776686047,-133588.9334784667,-110833.18124212995,-25761.726589408707,77041.09871877417,-35254.15483166633,-84964.03216886905,-131630.5183327816,-125475.25024119024,-106387.9110083474,-117311.18617191151,-37896.08632279472,-24946.379655168017,C
