1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-14254.422694971883,-12392.075346955698,-16813.98800778246,26899.855065328487,-3072.426089337598,-19546.53347093266,-7301.465547259516,67863.7183146141,-6645.330088773977,-5700.320684948049,-24805.67542382186,-22649.313229240564,-4946.306937492721,-6389.268504293979,93749.98882412778,34485.85831950406,H
-24622.033491377057,-22212.6942530506,-31222.5706842626,56182.40608959271,-4429.042867308005,-36111.970080372106,-12120.903983223914,133987.5321373382,-13648.265737088412,-9612.85944138282,-41416.329612294394,-41313.6009947778,-3226.11668421229,-10024.690332971852,187500.0,84814.20842578512,H
-25436.396948861715,-23837.397854017956,-29154.117900624027,53969.42692630612,-7812.716998185754,-38108.74081954251,-10574.587950061315,130451.70968195316,-14490.68063386448,-9824.441054396755,-43834.96717631426,-40237.99034809951,-3998.6823795655228,-10680.579922268382,185723.2821849921,80308.00733661739,H
-27096.572768279646,-23610.14766814085,-33174.168547888825,55193.296693956465,-4964.0542225902345,-37798.47625475839,-13975.182351491732,136158.44531755988,-13963.805313563982,-10627.025142553466,-43575.32931272141,-43074.158498544515,-4595.943343155783,-11832.387665794811,186241.48502844395,82473.06435979181,H
-23429.433814219694,-22114.324225702792,-28684.887729273767,55935.3522581282,-5893.015073897252,-36110.11488558232,-9851.263147743124,131172.19581272552,-13854.08060003288,-8989.156364101931,-41521.4498664677,-39497.36529557291,-2751.656204659487,-9241.842835169176,187500.0,83819.84637020188,H
-27614.932073942673,-24603.369784756876,-31816.367127462287,53911.58061165579,-7013.597430419616,-39012.220682170475,-12923.353960913893,134220.75023898485,-14390.120135560053,-10640.34678224883,-45079.78052851922,-42272.580238888295,-4993.156193871045,-12178.303262985142,185221.37376324818,79779.50033897166,H
-24372.029229644446,-21937.611334039135,-31017.828705051987,56821.24129786984,-4146.941500537575,-35901.751923769945,-11765.868874295817,134899.9526977483,-13409.660865028009,-9329.685190878534,-41288.16470958766,-41098.733675328935,-2952.1737041680462,-9832.04064751156,187500.0,85397.29838339072,H
-25188.069067963253,-23579.123446836886,-28857.443196468736,54542.34684018455,-7569.26179757855,-37898.79088387381,-10237.143664019546,131169.44654815752,-14286.028061631689,-9572.603949618811,-43706.60110790743,-40044.200723672,-3758.9375685378996,-10498.323797979809,186480.4028249267,80860.09542466348,H
-26890.310870446072,-23393.872188791298,-32958.54126912847,55738.94747959942,-4765.637787060474,-37645.67972966191,-13642.186062596567,136943.84091423047,-13802.269256385478,-10415.06354988379,-43528.68122204319,-42922.36780194852,-4402.265477450547,-11700.959408397604,186766.77337488811,82904.83300743497,H
-23226.79289898788,-21899.591016720657,-28483.409104753628,56465.33447090799,-5670.3693473779385,-35934.89956079717,-9558.298833167415,131931.4845718723,-13652.780789468383,-8776.300701654041,-41445.92332195322,-39370.04975915549,-2555.6984610198097,-9113.163842339975,187500.0,84309.70720168439,H
-27418.95197855854,-24416.330387154867,-31591.86620615318,54393.21600117874,-6861.449105912341,-38869.84006999017,-12616.7774339649,134852.96933090323,-14257.39547698444,-10446.244233398942,-45032.48423725179,-42128.45619064048,-4812.509395183253,-12049.557214922574,186357.2894164669,80179.52950948829,H
-24287.986670492493,-21789.531027022724,-31025.60711212243,57242.4599221301,-3961.6231872586236,-35803.09132374422,-11625.119939460748,135522.31467036184,-13308.25100043428,-9193.406604934527,-41273.5913722028,-41051.347977083686,-2835.60935683362,-9764.404268789802,187500.0,85764.80576572487,H
-24966.22800424433,-23346.888821946242,-28686.63116534128,55069.57978839634,-7345.185559414096,-37700.88853846652,-9971.090849768025,131840.22239926129,-14193.245970397707,-9400.38375859067,-43619.33989755391,-39915.61113782062,-3592.797052001602,-10356.010241032869,187181.39823453408,81297.42965667602,H
-26760.849566560933,-23212.51013428094,-32938.11177469633,56236.76553210802,-4559.979386327193,-37502.82973084805,-13439.008705497827,137728.90123473422,-13692.477487621009,-10234.282640729267,-43486.07879711137,-42797.82388184356,-4221.417513062658,-11572.43687777959,187456.27998784542,83305.7115442409,H
-23020.0839662652,-21625.446870976313,-28444.20414497902,57093.79846975786,-5340.234081773053,-35696.76407537032,-9358.51894122588,132859.01491153418,-13522.492471038398,-8554.325527468387,-41281.95092462908,-39216.783847425446,-2301.380312607326,-8907.259572417686,187500.0,84894.87587152433,H
-27227.75515648784,-24176.183244727046,-31481.917975177526,54933.6141268747,-6616.250469237622,-38674.217602517325,-12402.915943016524,135524.50514131846,-14155.337411801507,-10211.059178240203,-44894.55162221809,-41901.76479837475,-4561.164028783325,-11825.704494202673,187500.0,80684.96950685616,H
-24156.424302628555,-21542.65600951386,-31124.558284826075,57849.80152246971,-3616.6463633354147,-35594.19192006492,-11524.470034178501,136459.23274269496,-13207.556391663122,-8990.273951324696,-41133.91532110159,-40901.43482702194,-2606.392217444446,-9578.214237477094,187500.0,86298.09603668404,H
-24753.104120862976,-23052.0916643252,-28654.154080647717,55666.61723454204,-6996.163069744476,-37443.798773741575,-9829.827824810485,132497.05076182494,-14106.36473969993,-9153.978127715365,-43391.97795295453,-39657.85082076202,-3325.380781338308,-10091.678511104406,187500.0,81876.13867236837,H
