1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-29686.268232615977,-42986.98669516882,-42624.351993125914,-22401.52179020903,-39847.438317231936,-63710.9877122626,-42557.14029754881,-7863.1201819324715,-17754.59411795069,-26385.27320447841,-38309.77240917354,-34701.0385633753,-30564.155347842618,-24496.729611960604,-14354.98319327631,-20966.606851411685,K
-51577.27617946579,-79712.95919572821,-78823.98561525175,-36364.4330339948,-73624.76868924721,-120834.55870563492,-77435.8305258549,-3571.9428744248003,-67283.69054599888,-32707.03944051736,-102471.14777221058,-90413.18630137281,-76012.42673545203,-69314.14536406343,-28150.077539691632,-66458.01710581983,K
-38341.06485141097,-66833.59346790236,-64546.808844424355,-20852.210623289422,-60670.83754191847,-109857.14761700007,-64712.703491771645,5729.176787039851,-40627.00010859968,-53433.78972217914,-81923.63612933591,-72142.69156964918,-56803.69517847242,-49895.50857490404,-6993.190287731921,-43420.67759283514,K
-59761.43446700984,-86677.1592709016,-86277.53243178516,-45315.25615635588,-80510.22356870456,-127823.50216192033,-85549.938446276,-14379.167780776952,-56983.91729401556,-28220.39612774803,-94057.25825515488,-83038.2505700887,-68952.65060098775,-61495.326339641375,-19913.66087361108,-57801.43234746842,K
-37638.75068888077,-66785.5595690679,-64836.77802524305,-20453.99194407367,-60754.45541792577,-109250.90125213878,-63972.503122389695,9444.237881211982,-57407.393444465815,-48240.92069159993,-95345.59045381432,-83912.85197888041,-68665.81066439279,-62373.749896734946,-20324.575343677443,-57958.81098017824,K
-51263.23416986873,-78403.77281949196,-77176.52793842887,-35475.05712211813,-72197.47569530913,-120796.3595743608,-77397.05024922494,-8350.052934891335,-40732.85797034001,-40229.25081601749,-81573.83132861035,-71906.34422377875,-57220.66697128618,-49658.557731933324,-6971.911427010468,-43804.47939687722,K
-51614.87181363962,-79658.30918053498,-78989.58968992111,-36455.76226183918,-73630.35662536105,-121005.34838501793,-77607.44721978274,-3862.9178837439877,-66970.2073300132,-32470.937963835953,-102431.20520486895,-90253.9524738732,-75790.9432996444,-69120.7133675472,-27893.14423717788,-66461.05694306576,K
-37959.43116658106,-66378.4672473034,-64276.889178382065,-20464.072580823016,-60275.613996459724,-109650.55044299967,-64436.74885472642,5978.152868527516,-40461.70895835268,-53564.681537709424,-82004.9517756643,-72090.45554285712,-56656.1736650674,-49816.919841399176,-6849.602681351028,-43544.39449839527,K
-59620.66318043032,-86395.05790413117,-86174.2897241461,-45196.389579342554,-80278.01129555838,-127795.40601914002,-85473.04844534975,-14403.955865377888,-56361.28710046853,-28278.577718565193,-93755.26383581923,-82661.80248997241,-68484.24744418233,-61072.69955548043,-19397.715556349227,-57518.0792830085,K
-37810.88147293108,-66781.15627541022,-65042.168205042864,-20711.52874368772,-60793.88389514493,-109460.7394290852,-64167.410334039974,9231.941012375477,-57482.98704421366,-47933.405391383814,-95575.18757285924,-84018.35221270946,-68689.50351351542,-62462.21810128905,-20349.989277123128,-58265.63337631624,K
-51121.1664821108,-78092.61418492964,-77044.11620427563,-35367.23230686573,-71926.30433157734,-120727.53855318291,-77259.7881865249,-8214.71312221445,-40462.75949034208,-40450.71190008067,-81548.48445039803,-71787.94703339899,-56998.557686633794,-49516.91472732004,-6737.1063515074675,-43807.38512365641,K
-51959.89334105174,-79781.1320163169,-79319.43438284808,-36862.496955692404,-73780.13566495606,-121323.57017082813,-77932.15101148498,-4185.453556234069,-66823.26696196401,-32272.38741783946,-102466.40920238606,-90201.71644708115,-75641.94657110532,-69044.8962503548,-27711.91629313425,-66548.8545952862,K
-37900.959003085976,-66151.0158957262,-64232.409206916,-20426.320484438,-60073.308357394744,-109624.2200880313,-64374.14161850711,6139.331297794735,-40589.13625349239,-53632.630840853555,-82262.667389234,-72228.96930324666,-56703.7828807572,-49942.402534771274,-6899.916458119925,-43858.7047289258,K
-59692.41228013185,-86274.49259453925,-86235.82407663156,-45299.92285965954,-80174.88034664158,-127879.09095038069,-85557.448632413,-14514.328779498193,-55949.61267109069,-28379.249975591898,-93581.12139476794,-82417.11794342018,-68149.37360875293,-60793.63802595592,-18999.85450504476,-57359.426600864725,K
-38025.14529527966,-66840.50015693906,-65295.90520809952,-20980.286119018332,-60877.81469557461,-109669.30355659766,-64401.2989880203,9122.775092455757,-57748.50341659826,-47678.81902203787,-95924.12065555104,-84232.23605540229,-68852.6041928058,-62669.955214256675,-20512.352348846478,-58684.974454042254,K
-50774.669739564626,-77654.89997326136,-76727.54844755512,-34941.275112780946,-71520.50841099124,-120486.51969272134,-76964.78986320375,-7825.815120436564,-40032.22018864396,-40830.37863139852,-81358.38286380564,-71522.31890229213,-56624.68005712987,-49207.25365963622,-6280.013177396439,-43582.59362966938,K
-52282.38431005291,-79987.55037636166,-79688.12640763837,-37189.86060498484,-74025.58017081978,-121670.40218954113,-78309.00142300146,-4493.281780872558,-66687.03307950891,-31954.791480874002,-102490.92906605352,-90131.71078344712,-75491.60873789892,-68946.9732578961,-27454.424197009113,-66566.26660421689,K
-37605.06660998662,-65835.85629890636,-64022.05693984711,-20054.342753212783,-59806.71910127629,-109466.21560647675,-64158.58139498012,6514.661790688252,-40741.30692974412,-53742.26614740684,-82543.13707865919,-72380.7823515871,-56735.343543928095,-50078.45760327073,-6848.082762728067,-44105.06565631219,K
-59654.61548025793,-86187.79017779711,-86253.79487917363,-45201.17285265599,-80137.97761654588,-127962.01592230987,-85611.83042667275,-14566.475399312425,-55449.69355460329,-28479.29638377385,-93321.39412419726,-82095.49869245276,-67719.84013555529,-60427.62821050027,-18414.931704393828,-57027.72671314797,K
-38185.29554430194,-66963.16653050978,-65557.68883916007,-21169.873615488246,-61056.80746517271,-109921.76651022036,-64662.635584191754,8915.730883566248,-58102.37623481468,-47350.96363436743,-96338.29848030789,-84506.73782905792,-69041.67759915323,-62937.79616806462,-20624.245181589748,-59101.298046266806,K
-50249.51550358719,-77136.33950189824,-76290.54949170942,-34336.213390375786,-71068.19851019366,-120166.80034003263,-76573.38846604688,-7457.5701305353805,-39591.756712407674,-41354.41528015319,-81145.90718101349,-71240.97749483318,-56246.51089269053,-48880.828783610916,-5810.894764768454,-43320.63118465319,K
-52458.493704616274,-80113.56951160068,-79963.61165805002,-37373.94957231874,-74230.94799887514,-121950.08956791039,-78602.43512421074,-4840.426724007932,-66486.96261488946,-31616.20725586501,-102432.56866128072,-90000.30487779438,-75293.81815121391,-68773.8813488342,-27160.699923121923,-66510.76722273436,K
-37080.91820250967,-65355.249089628356,-63636.55640322643,-19448.18579532931,-59412.18845989567,-109164.69057377466,-63778.713497962184,6953.314775623653,-40808.94330846588,-53932.39008574368,-82720.16289474523,-72458.72288450276,-56710.33194188261,-50118.13194967889,-6771.103354823989,-44282.0020654204,K
-59308.565772600865,-85840.64523466173,-86012.86542568987,-44804.60820252993,-79873.24355521722,-127832.6216736581,-85434.35757569762,-14561.602719021168,-54710.3649032551,-28646.24156311054,-92833.07556308217,-81597.8594538998,-67139.00770413967,-59852.36136345403,-17698.468887623418,-56511.31200925255,K
-38040.92562686511,-66855.34171525738,-65571.27869978889,-21025.123718395676,-61033.22637477236,-109978.65169985911,-64687.110744370315,8866.221769597742,-58175.824067094814,-46968.190010570295,-96499.70042701965,-84584.4101410401,-69070.04196286702,-62975.101229560525,-20578.82643685656,-59302.46374636457,K
-49493.110119475146,-76477.27596488905,-75682.62674601398,-33468.29515317621,-70492.50698000277,-119729.24259057554,-76018.77463087733,-6978.907523024979,-39005.62691755616,-41739.49113362922,-80805.4230577258,-70875.16884507763,-55772.005709648816,-48443.20397892046,-5185.381196186686,-42927.79927585117,K
-52291.63793225741,-79987.21510019482,-79933.99559664674,-37262.7943471425,-74174.19691970313,-122020.69872864471,-78654.80526146952,-5128.5854135257505,-66059.59726090399,-31401.943433516437,-102192.48857408627,-89731.39104025258,-74990.41557197757,-68448.32819084266,-26700.499856531605,-66283.94172000191,K
-36496.91182338141,-64864.09185696744,-63216.38831095557,-18936.822585680795,-58995.641350226564,-108884.17618086055,-63428.30520013633,7143.394010471584,-40708.852196795015,-54017.72904607404,-82758.92081963073,-72430.26911381115,-56665.74021169427,-50058.29632977204,-6642.223196294689,-44362.33423499278,K
-58853.79717991319,-85444.99700605834,-85681.16553797311,-44452.501172125485,-79552.20544960564,-127653.69595929337,-85202.2123577848,-14564.73196324491,-54040.25960448499,-28766.628058746825,-92411.78988358854,-81164.41442542248,-66692.0398702669,-59372.245892554034,-17115.91537188475,-56101.62688513123,K
-37884.083436022214,-66744.63352497024,-65551.22918501249,-21016.048910146823,-61012.752176851296,-110033.52523249689,-64721.778300020494,8739.643840747338,-58209.84342215579,-46661.501724899026,-96611.61561150738,-84627.57135958331,-69099.18863763675,-63005.74547120875,-20503.63516850891,-59472.04643154698,K
-48964.379604384856,-75986.45400839497,-75256.46838622908,-33134.56125671402,-70080.67608841373,-119456.35014252069,-75696.14955140943,-6888.092385303067,-38621.35572688052,-42032.65661390503,-80598.8258837254,-70633.14415611555,-55515.720607724266,-48183.78963277217,-4810.363627715544,-42740.51400906015,K
-52369.42200296188,-80051.18579282591,-80097.09627593712,-37590.20269992384,-74316.0410900165,-122232.99559748122,-78890.5714619841,-5507.045150643009,-65883.68903204073,-31139.869229777963,-102122.68407615233,-89612.2562423058,-74913.16794314003,-68330.31098011864,-26542.763595910503,-66291.45190613889,K
-36247.19813432672,-64645.49179619453,-63074.521788897735,-18862.860663278185,-58859.87685440503,-108801.40767114254,-63322.201469206986,7268.742593376946,-40900.13842584353,-54011.202336693095,-82991.98245906622,-72574.6837347369,-56797.54844874721,-50217.7536747162,-6709.077263960513,-44645.2849680525,K
-58740.60794599151,-85324.67756565542,-85632.90812169411,-44506.99472510752,-79502.7633908705,-127672.60553510256,-85221.05487836062,-14659.436304502047,-53731.09027517919,-28863.679333171767,-92251.03613746597,-80962.04173112413,-66464.99085008989,-59161.29012838485,-16758.198053622014,-55948.6068425902,K
-38079.549441283874,-66922.70987304568,-65831.76592967105,-21419.34143535393,-61254.32983092426,-110294.6830147127,-65033.0486933051,8454.524988475441,-58556.47427516869,-46386.262343676375,-96960.34752849907,-84877.44151084918,-69360.21230938582,-63276.91683494054,-20707.4383744524,-59908.08426238111,K
-48827.85514925184,-75866.24632671432,-75199.80671403489,-33122.51366645261,-70019.85699175084,-119435.5406684328,-75665.41590278338,-6769.158753056378,-38652.60346562904,-42214.37629632668,-80731.48348706764,-70687.68241258651,-55542.632108048456,-48245.68161316891,-4775.3384441540775,-42907.436836652385,K
-52715.561117596764,-80374.14614846066,-80508.34602217031,-38073.02273190293,-74688.86818753103,-122609.71189853095,-79313.82409498979,-5821.422436406903,-65990.41861181482,-30940.826945403453,-102296.2453718478,-89714.80604586675,-74968.77908334484,-68430.62560923405,-26509.325386205364,-66506.52039128785,K
