1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-35950.27756098242,-43847.998243331705,-48510.81800589777,-28389.867054208167,-43718.022849324094,-63933.38756959291,-48098.853003842,-6944.619947030538,-35461.57902021158,-15901.589799116828,-50951.94142483967,-47297.90059303053,-40995.51331943433,-37716.75827702979,-21029.035273675356,-37245.85172484538,L
-48287.233506111326,-66547.49113887444,-73844.41928200952,-32742.645769434665,-66376.70145949144,-108181.0797072744,-73397.20557894773,9981.283245239645,-59259.838969688295,-49602.857184750705,-104166.21466472324,-88150.72037586218,-70069.43316095271,-66989.78745815605,-1738.5410354782387,-59624.41827349881,L
-59662.23742511719,-76173.87338565271,-83829.61408252885,-44822.55665332755,-75807.12596263003,-117883.70375438975,-84661.16603149964,-6010.585249732167,-39052.34206346775,-44865.85198233747,-87786.85632787422,-73777.78873178826,-56068.836876015295,-51675.176820180044,14397.987949608321,-42571.870097144856,L
-63450.65694459164,-80176.6237827091,-88699.56746096224,-48341.16826548198,-79949.23948636526,-120728.7455473835,-87921.88321612874,-4635.483579097221,-67238.45061522134,-35302.52400666762,-109696.95266448888,-93288.40294938123,-75965.15279592905,-72475.66550679988,-7591.010044933563,-66440.35922770014,L
-46361.20603814197,-64383.08231628923,-70936.74790105199,-31186.629079178463,-64092.196713947866,-106731.36791364764,-71747.26685849033,8560.539312426963,-41434.09924913636,-56083.723137822526,-90014.23001459004,-75755.51578468274,-57320.31104806794,-53688.75607118083,12759.090990911842,-44353.25942674392,L
-69869.76502773345,-85565.76348135037,-94154.95773016903,-55244.48218875912,-85197.11616004899,-126195.15522660676,-94274.4501560271,-13991.744994133114,-54638.973431464845,-33018.332185546424,-99412.87033711319,-84334.71880372988,-67183.39826862792,-62899.90996121287,2668.4630117968336,-55745.004802346804,L
-48065.615959836956,-66290.73665031632,-73237.2341438811,-32852.88457308824,-66063.6429266504,-107907.13672723017,-73102.87780796025,10069.617339327018,-59676.76605901314,-49313.58090801012,-104091.4704312647,-88365.56534356659,-70149.67592354727,-67106.86589561295,-1222.4392560051986,-59700.45890813576,L
-57192.68258722813,-73875.57761378022,-80901.26733795015,-42470.05790115093,-73462.31621054605,-115728.05681563102,-82257.5711914982,-3972.0167484303415,-37277.077111849445,-46260.422022392995,-85919.83746526689,-72412.07479382453,-54472.4082317839,-50074.52369624659,16767.94341420453,-40693.16127218739,L
-62738.105683100905,-79401.75585767697,-87477.57523984615,-47896.32384733246,-79143.50380224036,-120093.21839728576,-87283.56209797408,-4868.679328999439,-65661.11036075477,-34630.85408578564,-107877.92299722708,-91988.60430581622,-74568.07936049454,-70950.82950005884,-5286.992226480512,-64711.161221404225,L
-44116.934432617956,-62248.98245918542,-68217.54642934162,-29227.766898604263,-61932.70527514283,-104776.35023311977,-69598.70542272394,10013.514460744198,-40667.72498699725,-56250.176578781204,-88913.8312833108,-75093.81474182782,-56581.16121067539,-52858.43346815508,14282.988224385766,-43415.98372649953,L
