1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-25634.992198347118,-33866.46912890305,-36102.91762386771,-19608.917189707423,-33756.90087758313,-54646.170693179454,-37680.92843066793,2688.870154484529,-30494.261442930874,-15354.642612295464,-48358.736736623854,-44439.291291152396,-37532.53519922915,-33092.45057016022,-8955.62874741897,-30806.58236820488,M
-42429.75770589802,-59298.30632189588,-62416.01704549993,-30713.241483359518,-58980.33040527468,-102070.13512493791,-67230.22517326179,9432.324401417303,-39057.21474375901,-56077.03996623039,-82806.86531148736,-71855.44930165402,-53350.17184617184,-48602.28134420888,18588.448296600378,-37821.20797886944,M
-65323.50961250182,-79832.96571170875,-85027.08643997747,-53877.740070550455,-79466.01712298598,-121188.2527098957,-89231.82955167646,-12824.15691902124,-51547.593062829146,-33657.27915254583,-91707.28525010172,-80001.63197536851,-62737.6586482118,-57292.930161110184,8938.909642566401,-48759.056479818406,M
-44115.459217483905,-61095.69950052494,-64732.127157703304,-32239.530353490158,-60883.15676249943,-103261.61721487252,-68660.1556730456,10612.764729590981,-56505.32174173853,-49378.75859484179,-96383.02432096296,-84006.0811050035,-65632.67894180762,-61438.284687791434,5029.120150699634,-52719.33856240971,M
-54339.66122146383,-69713.12400259066,-73646.3828261355,-43160.838563542195,-69327.22113456979,-112011.3416923692,-78877.67450543339,-4456.043774610016,-35768.51317507186,-45485.889373527694,-79548.11508037032,-69230.66159852286,-51224.72211417224,-45814.25885132061,21627.436176232837,-35176.88485108434,M
-58715.261067779196,-74143.03858793242,-79067.84314725913,-47099.953544134325,-73906.17715193954,-115438.6464284237,-82767.39213077929,-3959.16449536854,-63272.5358930273,-35610.016955139276,-101030.93546997732,-88357.04932892912,-70693.65032835607,-66057.76441785865,-27.045610790921547,-58686.09204126502,M
-41140.97847234947,-58007.202506923975,-60937.20328059236,-29749.88129733578,-57725.77169248721,-100825.61234541087,-66140.28705838765,9823.837557296463,-38217.280890617476,-56124.98445808703,-81887.69452425177,-71288.2290826117,-52517.27879253373,-47903.34229509143,19802.148020523553,-37145.69355794115,M
-64232.09628249363,-78695.06075323353,-83694.98952567454,-53183.181963346244,-78346.10531879727,-120117.24652257521,-88343.92885493385,-12817.093767773364,-50162.053127533574,-33768.63554342217,-90339.11262024792,-79045.91608594848,-61537.88406108428,-56182.562551803894,10576.24197915101,-47614.96008812906,M
-43356.99747288197,-60264.862807376725,-63741.92252658874,-31916.994681000077,-60059.114999665624,-102460.2401209164,-68073.51178807161,10409.475613769962,-55887.92185639404,-49089.996408223684,-95607.99993371964,-83589.1316639342,-65006.606579614476,-60899.38412897398,6014.47445326739,-52239.424257209816,M
-53229.20420517972,-68563.46202653194,-72280.60183293842,-42458.613807989816,-68177.17917885532,-110910.09359480067,-77930.16170622846,-4234.537987057923,-34646.67912086,-45750.779897067536,-78386.94195591712,-68473.8091795217,-50225.64384050892,-44912.23185208224,23002.73901256788,-34254.54011613609,M
-58554.14969374534,-73852.26474431333,-78624.6080547104,-47384.915934195036,-73599.95825290182,-115125.81141302723,-82705.45544689363,-4542.6567843743305,-62731.60132546441,-35158.31055144197,-100303.52029842381,-88000.0696182334,-70103.07253635795,-65576.66547020263,953.2571975299356,-58216.68305595912,M
