1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-38305.88320563832,-38609.039915685644,-47025.34342114251,-27642.670588811707,-39754.097432386574,-62570.75817236402,-48653.17626633361,-5462.609882665859,-21564.15838767986,-20445.81120560303,-42532.06164026995,-38489.21221366074,-27926.87301956094,-26160.36995176911,12343.884985910057,-19724.542763774727,N
-76361.04689372146,-77455.41065399774,-94829.57808131911,-54340.44353251976,-79844.63332231443,-124705.433810405,-96748.22947361821,-5940.244309931316,-64993.15082945238,-35573.382445977026,-114321.08155740281,-94136.83046541578,-70264.54153830309,-69879.95742320508,3835.492293297326,-64287.439201764966,N
-56776.71662291487,-59883.854971391556,-75024.61374099419,-35327.55796045756,-62232.41981654404,-108419.81868980154,-78123.28077832233,10936.172120114818,-43156.39056639559,-56733.62245960504,-97796.8839164834,-79393.15043606168,-54487.339197080044,-54113.28275362048,21111.021472337423,-45426.94782339905,N
-79688.32757333847,-80342.58548528976,-97354.83346639079,-57983.84493396818,-82549.46262234004,-127640.7319475093,-100224.41747479647,-12341.850977164624,-51014.30279186997,-35724.21201756144,-102937.87454818185,-84195.4227322844,-60505.25581899355,-59383.42176478169,15353.525025072699,-52187.09882343994,N
-61454.60146124381,-64469.829436520275,-80206.75393423486,-39598.01520085516,-66799.06002271891,-112205.01955807443,-82455.5629438833,9053.909367788956,-60788.98886310922,-48119.0589808296,-111310.5698002064,-91542.95522486631,-66824.11632825331,-67031.9204964543,7609.986675976119,-60347.11722697225,N
-67639.12798632718,-69623.96289395844,-85116.35930733196,-46272.40255742104,-71772.01023960236,-117640.02503633799,-88808.2639942484,-2059.936769001099,-37382.30912474503,-48345.03511727275,-92448.64791019534,-74927.69657703598,-50565.569170185234,-49485.24230542687,26436.682216725614,-40277.77645322996,N
-76003.97777604792,-77524.63400657583,-94292.08568240234,-53917.97321057001,-79736.316768684,-124423.84653375704,-96551.77999160052,-5921.066513188662,-64854.12297894037,-35492.1785583709,-113696.50676208816,-93919.59386105464,-69915.76491782248,-69650.13678671561,4906.789053295738,-63768.18582632373,N
-56121.51993769645,-59668.540617053586,-74191.67598386717,-34634.18449570948,-61859.279794607144,-107886.88604675366,-77647.00980746864,11198.82746920913,-43248.233884362446,-56784.830306152144,-97359.66144319314,-79345.31770292732,-54301.19386925625,-54060.7114506616,21955.53743309229,-45121.6006423951,N
-79027.92293166196,-80098.906767238,-96477.25927558652,-57294.830059388885,-82156.31778911565,-127111.04030740743,-99752.37098364485,-12212.076748857111,-50574.62162668963,-35896.76748475641,-102059.58510155501,-83777.6239249258,-59979.96747254938,-58936.00689601981,16564.341373961135,-51446.45141916889,N
-60981.77265903624,-64403.355348510195,-79523.01407134702,-39063.5179356954,-66592.19462778505,-111813.70756789537,-82148.7852512342,9094.813060142167,-60773.3426419905,-47936.44522862974,-110755.17365398094,-91425.38504903139,-66612.28884605037,-66896.0889453994,8483.738718478528,-59972.077306756655,N
-66696.91255055816,-69146.68609460427,-83965.28917137255,-45271.71495815694,-71153.35865656837,-116846.2251837522,-88054.25024679306,-1617.4169322749296,-36987.66672464213,-48592.53598362637,-91599.63924880496,-74557.64109583391,-50075.507173002625,-49078.35114936247,27647.006827236037,-39559.39138643639,N
-75419.56906551946,-77381.76165601751,-93504.49961477514,-53314.610220743445,-79438.83740172832,-123949.83308909334,-96159.41746943205,-5981.5950371736335,-64437.888793693644,-35376.441225581315,-112810.61772234652,-93519.76585623811,-69451.13920583001,-69227.71116825475,6120.913460363563,-63043.81049201614,N
-55173.40364139124,-59239.16360606714,-73084.14704610671,-33638.34722499218,-61270.847770076725,-107106.51959258552,-76895.74532458131,11605.338645617801,-43097.158443589025,-56785.29969278571,-96692.64068515786,-79135.41247074753,-54027.02737176745,-53846.24646261293,22980.476675090395,-44617.38999097228,N
-78022.80968699571,-79622.00994753957,-95309.71590396356,-56268.30384353446,-81509.12302841223,-126296.47568422266,-98969.18820967534,-11940.056018836025,-49850.112181915305,-36035.191838168124,-100930.15145422834,-83158.4806035138,-59300.809717274875,-58291.82962081786,18079.63318581977,-50438.43244772345,N
-60210.57042009478,-64148.00901985276,-78617.18727555124,-38314.35451678688,-66152.73698004926,-111209.78578445743,-81608.34242204935,9059.586710880603,-60476.08679247938,-47771.444651060665,-109959.38449613863,-91101.06123698488,-66268.18374016092,-66572.97212755348,9633.154825348238,-59353.02339232247,N
-65460.77167520186,-68498.75372633383,-82628.63250120074,-44105.803263879214,-70306.13813473441,-115875.86890171397,-87087.93963050123,-1263.4770588251424,-36390.003429651675,-48836.5276261005,-90587.97694301332,-74036.6219325807,-49548.14011432411,-48546.7596109819,28957.69077035079,-38715.68008848192,N
-74576.23774722073,-77088.14914085259,-92553.25407424619,-52571.615883304585,-78935.27495089472,-123325.66062517889,-95586.02816892006,-6091.96795129394,-63810.67649253327,-35269.063445218024,-111758.78933176868,-92966.24725654689,-68902.20271375212,-68657.0040770774,7481.486497102559,-62164.6716791,N
-54181.43322246471,-58834.664086659446,-72020.15930654517,-32800.82736025183,-60645.647125917334,-106357.91496728838,-76180.51185375593,11690.141164081237,-42843.01910913218,-56764.42316346445,-95950.0933826081,-78853.62402839947,-53765.82488606273,-53566.290863310205,23983.26533833329,-44078.53413564374,N
-77052.16283227954,-79249.60753316969,-94251.56196970487,-55470.30186299108,-80895.21001520277,-125558.28697184169,-98269.51155299087,-11876.264140160578,-49210.53936607115,-36122.49775201056,-99890.7282818232,-82609.83468411383,-58772.28036788468,-57729.392675088966,19386.36087016593,-49561.23823657492,N
-59650.56981451152,-64146.22088029634,-77968.89727936951,-37947.51768678638,-65895.5578083465,-110802.29113129272,-81287.37137167114,8804.463899667728,-60328.69938954108,-47530.78341851037,-109305.43950860972,-90897.72741767495,-66095.80708692159,-66381.2165118714,10569.223531392043,-58882.56387502717,N
-64743.23597469759,-68315.78234622268,-81796.11942721838,-43609.035743360015,-69876.35879234778,-115348.05480814635,-86592.87084256063,-1297.16113771929,-36209.6472036418,-48925.48756903262,-89930.14275194917,-73836.5291162168,-49368.54384762572,-48357.37328021208,29876.079246530444,-38222.95823370913,N
-74219.48155396957,-77177.2655459959,-92032.61489064872,-52376.21693327629,-78803.15378941939,-123095.16943635578,-95389.51163166901,-6297.9169247051395,-63657.58939475887,-35123.0394986915,-111113.69563504406,-92798.408007432,-68710.15652539213,-68486.23674943886,8392.834173778794,-61684.01976633308,N
-53776.844296079194,-58800.51062113174,-71408.28030208116,-32542.5306013263,-60417.257001073005,-106085.51425761155,-75905.9206731225,11644.476550159045,-43030.751410812314,-56711.53893608319,-95584.12827064136,-78942.5839713316,-53757.554740614265,-53653.730887619364,24661.73018952968,-43870.104118598,N
