1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-26471.036847953423,-20861.173672816,-25730.00946402663,-8623.638287024294,-20385.349736851425,-36557.060367710634,-32828.6999855876,14570.297547614284,-21665.836473207055,-23040.692274652993,-39660.10834695201,-40000.458359772965,-23088.14502813161,-24939.942352764887,54326.11606432391,-8114.309086121212,W
-66086.68757518382,-53076.25121787205,-63104.38371949002,-30957.993085145128,-51817.62448759371,-84415.7215256359,-78795.46478932677,11305.445290260946,-23930.135241763026,-62315.165974517586,-64906.068433054505,-65506.39158563514,-21535.79402396608,-34102.1012189509,114164.17231132655,-481.6577412674119,W
-85924.9336630027,-70734.10698582018,-83421.91826366405,-48525.704267705,-69320.42620425537,-100682.42707043017,-97058.8069628247,-3792.3534264985833,-60372.66527088467,-39336.58919770589,-93050.49098139895,-90902.8012636663,-47566.00976777193,-61070.978471157374,85937.62945385331,-31148.34054092652,W
-53979.82048747784,-42532.4863234146,-51964.47544866508,-18684.247873335826,-41518.2982704995,-74107.87929390423,-66943.2511262001,26294.72628768996,-38267.88524006429,-69113.38199536587,-76631.86062954196,-76030.5987036942,-31385.626660064063,-45120.57246215016,103036.19987204074,-12319.186308286942,W
-85367.83878419863,-70085.90639661628,-82077.7737590997,-48869.787021849996,-68584.04798317527,-100409.31110493078,-96960.48163896581,-6447.807723022428,-38487.22290840422,-44239.66786142205,-75813.92089294444,-75379.80531213347,-32162.774463030633,-44643.96621512964,103400.91328631798,-12771.607967806813,W
-66733.99409460952,-53875.25902691591,-65008.64058835991,-29984.619317605415,-52746.898263323106,-84554.92819010356,-78683.88488100587,16631.24014511587,-61347.1789773916,-53855.14245690614,-94443.5858063204,-92098.30666760287,-47845.38422171882,-62181.50254267485,85407.7589997958,-31669.382055924187,W
-66329.67338915747,-53271.53840917807,-63322.93907677401,-31052.13863279088,-52000.23823979357,-84573.32367579028,-79030.98512065233,11564.658470709142,-24488.235949067588,-62627.75512072505,-65398.70088084947,-65941.20007052422,-21896.305310285727,-34515.653194862985,114420.92679988466,-815.4586929629676,W
-86666.72100624097,-71376.25025227669,-84120.76790580367,-49098.15479494987,-69942.69876989113,-101264.89117919102,-97771.6264452489,-4065.894075142631,-60670.21169307372,-39200.71294316208,-93321.39412419726,-91134.87942634577,-47740.4204297567,-61273.865255578196,86413.0957619066,-31264.547260349664,W
-54513.53544158166,-42996.419131328956,-52489.09324277559,-19056.605584216784,-41961.86863921507,-74517.67617674783,-67448.84758577915,26282.745752661915,-39212.76053342349,-68990.69327005069,-77422.46418267062,-76727.4590405773,-32023.0090049516,-45821.29965082403,102969.41285960829,-12992.063223369507,W
-85670.12377621219,-70351.53452772314,-82357.3940822356,-49027.5232824711,-68833.11347164077,-100631.75566575,-97247.03100288284,-6272.458287770544,-38620.104029191025,-44501.56325120488,-75973.71351405543,-75504.88567410538,-32228.220370795774,-44740.21282675419,103950.09564758488,-12766.176493904173,W
