1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-39940.86860905512,-31695.31007949234,-38217.1691318952,-17505.059242851647,-32102.35769776794,-46651.979881761064,-46171.75265213879,3471.5388383315612,-20725.56563920565,-37766.69207414294,-39647.0102247012,-40353.41475646672,-14733.53233737139,-23211.50430578045,69056.42975049374,-3941.7077829489454,Z
-55912.73229273943,-42031.0696400487,-52015.48212951209,-13206.103528273527,-43198.79182562731,-73472.10627461747,-69906.53364736243,27787.48754113764,-38368.24457266862,-72421.30606428458,-75253.71912166108,-77179.92540358608,-28560.36616091325,-44213.51632040934,122885.93475650964,-7859.36508886398,Z
-87437.16328587095,-69664.66542061155,-82498.2771275374,-43254.402965832116,-70350.5063474782,-99853.28910986056,-100203.47389024186,-5466.096754800887,-40758.78599390817,-46251.63778682206,-76043.00392186688,-77911.72151705284,-30827.95063590415,-45244.177608988,121578.58122331873,-10089.577447125608,Z
-66386.20095088494,-51407.9840669613,-62953.73296186125,-22448.30399135399,-52518.88811813451,-82129.11571611353,-79650.46371823117,19272.72460135515,-61021.31289497768,-56327.13363494082,-92724.66960247394,-92994.79043421632,-44707.95925950519,-60975.06713569965,105649.65524073306,-26836.085538397496,Z
-67840.67366608068,-52292.68846424681,-62945.86514781298,-25037.351255101115,-53333.65390701937,-83605.56019610885,-81721.97869086012,12733.118263854774,-24606.096697580422,-65563.99203109647,-63857.88337682288,-66907.64479728279,-18997.306406176856,-33493.32910696615,134434.56702644433,3643.602567148515,Z
-85781.9495537221,-68372.60048062807,-81634.40455608424,-40932.771972748276,-69239.40113060488,-98404.80666217885,-98380.46561246701,-1649.8716652240355,-61071.85018919113,-40900.250184565804,-92046.40591697764,-92416.2155289907,-45061.83207772161,-60515.9846563321,106207.6665410598,-27011.457325393836,Z
-53936.21223404554,-40191.07403648782,-49926.55514795246,-11330.635706262077,-41564.27580884407,-71932.11578513573,-68227.26943817968,28529.49840182047,-36734.89084659706,-72394.81924710504,-73840.5300784743,-75958.53667957029,-27293.424581697534,-42922.09958101506,125103.27250996501,-6388.240324049035,Z
-85364.21780159687,-67733.45234792857,-80279.41945545906,-41321.64762278171,-68620.59308535971,-98235.35808746316,-98448.48197084451,-4790.470575150321,-38604.39075283894,-46422.89685283862,-74209.49032419805,-76316.14223911075,-29179.44242709189,-43555.59272236738,124251.84986017346,-8165.539284412776,Z
-64663.84257839234,-49790.43302421964,-61075.672337492986,-20843.31462899621,-51099.64175220034,-80802.33851699097,-78226.47878247248,19597.98718666878,-59298.26161840697,-56115.86494634926,-91208.528424326,-91691.37080804954,-43383.77486273943,-59602.535915677065,107972.60498673977,-25284.62860401018,Z
-65715.58156199235,-50311.83216712859,-60657.82882664548,-23082.400629806594,-51556.98079550038,-81943.2386092232,-79920.11516334,13367.55017847421,-22712.16633464889,-65759.7709607805,-62210.80567965576,-65489.471315082475,-17529.154423374464,-32000.120818629366,136923.74669596515,5353.779238912969,Z
-84050.87400089193,-66740.20787956809,-79711.6180910609,-39367.97104692114,-67800.77580222796,-97073.78263160976,-96957.7323743978,-1467.7496514021936,-59098.638188676625,-40816.788770769694,-90314.95038449173,-90921.64378424213,-43561.69474860367,-58954.33532647316,108725.54585046123,-25252.844423394734,Z
-52070.6909383167,-38452.13066960939,-47880.565867491474,-9631.321982302903,-40014.11527563516,-70483.47687524282,-66661.37327687422,28898.972737666696,-35230.81961045499,-72295.35398427892,-72465.27194562816,-74793.76492425978,-26090.520750346273,-41705.51648205715,127300.78426608852,-4991.211592103433,Z
-83456.40700535859,-65949.06788457249,-78161.47990959644,-39617.349459809004,-67019.09059513695,-96750.17407538582,-96845.3030997876,-4467.4655160266775,-36613.58792943811,-46557.27554050393,-72433.75598594618,-74796.91652022797,-27620.676472267685,-41967.50127881781,126841.09828962068,-6345.682602606131,Z
-63250.49707299437,-48441.84052250869,-59445.20198645616,-19629.436091117394,-49914.19463326867,-79721.98930048816,-77080.28132680432,19432.31605676604,-57868.442877345435,-55860.94330083649,-89855.89025686863,-90559.59022755508,-42257.470459636505,-58432.690314375206,110064.10241891176,-23954.968029852873,Z
-63882.64910967936,-48614.1724722591,-58613.672389229825,-21430.450252348215,-50028.8590823244,-80504.79209480192,-78345.12184204125,13787.87473295626,-21177.160284180678,-65896.34011940243,-60774.21436002426,-64298.36920480362,-16284.497533380692,-30754.99454200203,139146.2477023897,6810.285962854143,Z
-82720.58757788988,-65473.13218988564,-78138.88229595212,-38217.41500108421,-66692.62101562275,-96046.29529074374,-95861.35695712054,-1589.6560656614383,-57530.640963392376,-40701.163196702386,-88823.79845664483,-89698.73514160338,-42288.315866984834,-57673.33449999506,111027.17203225757,-23747.007399440696,Z
-50732.08966637727,-37181.50105255855,-46315.47436898642,-8464.829142669338,-38897.645640092574,-69432.65431316546,-65537.28169647238,28887.506292761125,-34230.86961875792,-72149.28533426349,-71421.62429352097,-73986.01758313389,-25229.531553927845,-40861.49225968031,129140.31048301584,-3960.5726552692245,Z
-82056.9195815229,-64622.33538893884,-76519.38665144285,-38405.88491033136,-65841.55599374247,-95636.81133232253,-95657.06201279903,-4408.568669386944,-35240.56497103751,-46688.413225223216,-71092.74072560557,-73729.41955678696,-26503.223359969066,-40848.75176534078,128948.15253593356,-5007.03662717779,Z
-62243.707447493965,-47471.528943959354,-58200.8356691403,-18753.426522425,-49086.57659132202,-78926.06603217912,-76248.28234294443,19235.173670670232,-56909.10600532365,-55602.333617488584,-88821.49622696594,-89776.0945291632,-41405.31020227793,-57611.84485099851,111901.12524046008,-22940.39999728203,Z
-62615.126385107804,-47411.51451009685,-57111.27753392191,-20322.586038420923,-48964.13373519585,-79481.93156503816,-77260.99518072548,13859.735591380071,-20174.28221395996,-66004.36610035492,-59718.34030370001,-63494.51106721295,-15395.94863604887,-29910.16565682479,141014.67472489772,7868.12697269046,Z
-81832.99980556963,-64611.09246147782,-76996.95402347494,-37488.345800441006,-65947.54796594953,-95334.77220949795,-95138.52389318036,-1900.0770926567427,-56501.1866690143,-40631.06812609055,-87738.01776623938,-88867.74198624397,-41391.318010248906,-56804.701006972915,112892.80508670869,-22674.928328386348,Z
-49820.29495481193,-36321.18240847378,-45168.22638132887,-7680.908761132809,-38154.293674742425,-68697.30427233032,-64766.68295463121,28785.001192689087,-33646.393852996094,-72020.56163794537,-70687.70476433096,-73471.25690832817,-24633.052901393523,-40325.63153810878,130656.25049546368,-3249.4072019347195,Z
-81140.94509374442,-63768.11877109037,-75357.65473337827,-37613.627328113005,-65100.57331330459,-94899.56139320867,-94873.56631440716,-4441.649251180798,-34359.213335420296,-46742.2809293605,-70132.57683903896,-73015.46013539555,-25667.536338274043,-40094.80507311882,130754.44170885584,-4017.7931210748106,Z
-61874.9036639814,-47111.352933806535,-57584.21809485175,-18488.37953667397,-48821.79782650445,-78643.60703749741,-75986.40930490605,18702.03986192225,-56554.58498651803,-55320.76869258508,-88256.73469981369,-89429.82130406158,-40939.74571701833,-57241.52114886298,113315.25305691399,-22371.011659027536,Z
-62116.2130971209,-46945.950024837264,-56383.59414143493,-19967.10389460372,-48584.265838177904,-79091.4689411484,-76875.00290572678,13499.425470760521,-19946.13795830464,-66060.82660684903,-59270.16547562665,-63257.13554109759,-15050.770646425564,-29652.58415372183,142241.20435013823,8310.490347205443,Z
-81832.73158463617,-64608.20908644308,-76767.84864280804,-37579.093882929556,-66016.63720806089,-95357.74980279802,-95213.80456850583,-2584.934542767351,-56365.53393191504,-40459.563190884975,-87358.55220062163,-88693.08545507019,-41100.74533232991,-56609.369112177985,114054.55935651773,-22295.37335579078,Z
-50054.09420181444,-36540.96711170282,-45201.79870150074,-7992.089747439593,-38426.314404763514,-68910.69637664514,-65054.9534028713,28008.45688682281,-34186.948440903245,-71790.27161482234,-70856.03575182387,-73795.35720293013,-24825.747290342726,-40644.7920971861,131265.91667722663,-3433.5632245019942,Z
-81656.64454181725,-64261.10884679662,-75682.7608564807,-38218.957271451625,-65614.6857875211,-95348.27266314896,-95429.83417866638,-5401.813137747424,-34895.72225758103,-46689.307295001425,-70325.71826287726,-73354.64785750484,-25893.40071599492,-40429.29892889249,131267.95068597206,-4222.803321218887,Z
-63006.5724857536,-48181.21918215981,-58556.29546121305,-19666.696449124393,-49879.52707761849,-79598.31709841694,-77113.36190859818,17363.796217894105,-57773.04563201018,-54958.536321942374,-88998.94672619662,-90261.552066988,-41652.36403374244,-58087.78054568536,113252.9810968615,-23152.67451437408,Z
-63177.80920002571,-48001.64526720587,-57327.7318272271,-21035.40552084512,-49610.23326042095,-79987.61743159502,-77909.01695597374,12549.074000009776,-21353.51554793305,-66027.07547272152,-60196.712338532496,-64251.54230016975,-15885.183618686631,-30656.333941976303,141989.7695767605,7377.8414580633,Z
-83583.61078305374,-66310.49559241481,-78421.98949122304,-39287.28124943748,-67654.12600685669,-96831.19914903631,-96897.33796087957,-4015.066208251263,-58030.73889383542,-40185.95548700756,-88500.01108646525,-89883.18173684856,-42095.17444314652,-57804.181612036424,113633.69836016875,-23414.9275320682,Z
-51901.71175023458,-38366.72465404566,-47016.22390940475,-9766.415925790778,-40166.509469331446,-70464.36613373354,-66813.92393278169,26775.40055220134,-36596.645307140985,-71542.65898974646,-72612.52523809973,-75537.96625589923,-26339.183907411567,-42415.65375514672,130232.68493803561,-5166.315158166309,Z
-83559.8285269533,-66151.08295095956,-77571.55031818752,-40038.702194535996,-67397.3044630652,-96951.31742373914,-97239.76668593487,-6539.8745584338385,-36986.63854439718,-46721.58321399489,-71853.8623277977,-74886.43525677148,-27172.56869942769,-41972.68688353144,130460.0915861239,-5683.892152773399,Z
-65388.97787201141,-50530.56633836822,-60966.752286762276,-21875.741705386845,-52105.02321780005,-81602.9109481467,-79357.61116237774,16064.221091773641,-60465.24619641855,-54602.60714323606,-91014.20235803156,-92225.15281738673,-43357.89154266018,-60087.501715123864,111945.58286018168,-25118.979825851897,Z
