,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,-18939.37068,-27868.57967,-41943.31669,-21566.63943,-28430.05549,-65746.15875,-14947.43853,-22123.82372,-13409.86203,-42272.692,-71174.05637,-66464.76733,-36347.06573,-22862.52652,-33767.92029,-29299.42659,A
2,-37889.80548,-55763.28853,-85013.31777,-44481.89372,-56714.55642,-132502.3481,-31092.7741,-44262.19842,-26324.32,-83586.15888,-134055.8838,-123863.2201,-75070.88185,-45713.27367,-69431.69319,-59827.238,A
4,-38434.5622,-56327.51361,-83880.17373,-43140.09614,-57026.16209,-131603.2045,-29859.02487,-44753.13214,-26569.13865,-83996.26869,-134431.4825,-124364.9497,-75579.00406,-46225.19567,-69756.93342,-59730.27614,A
6,-37789.51321,-55655.68723,-84318.02205,-43704.79062,-56772.69331,-132008.4863,-30411.7388,-44162.30847,-26535.25341,-83109.23971,-133637.4144,-123297.7656,-74479.03001,-46070.36514,-68646.52111,-59179.81972,A
8,-38281.81038,-56183.45662,-84683.00369,-44140.64963,-56886.77661,-132391.8411,-30760.33661,-44624.58725,-26350.47154,-84176.35669,-134691.2768,-124690.8158,-75799.66048,-45823.89245,-70077.52449,-60192.68902,A
10,-38125.77285,-56007.6825,-83594.54079,-42880.88296,-56973.97077,-131500.3865,-29655.7134,-44478.45155,-26692.07325,-83386.49075,-133924.2991,-123678.7511,-74828.36542,-46388.78809,-68861.92487,-59124.36505,A
12,-37861.97756,-55745.80947,-84896.75342,-44440.78886,-56716.12104,-132662.3196,-31069.32712,-44246.23927,-26326.39871,-83640.42892,-134240.7551,-124086.134,-75144.01676,-45716.73819,-69395.17044,-59847.7122,A
14,-38407.0919,-56312.5603,-83789.82798,-43123.64526,-57021.37882,-131787.1594,-29861.86354,-44746.78424,-26544.99877,-84058.11597,-134627.1273,-124596.0667,-75638.63851,-46190.75163,-69695.89081,-59726.0293,A
16,-37762.6017,-55642.63381,-84219.40615,-43679.26492,-56772.17922,-132178.5384,-30406.79907,-44160.69915,-26532.54885,-83182.64284,-133836.4343,-123535.4317,-74561.70911,-46062.98906,-68617.70971,-59180.155,A
18,-38254.78712,-56171.72196,-84606.02428,-44145.70113,-56883.33444,-132575.0807,-30782.73306,-44622.08386,-26343.11781,-84252.26322,-134892.3084,-124928.3254,-75885.87116,-45814.59413,-70058.30199,-60201.18269,A
20,-38105.9245,-56009.6271,-83495.67902,-42858.37476,-56976.3624,-131665.3647,-29650.05841,-44468.39326,-26690.93331,-83466.88997,-134133.3102,-123923.5474,-74924.2097,-46374.39357,-68853.18534,-59138.40194,A
22,-37849.7288,-55755.71129,-84814.38724,-44438.86661,-56725.35231,-132840.2618,-31080.52535,-44240.56193,-26314.97697,-83699.48223,-134436.7128,-124308.7574,-75199.53849,-45696.3981,-69335.156,-59837.76567,A
24,-38420.03356,-56341.90814,-83722.97391,-43157.53051,-57052.73832,-131970.7342,-29891.81487,-44760.86584,-26559.10272,-84148.08174,-134849.2366,-124852.173,-75755.82871,-46207.96248,-69717.34848,-59786.46842,A
26,-37773.53171,-55665.4773,-84115.09056,-43664.2669,-56795.84972,-132328.2951,-30391.59988,-44162.57669,-26528.99492,-83234.00715,-134020.568,-123748.2874,-74633.77114,-46064.79955,-68589.90414,-59207.69235,A
28,-38235.02818,-56159.22733,-84494.62318,-44107.05496,-56877.74651,-132728.0784,-30752.22293,-44590.63495,-26314.48523,-84282.50513,-135058.8289,-125117.6447,-75920.24814,-45785.67097,-69987.06698,-60211.6433,A
