,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-19047.21785,-28095.20401,-40473.55538,-19202.51777,-27699.66754,-60895.7855,-12409.06267,-20773.48778,-12127.11777,-42743.08446,-68035.37971,-57986.41538,-27973.69992,-22400.69478,-33433.49349,-29036.883,C,,,,,,,,,,,,,,
2,-38299.64707,-56399.48623,-79914.10254,-37074.57031,-55561.49698,-120951.0113,-23736.815,-41727.84587,-23483.6815,-83802.8814,-130004.0713,-112120.8876,-46312.47924,-46199.73704,-68872.87723,-57691.43941,C,,,,,,,,,,,,,,
4,-37856.81431,-55931.91009,-80366.65831,-37634.21328,-55399.93857,-121337.1153,-24245.4513,-41319.30069,-23425.74578,-83163.48739,-129436.8064,-111385.9846,-45521.85333,-46038.71507,-68047.29319,-57387.05336,C,,,,,,,,,,,,,,
6,-38220.09721,-56326.41838,-80545.36051,-37858.84832,-55463.32812,-121523.4171,-24379.85234,-41654.12982,-23323.86653,-83964.48451,-130239.3458,-112378.9161,-46487.02401,-45920.76491,-69131.55396,-58079.35394,C,,,,,,,,,,,,,,
8,-38096.82734,-56182.45079,-79766.84925,-36851.52225,-55534.31726,-120884.269,-23605.94554,-41530.70349,-23548.27804,-83292.59107,-129610.01,-111557.8248,-45651.89578,-46284.13722,-68121.99272,-57273.57355,C,,,,,,,,,,,,,,
10,-37960.88403,-56049.70378,-80796.81764,-38174.23143,-55371.03777,-121763.7431,-24672.39197,-41413.87092,-23301.20186,-83559.35914,-129926.019,-111945.1805,-45987.59663,-45827.0217,-68637.60276,-57908.74307,C,,,,,,,,,,,,,,
12,-38299.46825,-56403.73306,-79841.817,-36947.50064,-55554.00915,-121000.431,-23662.62956,-41727.68941,-23476.41718,-83760.48014,-130122.6249,-112171.2237,-46210.1753,-46195.69137,-68785.4372,-57691.88645,C,,,,,,,,,,,,,,
14,-37868.32546,-55949.90324,-80291.98114,-37514.18442,-55402.77724,-121379.4719,-24184.72161,-41328.59902,-23433.12185,-83112.65953,-129549.1239,-111430.2857,-45419.50469,-46058.11638,-67988.4634,-57398.65391,C,,,,,,,,,,,,,,
16,-38213.25758,-56320.22695,-80472.00209,-37739.24413,-55446.87723,-121567.0477,-24326.1411,-41642.70808,-23314.09881,-83896.91519,-130335.3018,-112408.8675,-46362.32363,-45900.13425,-69061.70476,-58069.60858,C,,,,,,,,,,,,,,
18,-38106.32683,-56195.28069,-79701.22453,-36758.87427,-55535.5019,-120928.0337,-23576.41889,-41537.78899,-23554.24596,-83244.93715,-129722.864,-111605.9928,-45561.7959,-46287.40058,-68105.0501,-57286.47051,C,,,,,,,,,,,,,,
