,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,-15735.73986,-24613.09279,-36213.96109,-14414.86352,-24675.61062,-54154.58878,-8668.297072,-18466.0725,-11157.5885,-42553.58637,-66955.29872,-60461.75932,-20996.15586,-22844.24279,-33878.27085,-28541.45659,D
2,-31237.21108,-48988.0054,-73391.55059,-30041.05747,-49210.9864,-109123.7422,-18335.31479,-36724.25142,-19046.99433,-75652.45189,-119639.2992,-102388.2899,-25703.90263,-40659.5219,-58530.97093,-47226.41971,D
4,-31622.01871,-49397.55641,-73074.60285,-29641.00595,-49288.63636,-108900.18,-17956.8327,-37076.06787,-19054.68333,-76311.1131,-120290.8972,-103202.2957,-26489.03,-40724.83369,-59437.7365,-47562.76876,D
6,-31362.4032,-49115.85738,-72760.42673,-29248.39756,-49312.30686,-108643.135,-17684.81197,-36832.29975,-19199.65675,-75571.76209,-119589.6783,-102300.5369,-25573.34609,-40918.24334,-58345.3844,-46892.93169,D
8,-31406.90552,-49172.47435,-73567.41411,-30278.09772,-49199.00587,-109346.2761,-18485.20559,-36868.68839,-18974.03824,-76143.27385,-120177.9986,-103044.6488,-26287.52903,-40566.78451,-59244.79625,-47655.14852,D
10,-31579.23747,-49343.97928,-72523.0065,-28952.12519,-49330.7247,-108505.0459,-17410.57842,-37016.00874,-19180.36719,-75969.93607,-120007.9018,-102816.6163,-26031.66861,-40946.6077,-58883.50265,-47080.93221,D
12,-31211.95361,-48961.85386,-73334.82186,-29959.76418,-49172.16142,-109198.5982,-18269.89123,-36685.15822,-19034.20914,-75672.99314,-119760.8256,-102497.9475,-25662.32838,-40652.88343,-58479.51722,-47202.32453,D
14,-31620.40938,-49392.10259,-73057.61553,-29617.51427,-49266.84341,-109008.8095,-17948.71902,-37065.69666,-19045.96615,-76342.78552,-120425.5665,-103322.5704,-26454.16128,-40718.64226,-59378.43733,-47555.70561,D
16,-31342.01841,-49094.28794,-72714.18097,-29178.45895,-49276.70053,-108729.9491,-17645.98699,-36804.74005,-19185.12811,-75603.65803,-119721.196,-102418.3753,-25545.33935,-40904.13939,-58302.22318,-46884.86271,D
18,-31401.4517,-49167.04287,-73547.38695,-30225.48172,-49178.64343,-109455.2409,-18470.90047,-36862.74282,-18945.31625,-76161.44582,-120303.4813,-103147.5786,-26219.75854,-40534.77681,-59134.91507,-47619.5422,D
20,-31589.8322,-49359.87137,-72528.43798,-28946.26903,-49326.83549,-108627.7793,-17429.48799,-37025.01649,-19181.23891,-76027.22359,-120174.7129,-102960.0475,-26032.49562,-40946.74181,-58870.58334,-47104.26743,D
22,-31240.42973,-48998.68953,-73334.17366,-29945.48141,-49184.74545,-109312.7038,-18281.04476,-36704.47012,-19025.98369,-75713.76273,-119914.1586,-102621.8656,-25643.44116,-40649.21774,-58450.34819,-47196.37897,D
24,-31626.66787,-49407.48059,-73054.0616,-29592.83794,-49264.07179,-109117.9307,-17946.90853,-37060.53341,-19036.51137,-76373.9662,-120572.8198,-103437.3466,-26426.75804,-40714.73071,-59353.40337,-47548.50835,D
26,-31361.95616,-49121.82529,-72710.29177,-29157.51537,-49281.34969,-108838.5563,-17636.80042,-36811.7585,-19176.76856,-75638.54911,-119875.2442,-102541.3546,-25515.70094,-40909.61557,-58271.10955,-46881.42054,D
28,-31412.69462,-49185.75128,-73543.85537,-30205.61102,-49188.09821,-109565.4126,-18462.16094,-36859.43477,-18945.89739,-76190.34662,-120452.925,-103264.7465,-26188.93548,-40544.45512,-59102.48269,-47622.11265,D
30,-31599.08582,-49380.88201,-72538.60802,-28939.78702,-49341.07355,-108748.9034,-17430.94086,-37029.15156,-19188.50323,-76059.27599,-120332.1138,-103088.3018,-26007.34991,-40959.16938,-58840.22967,-47120.24893,D
32,-31241.72613,-49011.34062,-73332.87726,-29941.4581,-49200.90576,-109417.9135,-18275.7921,-36710.77331,-19046.5026,-75744.49637,-120063.9823,-102744.979,-25625.53741,-40678.69969,-58442.41332,-47224.65393,D
34,-31611.49104,-49406.13948,-73045.1209,-29580.49978,-49262.77539,-109218.3348,-17934.21274,-37047.01061,-19030.81167,-76387.80193,-120706.3491,-103542.9363,-26388.3801,-40717.34586,-59329.26349,-47559.34895,D
36,-31354.37892,-49127.21206,-72691.85158,-29130.69327,-49277.14756,-108929.4608,-17619.1649,-36800.76144,-19177.72969,-75661.482,-120017.4236,-102654.9685,-25488.27535,-40914.80117,-58255.57509,-46894.58572,D
38,-31421.23299,-49204.70556,-73542.9166,-30212.60711,-49190.93689,-109666.5096,-18470.94518,-36861.71464,-18951.61944,-76209.81499,-120591.8635,-103373.7112,-26158.38065,-40560.97306,-59087.37291,-47639.54701,D
40,-31625.63969,-49414.052,-72540.59732,-28963.97161,-49351.66828,-108847.7875,-17449.17988,-37040.43919,-19186.93861,-76089.11557,-120472.5722,-103204.1732,-25996.84459,-40955.01196,-58864.19074,-47141.90777,D
42,-31252.09734,-49027.56799,-73303.59647,-29911.3056,-49196.23425,-109490.8919,-18255.34025,-36698.05517,-19032.59981,-75753.95116,-120183.363,-102838.521,-25590.40047,-40672.48591,-58435.90897,-47209.6112,D
44,-31634.46863,-49433.69918,-73057.54847,-29606.60662,-49278.91335,-109321.0857,-17964.25348,-37054.5655,-19038.41126,-76419.74257,-120844.1476,-103659.9924,-26379.77468,-40732.36623,-59346.42963,-47580.27018,D
46,-31374.98723,-49154.79412,-72694.33262,-29149.71461,-49294.38076,-109021.9747,-17641.6731,-36818.03934,-19180.16603,-75697.08832,-120154.1716,-102773.768,-25484.02852,-40925.10532,-58278.64209,-46904.21932,D
48,-31409.36421,-49203.3421,-73519.93901,-30190.61299,-49182.24206,-109737.6328,-18461.26687,-36845.08495,-18946.43384,-76227.49522,-120704.4716,-103471.813,-26139.02404,-40558.64847,-59096.11244,-47631.96977,D
50,-31612.83214,-49410.58748,-72525.97928,-28944.68206,-49338.72662,-108930.1761,-17443.34608,-37031.63261,-19169.81717,-76114.26128,-120595.4844,-103315.5967,-25976.28098,-40953.02265,-58848.56687,-47138.86793,D
52,-31270.33636,-49052.37842,-73305.56343,-29934.08202,-49212.8416,-109584.9481,-18273.17694,-36722.68679,-19040.02059,-75788.79753,-120313.8972,-102958.0582,-25585.7066,-40686.41105,-58434.76903,-47220.16123,D
54,-31638.17902,-49445.29974,-73052.34051,-29623.12455,-49278.01928,-109403.519,-17968.25444,-37055.12429,-19045.8544,-76450.09624,-120964.9588,-103772.2205,-26386.65901,-40737.88711,-59375.62101,-47593.65888,D
56,-31382.76564,-49169.52391,-72669.14221,-29131.6991,-49290.4245,-109088.9405,-17619.67899,-36812.80903,-19179.8084,-75719.32831,-120266.5562,-102879.0448,-25472.40561,-40925.03827,-58282.5313,-46893.44578,D
58,-31432.78884,-49232.30997,-73523.35882,-30220.07259,-49200.95047,-109823.3071,-18474.47675,-36863.0334,-18961.52126,-76251.61275,-120816.9008,-103575.1004,-26126.28354,-40575.52404,-59101.61097,-47636.32836,D
60,-31618.01775,-49422.18803,-72514.15521,-28934.3779,-49337.02789,-109002.1487,-17428.05748,-37021.73078,-19169.72776,-76136.61303,-120702.1693,-103414.9055,-25955.53857,-40953.24617,-58861.86616,-47134.77756,D
62,-31272.61624,-49065.09656,-73287.63733,-29902.47666,-49210.11468,-109652.8303,-18253.82033,-36710.23687,-19034.07503,-75810.59048,-120422.2137,-103056.5847,-25557.23048,-40691.48489,-58422.00618,-47215.44501,D
64,-31657.04389,-49476.92746,-73065.52804,-29628.98071,-49288.72577,-109497.9104,-17980.79377,-37061.15926,-19029.71644,-76473.78909,-121082.9536,-103880.47,-26357.13236,-40729.3711,-59355.23622,-47592.09425,D
66,-31396.73548,-49195.6084,-72671.80206,-29127.78755,-49296.34771,-109171.9325,-17619.94721,-36819.24633,-19169.75011,-75753.70529,-120391.1448,-102998.3807,-25466.77297,-40920.32205,-58294.51183,-46901.64887,D
68,-31415.578,-49225.53739,-73518.30733,-30187.66256,-49184.0302,-109906.9697,-18459.56814,-36845.77785,-18942.87991,-76269.42709,-120928.0561,-103674.5657,-26092.82298,-40545.72917,-59063.34478,-47607.49461,D
70,-31635.69798,-49450.91003,-72550.90148,-28975.03572,-49348.71785,-109117.3719,-17470.01171,-37044.66367,-19179.38372,-76190.36897,-120848.4838,-103552.8828,-25972.52589,-40948.01586,-58868.95166,-47141.79601,D
72,-31269.10702,-49069.9916,-73291.0795,-29905.6506,-49200.92812,-109735.3083,-18251.5181,-36707.04057,-19053.09636,-75853.37172,-120550.1328,-103172.8361,-25572.09439,-40694.41297,-58449.7894,-47208.87359,D
74,-31640.99534,-49463.22584,-73078.58146,-29639.15076,-49261.14372,-109591.0277,-17985.19707,-37051.52566,-19031.32576,-76508.479,-121202.4237,-103986.1267,-26346.55998,-40722.375,-59347.05548,-47580.56075,D
76,-31400.31176,-49201.48691,-72687.94002,-29147.47943,-49283.51781,-109265.5193,-17629.31259,-36823.15789,-19182.4012,-75797.9841,-120524.7635,-103117.0014,-25472.2268,-40936.14709,-58308.36991,-46913.78586,D
78,-31420.20481,-49236.80267,-73528.85735,-30213.65764,-49181.14682,-109988.4194,-18463.36793,-36840.48049,-18954.07813,-76308.16267,-121056.8245,-103785.2739,-26106.77047,-40579.16738,-59108.98705,-47640.64224,D
80,-31627.38313,-49451.29001,-72539.88207,-28966.18443,-49329.473,-109180.7391,-17444.15074,-37024.34594,-19169.90658,-76214.55356,-120965.9646,-103653.1751,-25964.21104,-40961.91865,-58891.45987,-47158.87274,D
82,-31274.15851,-49082.57563,-73277.55669,-29880.21432,-49192.12153,-109800.5754,-18225.72419,-36699.53039,-19027.07893,-75858.73614,-120653.5319,-103256.0293,-25523.16642,-40684.44409,-58407.65636,-47191.50629,D
84,-31654.56285,-49486.20343,-73081.21897,-29635.12744,-49268.54214,-109669.9294,-17980.23498,-37048.35171,-19021.80392,-76534.42938,-121322.4302,-104088.8329,-26329.28208,-40726.66654,-59345.69202,-47588.31681,D
86,-31395.57319,-49206.09137,-72665.43182,-29094.08112,-49273.19131,-109326.2713,-17590.48761,-36801.72256,-19157.9931,-75822.90629,-120639.0927,-103213.2927,-25438.29685,-40928.6369,-58282.6207,-46898.13964,D
88,-31429.88311,-49252.80651,-73541.82137,-30204.44872,-49180.1857,-110080.1286,-18465.08902,-36839.74288,-18946.38913,-76336.30351,-121175.8251,-103882.2358,-26062.51401,-40566.27042,-59054.09116,-47621.93383,D
90,-31620.16351,-49449.23365,-72552.08612,-28941.17283,-49315.54786,-109276.494,-17438.29458,-37009.88436,-19159.96005,-76254.45142,-121094.7107,-103762.7657,-25933.74561,-40938.15874,-58854.60184,-47142.3101,D
92,-31289.33534,-49101.90989,-73317.61102,-29905.89647,-49204.63851,-109913.3399,-18253.19448,-36714.95309,-19041.71932,-75915.59898,-120796.2925,-103380.5956,-25516.95264,-40688.28859,-58389.90908,-47194.59083,D
94,-31634.42393,-49471.56304,-73107.77284,-29645.69982,-49253.85705,-109767.4277,-17985.55469,-37033.10782,-19038.97006,-76589.1688,-121455.2443,-104208.7724,-26345.24123,-40728.40997,-59375.41984,-47606.1088,D
