,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,-13907.45657,-21869.28205,-29056.03845,-10172.30125,-21389.41245,-51541.11106,-1475.706872,-10650.67329,-3400.594401,-32390.89637,-55282.39075,-50359.46373,-9950.169617,-16353.58678,-26040.63166,-13327.89818,F
2,-27863.17055,-43790.91189,-58375.4922,-20692.64152,-42855.022,-103332.204,-3192.030274,-21339.05397,-4389.904963,-62071.82253,-104392.7943,-96626.45717,-12815.57385,-29743.35459,-51670.43825,-26673.63306,F
4,-27999.0468,-43932.89017,-57956.17347,-19968.19913,-42885.8674,-102980.7005,-3056.846923,-21473.05268,-4529.044572,-62107.18299,-104432.8486,-96825.41005,-12807.81779,-29938.46297,-51553.40452,-26490.30405,F
6,-27798.01521,-43720.14627,-58273.07651,-20534.52528,-42789.82196,-103252.5201,-3020.92767,-21285.76741,-4464.403327,-61960.48849,-104302.9403,-96621.80801,-12628.78032,-29821.00455,-51357.62559,-26614.66916,F
8,-27980.62896,-43909.44319,-58208.94935,-20310.00201,-42812.26311,-103227.352,-3189.236306,-21465.90012,-4430.451027,-62175.06524,-104616.5576,-96872.70634,-12808.26483,-29789.51094,-51727.07757,-26561.51671,F
10,-27867.75266,-43787.17915,-58011.51639,-20056.84615,-42709.42273,-103054.1483,-2910.644163,-21357.27064,-4555.576093,-61990.55159,-104385.91,-96806.61223,-12583.13806,-29930.63985,-51257.2439,-26478.65879,F
12,-27863.48347,-43789.57078,-58436.55717,-20687.2324,-42732.24386,-103438.7771,-3182.37432,-21362.85858,-4401.90785,-62115.87782,-104613.3166,-96838.01643,-12694.22623,-29736.38084,-51621.30912,-26639.92663,F
14,-27978.59496,-43913.26534,-58017.50666,-19952.30704,-42762.75399,-103088.5924,-3041.625385,-21459.48517,-4537.135903,-62148.48902,-104651.7169,-97036.52227,-12697.91427,-29923.86728,-51534.04791,-26432.16716,F
16,-27796.91998,-43723.63314,-58350.19003,-20529.20556,-42676.63272,-103373.5548,-3013.641001,-21285.90152,-4465.72208,-62004.812,-104528.0894,-96848.29823,-12526.27522,-29830.63815,-51336.86082,-26538.22619,F
18,-27995.60463,-43924.9553,-58326.29601,-20358.46059,-42723.50433,-103376.6393,-3209.688152,-21478.68532,-4446.901911,-62229.08941,-104849.1722,-97106.01385,-12725.13869,-29805.0007,-51747.48471,-26488.85119,F
20,-27891.28904,-43818.53864,-58139.86011,-20093.39125,-42627.36948,-103202.3404,-2921.261242,-21377.38721,-4552.759773,-62045.73805,-104616.4011,-97046.5135,-12508.55029,-29938.84294,-51309.34582,-26386.4802,F
22,-27871.79832,-43793.19177,-58577.66373,-20715.01562,-42692.90479,-103588.7797,-3171.533724,-21350.92275,-4421.018591,-62162.68237,-104837.0576,-97072.59799,-12614.4305,-29747.69083,-51676.65204,-26551.43607,F
24,-27990.79901,-43918.33918,-58171.55488,-19973.5412,-42678.89025,-103249.2567,-3026.940289,-21473.38795,-4533.157293,-62197.23817,-104881.1799,-97276.75882,-12604.46162,-29926.52713,-51575.57745,-26345.15182,F
26,-27816.4107,-43736.91007,-58524.60069,-20564.16369,-42646.72609,-103551.5417,-3011.159958,-21300.25134,-4480.295417,-62050.61073,-104749.4834,-97089.49591,-12427.18994,-29844.98797,-51374.52351,-26501.54698,F
28,-27978.90788,-43906.91744,-58504.61823,-20370.44112,-42640.60171,-103555.4532,-3187.157594,-21466.21304,-4458.301301,-62273.65879,-105065.3136,-97346.22804,-12623.46061,-29796.50704,-51784.11922,-26446.65109,F
30,-27900.07328,-43818.98568,-58341.5846,-20127.20944,-42618.51819,-103402.3661,-2928.4138,-21386.68554,-4553.475029,-62095.53773,-104841.3715,-97299.19997,-12414.91883,-29967.00614,-51339.74419,-26270.38524,F
32,-27863.66229,-43784.25107,-58769.55346,-20731.28769,-42601.26264,-103781.1835,-3159.30732,-21347.07825,-4415.765931,-62208.16817,-105055.6129,-97326.24559,-12533.27132,-29754.55281,-51717.95806,-26425.95338,F
34,-27979.44432,-43899.78724,-58379.58257,-19987.42163,-42617.51236,-103451.8753,-3032.684688,-21471.21983,-4533.2467,-62239.21475,-105098.3271,-97528.05949,-12516.48516,-29926.6836,-51589.70375,-26204.31348,F
36,-27811.64978,-43727.6788,-58729.49913,-20557.41347,-42569.65727,-103745.8678,-3007.650734,-21302.33005,-4478.730795,-62093.32491,-104970.8551,-97343.99287,-12343.92969,-29819.90931,-51361.62655,-26332.14311,F
38,-27978.93023,-43898.20026,-58731.60019,-20388.83661,-42611.85737,-103760.9999,-3201.418007,-21463.55319,-4457.496638,-62329.82872,-105308.2323,-97611.72207,-12578.28773,-29814.45549,-51797.2844,-26335.22765,F
40,-27899.1345,-43812.39191,-58561.70458,-20131.38922,-42578.28505,-103599.9109,-2948.53037,-21388.36192,-4551.239854,-62151.84178,-105091.5545,-97569.16434,-12366.75082,-29947.40366,-51320.78991,-26222.26193,F
42,-27846.60791,-43764.04509,-58989.60638,-20737.99321,-42577.03335,-103975.6884,-3168.493887,-21343.77019,-4409.954478,-62264.2487,-105305.3937,-97587.17985,-12485.6621,-29768.61206,-51677.21083,-26419.91841,F
44,-27987.24508,-43912.05834,-58621.02611,-20027.67712,-42615.94774,-103663.1216,-3069.855639,-21481.30047,-4534.587805,-62306.13587,-105366.7939,-97801.95776,-12496.27918,-29928.0247,-51575.01865,-26219.13269,F
46,-27816.14248,-43727.54469,-58975.61419,-20629.54255,-42566.55038,-103956.3094,-3063.552447,-21327.49812,-4495.002865,-62162.30239,-105238.9643,-97621.93681,-12349.45057,-29844.38447,-51379.28443,-26360.39571,F
48,-27968.71549,-43887.42672,-58968.55104,-20463.26792,-42607.45407,-103959.7963,-3244.042783,-21473.11973,-4460.312958,-62388.68086,-105563.0199,-97873.75157,-12587.85428,-29820.17753,-51839.26098,-26370.16343,F
50,-27861.18124,-43772.5164,-58741.77024,-20116.34649,-42528.57477,-103754.4285,-2925.865701,-21357.80708,-4546.098953,-62189.72798,-105327.7454,-97810.56318,-12350.61286,-29942.53098,-51330.69173,-26241.61854,F
52,-27850.45241,-43758.65832,-59201.61268,-20779.67921,-42527.21131,-104164.3818,-3191.203259,-21365.25021,-4398.420977,-62294.87059,-105533.7391,-97822.9684,-12437.85172,-29748.54019,-51622.02437,-26444.32651,F
54,-27988.36267,-43911.36544,-58815.0169,-20063.88695,-42560.78363,-103840.8627,-3090.486299,-21476.00311,-4541.941529,-62351.68872,-105606.5387,-98046.97759,-12489.68541,-29931.44452,-51600.16437,-26288.98189,F
56,-27804.69838,-43711.38438,-59126.2873,-20603.90509,-42493.1696,-104112.1905,-3043.748801,-21297.36797,-4469.253656,-62191.29261,-105464.7169,-97851.93626,-12306.13289,-29855.51564,-51351.83648,-26411.71532,F
58,-27981.63479,-43887.04674,-59134.35628,-20463.46908,-42537.76134,-104148.4897,-3248.669594,-21475.17609,-4435.189597,-62411.97138,-105793.8016,-98097.60429,-12515.54638,-29814.23197,-51754.48081,-26415.2916,F
60,-27879.64378,-43789.48138,-58914.03513,-20142.83331,-42484.67594,-103957.8294,-2960.645015,-21376.94018,-4539.326374,-62229.78231,-105578.5543,-98054.73364,-12314.33598,-29957.79722,-51295.5995,-26306.90799,F
62,-27858.61079,-43775.98092,-59354.27509,-20794.47607,-42477.16576,-104361.1219,-3205.106044,-21359.95285,-4405.841757,-62339.68584,-105786.4479,-98069.21757,-12425.75943,-29758.55377,-51618.26928,-26487.91242,F
64,-27987.80387,-43908.9738,-58968.50633,-20075.71102,-42495.18126,-104047.1916,-3104.970229,-21482.37335,-4543.550854,-62387.04918,-105854.3972,-98282.52027,-12458.34827,-29936.83129,-51563.97689,-26301.47651,F
66,-27811.51567,-43719.2969,-59276.04398,-20613.71751,-42412.70332,-104316.4854,-3055.215246,-21306.1075,-4472.449955,-62219.83578,-105700.1031,-98081.24281,-12275.44394,-29869.48548,-51313.25737,-26437.93391,F
68,-27974.86221,-43897.08267,-59284.91763,-20478.75768,-42453.96465,-104351.6894,-3248.982519,-21470.1693,-4449.047679,-62436.22302,-106018.7049,-98318.75245,-12490.19951,-29816.75772,-51729.20099,-26428.23326,F
70,-27894.35123,-43803.85355,-59064.03769,-20161.67583,-42345.31282,-104158.2798,-2975.687739,-21398.26374,-4562.661596,-62247.23902,-105792.6841,-98272.66315,-12290.35256,-29955.91968,-51272.73366,-26311.89243,F
72,-27838.69539,-43750.32112,-59487.53619,-20794.72194,-42343.99406,-104549.2565,-3195.628905,-21341.55736,-4417.151739,-62336.0425,-105976.773,-98266.06938,-12389.34843,-29765.52752,-51580.40542,-26478.92701,F
74,-27986.95451,-43911.67836,-59100.58279,-20073.90053,-42360.53435,-104237.9861,-3098.979962,-21477.32186,-4528.284613,-62384.09875,-106035.5358,-98479.88617,-12421.93728,-29961.66408,-51510.84679,-26308.36085,F
76,-27783.7995,-43699.31444,-59397.07868,-20599.81472,-42291.9145,-104500.6191,-3037.490313,-21292.42823,-4481.927095,-62208.79402,-105868.1882,-98271.14323,-12234.16027,-29865.79744,-51237.61907,-26417.25855,F
78,-27971.4871,-43894.48987,-59435.32252,-20512.95585,-42366.18934,-104566.0203,-3269.903752,-21479.46763,-4437.625937,-62432.37852,-106186.0748,-98509.52458,-12459.33175,-29823.01621,-51652.91448,-26423.96407,F
