,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-10252.16404,-18595.71261,-25237.91346,-8497.932076,-13818.25075,-33700.8427,1093.8273184093616,-3115.788474,1887.9847989064217,-30035.00015,-45423.10332,-39736.17133,7146.724420395425,-10960.93785,-19273.86454,-12128.45887,I,,,,,,,,,,,,,,
2,-21130.46749,-37811.59673,-50674.98096,-17151.65581,-27750.38365,-67596.01147,1931.1236657051643,-6876.11185,7818.371989532947,-55562.63692,-94694.0371,-83741.65997,-774.1973727,-18434.28832,-37663.15879,-19096.77167,I,,,,,,,,,,,,,,
4,-21373.56506,-38056.50479,-49701.49543,-16020.88106,-27149.92638,-66719.04078,2925.575128266231,-7104.032588,7114.046170001766,-55229.55122,-94313.72217,-83353.209,-337.3772308,-19445.34712,-36968.15365,-18301.69777,I,,,,,,,,,,,,,,
6,-20636.20336,-37322.11588,-50690.51542,-17244.52731,-27740.32536,-67627.48273,1969.0545760458203,-6372.258827,7659.473438200169,-55214.17322,-94342.55592,-83261.5445,-274.9041051,-18558.9887,-37043.65784,-18698.66475,I,,,,,,,,,,,,,,
8,-21587.94064,-38275.84246,-50044.39354,-16393.95403,-27337.68104,-67056.46271,2569.333025137547,-7341.251652,7501.401901412238,-55717.17688,-94840.32927,-83925.70423,-872.8579727,-18948.95958,-37632.80512,-18872.82954,I,,,,,,,,,,,,,,
10,-20749.37025,-37440.9601,-50101.18933,-16570.35399,-27413.94519,-67113.68318,2564.974434968762,-6487.347959,7210.717464770969,-55045.88694,-94153.57192,-83040.5528,2.592802356815619,-19218.43221,-36589.33629,-18202.7913,I,,,,,,,,,,,,,,
12,-21095.33055,-37783.27707,-50671.31527,-17176.04156,-27743.34285,-67646.88404,1961.387928,-6849.937958,7817.053236610083,-55733.31484,-94894.62166,-83862.47115,-817.0456668,-18440.68091,-37645.25505,-19097.97866,I,,,,,,,,,,,,,,
14,-21379.66709,-38068.15005,-49702.23304,-16043.27751,-27152.92152,-66767.3429,2948.5527215662864,-7119.924679,7103.965533252423,-55411.04739,-94528.7236,-83489.30877,-390.9096588,-19458.93698,-36960.21878,-18317.88043,I,,,,,,,,,,,,,,
16,-20602.72045,-37290.28699,-50663.291,-17216.49822,-27732.16697,-67650.39327,2028.7560854859455,-6337.367754,7657.931167832753,-55371.46245,-94534.71387,-83371.58214,-297.5017187,-18552.61845,-36995.40043,-18684.22552,I,,,,,,,,,,,,,,
18,-21605.03973,-38288.38179,-50055.12238,-16400.52544,-27345.32533,-67117.41592,2579.5030688647116,-7350.952309,7529.878023848299,-55874.84609,-95037.49401,-84036.41242,-878.3565019,-18915.52137,-37559.51375,-18853.7188,I,,,,,,,,,,,,,,
20,-20741.25656,-37432.66761,-50070.36627,-16509.73606,-27394.32036,-67135.99022,2625.324144998091,-6465.219732,7210.471595581961,-55208.54058,-94360.19145,-83167.57776,-30.44307595,-19218.72279,-36545.66098,-18198.56682,I,,,,,,,,,,,,,,
22,-21108.51808,-37794.40824,-50688.16849,-17176.26508,-27747.76849,-67713.13461,1958.0128142848987,-6854.989452,7844.411771823379,-55878.98116,-95086.46668,-83969.4466,-814.13994,-18424.90058,-37554.37285,-19073.65997,I,,,,,,,,,,,,,,
24,-21396.87793,-38085.24914,-49708.84916,-16026.35724,-27147.62415,-66824.27279,2949.9385297225153,-7133.64865,7115.029646757799,-55578.90899,-94746.27313,-83630.43769,-442.229264,-19461.82036,-36939.38696,-18335.00187,I,,,,,,,,,,,,,,
26,-20609.02364,-37299.60767,-50680.5689,-17223.919,-27732.54695,-67709.98302,2018.8989661811552,-6348.141294,7648.923414817264,-55517.50875,-94732.83973,-83487.49828,-332.9739372,-18579.41819,-36963.95152,-18683.53262,I,,,,,,,,,,,,,,
28,-21593.48388,-38279.70931,-50085.27489,-16411.32133,-27352.70141,-67179.03968,2564.125069,-7348.158341,7524.692419134667,-56035.68924,-95253.9036,-84173.69684,-945.2776248,-18919.43293,-37575.76347,-18892.72259,I,,,,,,,,,,,,,,
30,-20762.20015,-37449.52082,-50094.26029,-16515.10048,-27397.42725,-67187.17571,2610.9519733133284,-6498.926163,7208.370531603162,-55342.71811,-94552.79643,-83277.54835,-49.35265176,-19221.15913,-36504.91375,-18190.25197,I,,,,,,,,,,,,,,
32,-21067.7932,-37753.86217,-50712.0178,-17177.87441,-27747.63438,-67759.06745,1957.2752067178735,-6827.116826,7817.187347076816,-56023.35108,-95290.42635,-84093.7223,-873.4167663,-18435.49531,-37571.85192,-19117.60349,I,,,,,,,,,,,,,,
34,-21394.531,-38087.10433,-49726.68585,-16017.72946,-27141.1645,-66869.15509,2951.2349309009232,-7148.914891,7104.3231611637075,-55712.75124,-94946.4777,-83757.28384,-478.7743662,-19458.57936,-36929.99922,-18355.78899,I,,,,,,,,,,,,,,
