,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-6792.002236,-12656.92117,-21236.19124,-7274.397585,-12376.0715,-32077.03317,-824.4217425,986.9636281685387,5912.148167150995,-28022.04675,-35410.05825,-38848.98589,9210.550392931747,-7163.398822,-13539.36804,-6127.417818,L,,,,,,,,,,,,,,
2,-13529.60033,-25258.3653,-42446.23094,-14487.46198,-25006.21528,-64142.82342,-1708.455587,2030.1418936421746,14128.537670199594,-53344.69567,-86916.79232,-83757.28384,13046.065037973529,-12138.87479,-16991.88554,-14634.73763,L,,,,,,,,,,,,,,
4,-13624.41643,-25354.74603,-42611.74561,-14771.77617,-24599.92762,-64297.6316,-1690.574192,1943.6629943445917,14307.59749503106,-53498.58743,-87047.81825,-83871.76947,12858.31038454895,-12126.38016,-17152.86281,-14756.73345,L,,,,,,,,,,,,,,
6,-13581.74695,-25312.03184,-42482.28431,-14533.14895,-24895.90942,-64211.48797,-1694.798672,1973.8154976148007,14158.37724904743,-53384.41472,-87039.95044,-83689.04396,13135.248498350204,-12199.49272,-17076.93393,-14694.93087,L,,,,,,,,,,,,,,
8,-13544.55364,-25278.72774,-42575.53578,-14683.59854,-24831.0223,-64299.21857,-1728.86273,2018.4966347809595,14180.99721,-53574.76217,-87103.71996,-84061.93811,12767.897578227232,-12124.12263,-17083.84062,-14722.49058,L,,,,,,,,,,,,,,
10,-13597.88491,-25332.75191,-42573.90411,-14679.57523,-24638.43967,-64324.09606,-1660.265226,1951.2402357149406,14322.282591138195,-53504.46594,-87159.71108,-83796.08647,13050.91536652033,-12163.68522,-17105.07478,-14719.09311,L,,,,,,,,,,,,,,
12,-13521.75486,-25255.61604,-42510.93924,-14544.0566,-25018.84401,-64283.23707,-1738.876312,2028.7560854859455,14107.281161222598,-53541.45808,-87152.8491,-83999.24147,12948.387914703837,-12160.89125,-16991.84084,-14659.90569,L,,,,,,,,,,,,,,
14,-13601.99763,-25336.97639,-42663.28873,-14803.00156,-24603.03451,-64426.86938,-1703.247631,1959.8009538413232,14322.886088238489,-53684.73276,-87274.80021,-84115.20232,12775.921854486687,-12113.12558,-17127.67239,-14760.22032,L,,,,,,,,,,,,,,
16,-13568.64882,-25306.13098,-42541.47172,-14577.3607,-24895.77531,-64346.44781,-1716.345753,1976.7212243939907,14170.603653264483,-53569.48716,-87270.06164,-83932.3427,13051.72002932072,-12198.91157,-17060.5501,-14697.65779,L,,,,,,,,,,,,,,
18,-13526.26992,-25265.38375,-42633.94089,-14725.50806,-24840.0077,-64432.77024,-1751.79562,2020.5529952708478,14200.487935601228,-53752.39149,-87325.53867,-84304.43219,12689.621769144747,-12107.89527,-17059.65603,-14718.48961,L,,,,,,,,,,,,,,
20,-13585.85967,-25328.75095,-42646.32376,-14751.99488,-24641.59127,-64467.19193,-1698.307895,1945.2946716898289,14309.49739330976,-53705.87751,-87399.14297,-84070.25296,12915.799071287998,-12180.82901,-17147.92307,-14763.43897,L,,,,,,,,,,,,,,
22,-13506.10864,-25251.86095,-42579.51439,-14609.70367,-25019.4028,-64420.94617,-1774.482641,2020.709457482035,14116.087748537988,-53728.74334,-87374.22077,-84255.03483,12833.745817392566,-12159.95248,-17015.109,-14680.17872,L,,,,,,,,,,,,,,
24,-13548.12992,-25296.02799,-42696.63753,-14814.51271,-24588.8188,-64536.77291,-1697.033846,1995.8319659032782,14337.302963412163,-53865.22309,-87482.04559,-84365.25129,12671.65096660268,-12098.37342,-17137.79773,-14763.72954,L,,,,,,,,,,,,,,
26,-13550.63332,-25294.73159,-42580.18495,-14592.694,-24881.20197,-64464.08504,-1716.81514,1982.5550296968258,14205.517078103672,-53728.72099,-87454.48589,-84155.25665,13002.568543263502,-12161.18183,-16996.93704,-14653.28957,L,,,,,,,,,,,,,,
28,-13515.67519,-25260.824,-42669.50252,-14729.37491,-24832.9222,-64549.22283,-1753.092021,2032.2653093654287,14202.119612946464,-53923.5835,-87517.4731,-84540.2878,12624.488785801983,-12097.05467,-17013.58909,-14690.54993,L,,,,,,,,,,,,,,
30,-13602.01998,-25348.62165,-42687.40626,-14764.31069,-24629.72249,-64588.4725,-1703.314686,1943.908864,14295.482849536284,-53888.26774,-87600.30867,-84315.16103,12836.360971493837,-12191.71431,-17117.59175,-14747.8151,L,,,,,,,,,,,,,,
32,-13482.5052,-25228.32456,-42574.35114,-14553.48904,-24998.54863,-64511.78366,-1726.29228,2061.0767079683196,14122.949734085767,-53893.02866,-87560.94725,-84479.08872,12795.747851818545,-12145.73677,-16944.27633,-14639.67736,L,,,,,,,,,,,,,,
