,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
0,-6086.536477,-12833.67876,-25391.02291,-5838.074486,-11532.02492,-31899.26975,-657.0965835,1987.1147855657084,7467.382546,-28743.494,-45537.41014,-42856.89954,9370.477124509469,-5848.266881,-7614.255859,-6670.051118,M,,,,,,,,,,,,,,
2,-12174.83874,-25666.97754,-50781.01763,-11628.428,-23167.47137,-63818.00786,-1351.945263,3962.450202,15773.581358621284,-53644.65608,-90093.71282,-85519.62948,662.2821882107482,-10573.38096,-24114.0454,-13213.56901,M,,,,,,,,,,,,,,
4,-12158.85725,-25651.35368,-50622.18614,-11361.81639,-23407.01501,-63691.51934,-1299.061036,3981.292722379294,15589.380632565098,-53683.52576,-90065.54962,-85738.72128,544.7567158647437,-10605.70158,-23958.81253,-13083.61597,M,,,,,,,,,,,,,,
6,-12158.83489,-25646.03396,-50815.10405,-11661.59799,-23046.41432,-63877.15058,-1308.962859,4000.6940365665005,15791.820382096814,-53750.46924,-90134.79532,-85727.52306,504.3224101450933,-10538.15461,-24015.98829,-13156.99675,M,,,,,,,,,,,,,,
8,-12243.01156,-25731.12705,-50718.32099,-11460.16407,-23401.24826,-63813.60457,-1374.431118,3907.8225383546996,15633.122996464133,-53723.98242,-90190.67469,-85680.6738,629.8051035171871,-10594.83863,-24049.47121,-13167.09973,M,,,,,,,,,,,,,,
10,-12172.91649,-25657.92509,-50760.23051,-11546.06182,-23220.82498,-63850.75317,-1318.84233,4010.9534872714867,15626.730397549916,-53843.89953,-90194.07215,-85948.02302,349.84950421446615,-10605.25454,-23998.12925,-13123.13385,M,,,,,,,,,,,,,,
12,-12211.96499,-25684.50131,-50826.57049,-11600.15304,-23165.75028,-63932.96289,-1344.457429,3983.4608415914586,15790.054594284844,-53796.20091,-90276.05835,-85706.9818,596.7692252122432,-10552.66089,-24070.90653,-13188.08802,M,,,,,,,,,,,,,,
14,-12235.52373,-25708.93177,-50688.05673,-11356.04964,-23428.02565,-63820.17598,-1318.238833,3973.648425775579,15577.46715277042,-53847.65462,-90266.51415,-85946.39134,462.88227592495394,-10606.23802,-23939.56768,-13082.7666,M,,,,,,,,,,,,,,
16,-12255.52854,-25727.17079,-50897.1126,-11683.61445,-23067.55907,-64011.26105,-1345.932644,3984.354911369671,15763.523073616396,-53929.59612,-90345.70638,-85953.87917,387.8474697884881,-10557.9806,-24030.36046,-13176.08514,M,,,,,,,,,,,,,,
18,-12273.11936,-25744.47104,-50743.89139,-11380.05541,-23387.21137,-63898.5859,-1333.70624,3960.907931436054,15681.380412743141,-53870.58751,-90372.50613,-85866.10387,582.0394256161959,-10554.27021,-23991.24491,-13130.8005,M,,,,,,,,,,,,,,
20,-12269.29721,-25743.95695,-50826.03405,-11523.3301,-23238.9299,-63971.29613,-1342.088144,3986.523030581836,15658.916909565558,-53993.99149,-90380.84333,-86143.10904,312.9467741187542,-10582.16519,-23904.83307,-13084.10771,M,,,,,,,,,,,,,,
22,-12264.80451,-25737.69846,-50893.98335,-11590.38533,-23170.04182,-64051.51654,-1365.490421,3977.5376293108025,15786.567722149817,-53969.62809,-90482.20849,-85927.9735,501.9307734883754,-10561.31101,-24055.99791,-13201.58848,M,,,,,,,,,,,,,,
24,-12270.72773,-25747.35442,-50758.7553,-11356.69784,-23438.73214,-63940.11544,-1354.113383,3957.488114534392,15578.025946381802,-54012.007,-90464.17063,-86156.90007,379.4879173622033,-10606.21567,-23922.49095,-13082.81131,M,,,,,,,,,,,,,,
26,-12227.94649,-25705.19903,-50935.6023,-11639.00037,-23061.83702,-64105.18308,-1338.735382,4007.377208158637,15782.298538958854,-54083.01849,-90530.60001,-86159.71639,318.9593933772318,-10529.6833,-23991.62489,-13149.93359,M,,,,,,,,,,,,,,
28,-12257.71901,-25741.52061,-50802.27414,-11369.17011,-23387.92662,-64015.68669,-1354.739231,3948.323899307716,15678.519389452862,-54028.30142,-90566.76514,-86074.93622,510.2679741702049,-10545.41892,-23961.42768,-13115.69072,M,,,,,,,,,,,,,,
30,-12241.46929,-25727.57312,-50883.1204,-11518.94915,-23252.22918,-64086.16174,-1364.97633,3979.1693066560397,15631.312505163254,-54156.30986,-90575.16939,-86359.98802,225.14912189830804,-10590.5918,-23895.40063,-13079.19032,M,,,,,,,,,,,,,,
32,-12217.21765,-25700.304,-50946.5323,-11587.25608,-23168.58896,-64161.66594,-1377.493307,3987.9758939714307,15770.40741090863,-54131.00769,-90673.2265,-86138.70575,411.5626706555689,-10562.62977,-24048.86771,-13198.95097,M,,,,,,,,,,,,,,
34,-12234.78612,-25716.35255,-50801.89416,-11342.728,-23440.38617,-64044.29693,-1362.0259,3962.785478,15584.12797,-54160.22142,-90643.56573,-86346.68873,320.9263468892988,-10602.8182,-23887.15284,-13067.85799,M,,,,,,,,,,,,,,
36,-12212.50143,-25697.1524,-51007.93254,-11679.54644,-23085.01578,-64228.83293,-1386.031674,3986.813603259755,15760.572643348294,-54245.67214,-90717.90763,-86360.90444,230.0218022,-10560.79692,-23985.41111,-13171.1901,M,,,,,,,,,,,,,,
38,-12244.7103,-25732.75873,-50887.63546,-11434.83954,-23403.90812,-64143.58337,-1411.713828,3930.0625240877303,15657.709915364972,-54199.1358,-90758.20783,-86268.39057,403.02430427364163,-10585.74147,-23992.25074,-13159.5672,M,,,,,,,,,,,,,,
40,-12176.17985,-25666.70932,-50924.53819,-11522.43603,-23254.37495,-64174.98758,-1373.112365,4005.2761441798384,15638.688580833505,-54309.46401,-90748.64128,-86532.74465,142.51472264703784,-10603.04172,-23902.95552,-13097.47405,M,,,,,,,,,,,,,,
42,-12174.9505,-25666.79873,-51002.12109,-11612.93824,-23171.7629,-64265.04275,-1401.432026,3987.193582915495,15806.192553781577,-54277.43396,-90833.37675,-86301.67232,357.2255798847175,-10552.1021,-24007.60639,-13188.80328,M,,,,,,,,,,,,,,
44,-12197.39165,-25692.39148,-50867.13891,-11383.40817,-23450.89149,-64153.86518,-1398.593354,3950.380259797604,15584.485600529386,-54317.15301,-90814.89185,-86516.22671,241.39884011731627,-10618.50913,-23888.89627,-13088.19808,M,,,,,,,,,,,,,,
46,-12154.81158,-25649.38672,-51054.44652,-11693.40452,-23078.1538,-64325.59363,-1396.11231,3993.072091707241,15780.398640680152,-54388.1198,-90870.86062,-86515.84673,171.46023171666047,-10552.12445,-23955.32566,-13160.32716,M,,,,,,,,,,,,,,
48,-12206.82409,-25704.95316,-50945.2359,-11478.67131,-23389.08892,-64249.44124,-1435.809009,3921.4347507279817,15646.221118714944,-54350.12184,-90921.48732,-86428.94315,325.2849370580837,-10600.00188,-23999.24684,-13176.37571,M,,,,,,,,,,,,,,
50,-12131.83399,-25630.67831,-50958.93752,-11531.64494,-23239.39928,-64264.39455,-1371.950075,4013.814510561766,15635.067598231746,-54441.54047,-90894.37466,-86676.9134,92.33505634487348,-10593.56458,-23879.41913,-13089.7627,M,,,,,,,,,,,,,,
52,-12157.0244,-25654.63938,-51046.28814,-11639.06743,-23148.003,-64362.74223,-1406.818796,3980.6892252790008,15799.710547889537,-54405.77768,-90974.9974,-86436.36393,317.52888173209215,-10549.12931,-23972.84943,-13175.99573,M,,,,,,,,,,,,,,
54,-12191.91548,-25693.64318,-50901.67235,-11397.8474,-23431.71369,-64246.11083,-1403.577793,3944.6358614725905,15560.233957795377,-54446.3461,-90963.24038,-86645.71037,201.45627277568255,-10635.51881,-23870.74666,-13087.9075,M,,,,,,,,,,,,,,
56,-12144.39567,-25646.72686,-51077.91586,-11706.27912,-23062.1276,-64409.7256,-1390.926706,4009.545327370802,15750.64846881014,-54523.72784,-91019.03033,-86656.12628,114.32917288889563,-10573.04568,-23951.07883,-13172.41945,M,,,,,,,,,,,,,,
58,-12167.57443,-25670.08444,-50932.11543,-11409.22444,-23358.77995,-64305.16414,-1374.788746,3971.2791408633166,15700.088822852234,-54448.87184,-91035.97296,-86524.25099,354.4316118278041,-10544.43545,-23891.98081,-13119.46817,M,,,,,,,,,,,,,,
60,-12126.93895,-25630.32068,-50958.08815,-11465.7967,-23235.62184,-64331.96388,-1333.035688,4033.3722869601593,15667.701145136494,-54550.92991,-91017.91275,-86787.68865,124.29805091596258,-10560.93103,-23748.41556,-13036.40908,M,,,,,,,,,,,,,,
62,-12201.92906,-25701.30982,-51091.84099,-11645.68354,-23160.09529,-64470.6788,-1421.101561,3948.726230707912,15805.566704936828,-54543.82206,-91125.98343,-86579.92918,303.35787574742744,-10549.21872,-23891.28791,-13166.51859,M,,,,,,,,,,,,,,
64,-12196.09525,-25699.18641,-50936.78694,-11385.0175,-23440.05089,-64339.71993,-1399.509776,3949.553245252758,15539.290373240754,-54597.19802,-91129.73853,-86803.35722,146.7839058380015,-10660.37395,-23858.40849,-13118.10471,M,,,,,,,,,,,,,,
66,-12140.35,-25647.33036,-51109.74474,-11677.69124,-23071.18005,-64499.60196,-1379.169688,4011.936964,15771.949681276046,-54646.99771,-91159.51105,-86792.8072,111.0434664539655,-10547.38588,-23861.85066,-13141.88697,M,,,,,,,,,,,,,,
68,-12183.95825,-25690.33512,-50994.09681,-11431.755,-23373.21918,-64418.1522,-1405.008305,3949.039155130286,15662.38142995613,-54599.56731,-91207.85787,-86685.29531,293.83603260946666,-10581.27112,-23881.22962,-13144.07744,M,,,,,,,,,,,,,,
70,-12130.73875,-25637.49559,-51009.9442,-11478.64896,-23254.84434,-64437.68763,-1360.193057,4013.613344861668,15645.483511147919,-54689.46602,-91182.10866,-86941.66981,71.65969272371444,-10577.98542,-23730.04243,-13048.54608,M,,,,,,,,,,,,,,
