,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,8557.767696,-16081.0296,-25191.13126,-1707.315648,-17465.25079,-29656.07103,-35393.02622,10894.2626,26938.30007,-31365.24187,-47480.64846,-28190.75771,15811.71343,-11278.28792,13083.59362,-22842.36525,S
2,20796.93476,-32945.95724,-51049.5962,-4308.812834,-35481.62853,-59842.37013,-71339.54869,25277.31958,52113.67334,-56949.98735,-83439.95612,-50160.66732,44379.41097,-13660.40273,40060.11517,-26587.62355,S
4,19209.80444,-32589.35751,-50937.79277,-4000.090539,-35567.52629,-59783.0486,-71378.1725,24335.28296,54934.5082,-57406.36526,-83826.79776,-50765.03614,43782.01589,-14235.15549,39376.48706,-27355.65184,S
6,18471.63808,-32409.04598,-50640.49222,-3676.459631,-35168.57,-59542.61089,-71037.37545,23004.97419,51546.7884,-57051.57602,-83534.21343,-50325.53379,44334.08163,-13716.30445,40197.08666,-26561.29319,S
8,21348.35229,-33039.6781,-51328.47891,-4490.241944,-35875.37687,-60108.06532,-71717.29317,26150.69165,54312.57091,-57344.11566,-83803.99898,-50591.00546,44011.59066,-14114.47842,39679.19674,-27197.5356,S
10,17483.06513,-32199.96777,-50628.7352,-3507.100464,-35289.15766,-59570.72938,-71154.81152,22433.21656,53304.93192,-57427.24179,-83869.13197,-50789.06426,43905.75515,-14151.55997,39755.97498,-27131.10621,S
12,20789.06695,-32935.2731,-51197.60945,-4307.874061,-35684.62708,-60018.92656,-71596.0126,25270.56936,52193.96081,-57191.92263,-83695.16834,-50378.32861,44335.5792,-13847.19626,40214.87864,-26760.0002,S
14,19226.61295,-32605.339,-51122.50759,-4044.391697,-35792.38484,-59985.86833,-71670.53332,24366.59776,54908.02138,-57700.80479,-84129.93212,-51037.95094,43635.34375,-14488.60192,39378.96811,-27627.09142,S
16,18481.80812,-32400.37351,-50794.02635,-3680.79587,-35375.32364,-59721.58131,-71299.58377,23028.59998,51630.16041,-57309.91749,-83804.13309,-50560.38357,44253.90592,-13921.35935,40299.59176,-26763.26355,S
18,21347.70409,-33053.44678,-51503.09074,-4533.023183,-36095.09451,-60304.38069,-71999.19337,26154.87142,54305.68657,-57623.28894,-84089.29665,-50843.06608,43888.32079,-14343.15912,39721.82151,-27434.73231,S
20,17511.67536,-32206.31566,-50802.3412,-3545.456057,-35515.37967,-59764.89899,-71433.33661,22464.95604,53366.57803,-57700.15659,-84149.10992,-51036.14045,43796.32101,-14372.3952,39810.64735,-27358.4011,S
22,20770.69381,-32941.10691,-51364.06289,-4347.682517,-35903.69653,-60207.32942,-71864.03237,25246.29536,52164.23299,-57471.67706,-83984.08699,-50631.99855,44209.62712,-14073.46297,40238.23622,-26998.40391,S
24,19364.43381,-32609.94346,-51276.68992,-4067.592808,-36019.9256,-60166.04575,-71923.82329,24487.99008,54986.20778,-57951.83724,-84390.73228,-51262.72008,43568.60144,-14673.96494,39481.85318,-27812.36503,S
