,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,45137.62684,19905.74836,5481.92179,23196.6851,9872.385546,-15863.34596,-6744.325965,50223.83335,25394.48743,-32680.55262,-45592.12721,-27865.24926,23646.62572,-8180.000863,21038.66888,-14521.72721,T
2,92464.45059,39654.40865,10651.32149,46085.16199,19315.88582,-31990.42016,-13872.29727,102440.7047,134973.11,3424.287251,-22020.96099,-18755.6617,82312.06474,52207.10363,114371.8871,40244.07002,T
4,88146.13827,40420.02295,11339.88933,46988.39599,19885.40827,-31438.60029,-13267.97316,101270.3674,132508.0702,3432.35623,-21958.73373,-18849.29315,82274.06678,52300.80215,114607.7427,40483.61367,T
6,91668.52733,39829.02048,10872.13437,46299.73874,19630.8219,-31822.78208,-13639.74972,101282.7949,132296.6227,3665.954312,-21822.14222,-18436.38938,82737.23963,52605.05409,115036.4491,40827.56231,T
8,90410.57115,40271.20504,11084.36419,46695.65519,19604.46919,-31667.39275,-13574.10265,102577.3633,135317.8186,3358.93075,-22067.8773,-18916.50485,82287.65664,52225.16384,114469.1842,40195.09735,T
10,88986.38505,40370.37973,11310.0274,46865.46139,20001.52558,-31489.76344,-13296.44928,100499.2992,130789.4445,3676.906666,-21790.96154,-18483.75273,82775.2823,52716.38813,115263.364,40976.78256,T
12,92557.05387,39968.13774,10812.8799,46277.81168,19468.16825,-31906.75758,-13821.17883,102523.3391,135018.5064,3491.141318,-22009.87452,-18656.21879,82598.54705,52442.60161,114749.8998,40372.41374,T
14,88250.07388,40718.28463,11479.90066,47154.84943,20018.84818,-31371.07567,-13243.52035,101345.6927,132644.7734,3502.093673,-21946.06029,-18755.90757,82564.75122,52536.05426,114993.5561,40598.94867,T
16,91649.88597,40099.40953,10983.46841,46416.68307,19753.22005,-31779.64321,-13647.03639,101262.3431,132293.8287,3701.80651,-21838.05666,-18370.98817,82964.46746,52801.88355,115328.2288,40865.06854,T
18,90579.0586,40564.66109,11238.72533,46879.78886,19746.8051,-31582.99256,-13518.49151,102725.1306,135375.866,3411.055018,-22071.0736,-18829.89184,82541.52775,52438.17597,114792.3904,40261.16911,T
20,89142.95902,40669.40137,11465.99787,47060.21214,20145.40376,-31400.2894,-13241.35223,100646.4631,130958.0661,3756.702394,-21765.4582,-18373.49157,83076.98614,52962.95023,115675.3291,41110.22247,T
22,92726.94948,40267.96404,10974.25949,46484.25239,19624.20578,-31808.52167,-13755.68822,102698.9791,135161.5575,3563.918598,-21989.95912,-18547.41049,82886.61634,52677.4961,115144.5869,40493.18021,T
24,88424.08221,41032.52781,11655.00422,47381.20554,20183.42408,-31265.70955,-13163.85873,101549.3395,132824.8167,3581.487069,-21919.64053,-18637.10804,82869.80782,52778.30246,115413.7019,40731.42746,T
26,91845.15081,40425.96852,11183.2483,46670.26361,19930.06705,-31655.34516,-13543.19019,101474.5505,132491.1723,3811.017133,-21784.88186,-18225.23245,83320.39664,53076.58649,115831.6124,41059.61812,T
28,90691.13024,40858.25126,11386.9174,47062.24615,19898.19347,-31505.07438,-13476.53728,102834.4307,135537.1115,3495.835185,-22042.77629,-18707.53839,82852.14995,52676.95965,115228.2048,40389.28931,T
30,89230.5108,40980.80587,11642.26373,47277.40404,20312.10307,-31299.81831,-13164.86456,100787.6814,131057.4196,3838.39802,-21743.82171,-18261.1517,83377.68416,53190.6698,116088.7246,41211.45352,T
32,92862.51281,40565.33165,11148.40193,46685.08282,19787.8429,-31710.3528,-13678.84292,102813.7106,135267.8848,3661.349852,-21948.80956,-18416.67514,83218.13741,52927.9921,115603.2894,40613.05262,T
34,88656.40624,41343.68644,11850.8055,47610.91442,20354.43727,-31149.07815,-13062.8512,101765.9949,133046.546,3680.058262,-21879.67561,-18512.87705,83201.57477,53028.48554,115868.7387,40856.70899,T
36,92066.27662,40731.98625,11382.78233,46896.03858,20106.48937,-31534.55633,-13434.98539,101687.4286,132691.7121,3910.974134,-21741.58654,-18099.23567,83656.99156,53334.34681,116296.2605,41188.61004,T
38,90952.19862,41133.78121,11551.98503,47236.29919,20049.33596,-31413.81221,-13411.60547,103025.6275,135799.4763,3590.807747,-21999.9727,-18579.95463,83189.57188,52935.0776,115684.9179,40503.14909,T
40,89410.12942,41249.6303,11804.76091,47442.49403,20461.30096,-31211.43952,-13105.72184,100985.2709,131267.4813,3892.757463,-21728.33195,-18171.18593,83648.5426,53403.4584,116442.3515,41261.02969,T
42,93052.14501,40814.08421,11295.14114,46825.49647,19930,-31639.00604,-13634.96645,102975.7608,135474.0349,3734.261243,-21917.56182,-18306.45869,83520.91414,53161.09844,115993.9085,40717.47997,T
44,88729.87643,41553.72579,11934.84806,47672.0688,20456.71886,-31130.21328,-13092.22139,101829.2951,133174.8674,3703.259373,-21890.69502,-18452.28147,83415.59272,53196.36949,116116.8878,40862.92277,T
46,92172.358,40954.49787,11501.17952,47004.80217,20225.82534,-31488.04235,-13417.70749,101809.2903,132764.1988,3945.395821,-21744.15699,-18027.3301,83887.03571,53511.93142,116557.3512,41225.78099,T
48,91091.69586,41355.66698,11663.7214,47341.19592,20166.92849,-31372.26032,-13396.51804,103161.3473,135930.8152,3630.325631,-21997.35755,-18503.71283,83426.1651,53113.98096,115956.0446,40568.46089,T
50,89607.96471,41498.38287,11957.24451,47600.99025,20602.89927,-31136.18119,-13042.13113,101199.0653,131442.2272,3959.455068,-21701.84513,-18078.20267,83920.8539,53613.90008,116772.1962,41376.4541,T
52,93241.39723,41030.27028,11406.34106,46925.0735,20048.91128,-31597.58825,-13617.86736,103128.9373,135673.4125,3792.040502,-21897.62406,-18217.34228,83777.9592,53365.52749,116307.6823,40808.78685,T
54,88972.83989,41801.91956,12080.53673,47827.7934,20596.23845,-31058.48653,-13031.35759,102087.8154,133417.0039,3763.899656,-21871.8078,-18367.18838,83677.15283,53402.162,116436.853,40959.63877,T
56,92325.66861,41158.45754,11589.71478,47076.43951,20334.18659,-31461.98022,-13420.50146,101944.8089,132950.5677,3985.785423,-21738.74786,-17964.61111,84113.21302,53694.16519,116827.4497,41264.98595,T
58,91370.22094,41577.03865,11782.47622,47459.43665,20284.67748,-31320.31486,-13358.49772,103430.06,136149.7058,3668.480059,-21995.63646,-18446.17944,83650.93424,53294.31484,116207.6805,40586.72227,T
60,89764.87395,41686.67396,12025.35028,47652.10869,20688.50645,-31128.26867,-13065.95809,101337.3332,131675.8253,3992.02156,-21704.84027,-18033.40978,84137.77758,53786.23203,117023.6533,41386.53474,T
62,93452.71062,41226.80917,11496.99974,47006.43385,20140.7546,-31571.45906,-13607.18323,103351.7394,135801.5103,3795.370912,-21925.87667,-18197.0022,83943.1833,53497.55925,116470.3359,40764.6198,T
64,89173.13387,42003.7111,12171.30717,47910.94189,20685.66778,-31036.51476,-13026.03787,102291.5068,133650.7137,3797.583735,-21871.07019,-18322.06021,83895.887,53571.2753,116686.1867,40975.10618,T
66,92481.41557,41362.23839,11698.05368,47175.88242,20435.79762,-31431.0007,-13394.75225,102124.7181,133096.3904,4021.570566,-21734.61279,-17912.75506,84331.27664,53867.19005,117079.6221,41305.3085,T
68,91573.48771,41786.45215,11895.57605,47567.21676,20385.10387,-31286.83195,-13328.52403,103634.4443,136335.337,3714.323487,-21984.37118,-18381.89583,83891.66253,53477.62149,116485.9821,40669.58018,T
70,89880.72304,41893.27114,12126.15664,47743.10264,20782.36142,-31103.90527,-13052.07766,101480.0267,131811.791,4030.354801,-21702.98507,-17980.41379,84365.83243,53958.56398,117282.4418,41469.25854,T
72,93653.58575,41443.88931,11627.01984,47132.7212,20249.94287,-31522.19582,-13556.17655,103548.1889,135964.0298,3854.647738,-21905.2013,-18121.31919,84213.39353,53699.14963,116780.9804,40901.54659,T
74,89446.94274,42240.28197,12324.52838,48075.87541,20803.32736,-30967.13495,-12946.59978,102578.9726,133893.6325,3861.845,-21843.35403,-18242.84562,84178.50246,53777.60426,117003.5815,41106.62384,T
76,92741.50047,41611.63916,11864.28361,47361.93834,20565.05776,-31345.66174,-13298.79621,102394.7719,133365.6172,4115.29143,-21676.83353,-17802.20333,84667.60333,54112.50044,117483.1828,41501.26624,T
78,91868.39662,42003.15231,12024.65737,47707.07163,20488.52539,-31231.0867,-13273.6952,103873.4962,136601.9486,3791.928743,-21945.59091,-18286.69975,84185.3421,53694.76869,116835.1387,40810.21736,T
80,90170.3793,42145.57763,12302.69072,47954.21487,20915.82369,-31006.92105,-12943.80581,101819.7956,132106.834,4104.495538,-21668.1387,-17894.04665,84646.50329,54168.20099,117620.0649,41576.65868,T
82,93923.8854,41681.4213,11782.8115,47317.61483,20381.50524,-31438.0862,-13471.6646,103802.4177,136223.8912,3952.548379,-21853.74759,-18010.32043,84529.4472,53935.67579,117181.5237,41031.54433,T
84,89649.74012,42449.94133,12424.7536,48191.6351,20907.64295,-30926.07479,-12926.19263,102761.7875,134179.4442,3930.688373,-21820.35408,-18160.65826,84438.94499,53974.38901,117333.225,41169.20873,T
86,92896.17454,41839.67165,11988.26873,47510.86801,20683.52201,-31283.85917,-13250.85172,102594.1718,133498.6324,4163.012405,-21673.77134,-17737.24916,84892.05955,54282.08313,117754.7342,41521.53927,T
88,92154.49895,42234.06818,12154.27514,47863.86911,20609.7389,-31162.89153,-13216.81001,104132.1283,136837.3125,3859.207494,-21920.19933,-18194.36469,84458.14514,53892.96161,117170.0349,40878.47959,T
