,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,37555.19987,23341.12207,1349.039537,22114.68185,23799.71281,-4811.615325,-12552.13619,47307.89182,71991.59378,5903.922725,-6543.339079,-1095.973086,45919.08853,32227.88509,73089.82439,18637.44332,V
2,74828.72305,46436.53142,2339.91472,43870.97584,47388.33575,-9891.630398,-25482.06156,97994.00395,134093.7476,11759.8339,-16091.1773,-5920.552423,74945.06388,63960.99197,132528.7679,41379.58334,V
4,75672.52376,47147.60746,2957.471068,44677.31502,47765.23087,-9429.48573,-24966.94326,94735.47724,130524.487,11765.84652,-16053.67107,-5973.838982,74923.60621,64031.7576,132734.7169,41548.27196,V
6,74984.84999,46616.73118,2500.310838,44050.77327,47602.33135,-9774.328443,-25373.49914,96144.64297,130139.9699,11895.73251,-15929.1942,-5712.412979,75166.2791,64228.52,133057.5655,41801.09254,V
8,75383.73922,46928.29215,2635.24832,44346.10687,47659.14949,-9668.425878,-25323.87827,97266.2535,134345.3836,11668.14705,-16190.24023,-6096.103024,74882.50135,63956.65574,132593.4538,41253.29599,V
10,75602.78631,47151.27315,2935.745172,44648.12364,47927.41512,-9436.459474,-25030.39986,94177.0189,128022.8797,11916.34082,-15901.81332,-5737.536339,75217.46459,64337.86474,133336.5823,41944.56839,V
12,75076.71566,46708.17217,2423.979631,44083.8315,47651.28167,-9816.640296,-25532.62121,98260.72732,134289.9289,11784.28671,-16089.85854,-5908.616592,75134.2267,64169.69021,133010.3362,41490.76092,V
14,75925.85843,47426.69134,3043.949967,44896.80915,48024.33229,-9347.566586,-25013.74781,95045.71945,130870.492,11807.30901,-16038.29307,-5949.386173,75150.69993,64262.22643,133276.5008,41687.38922,V
16,75256.40133,46906.43214,2603.307677,44290.92041,47865.92547,-9671.39866,-25400.81297,96447.35264,130416.2598,11939.02784,-15913.39152,-5687.580191,75392.05407,64462.20749,133602.8363,41941.97559,V
18,75660.43146,47220.69767,2744.771867,44600.13444,47928.68917,-9557.158894,-25339.94917,97669.45662,134738.886,11722.75236,-16161.80881,-6060.653157,75133.55614,64204.67069,133171.0453,41411.56869,V
20,75831.31055,47416.78952,2999.022961,44834.04545,48177.91112,-9365.716203,-25104.65236,94406.92895,128393.7175,11956.77512,-15882.59082,-5718.000915,75448.15695,64574.81558,133887.5975,42079.01413,V
22,75252.98151,46940.16092,2448.074811,44206.8108,47882.55517,-9776.295397,-25645.58693,98358.73972,134389.573,11769.89219,-16119.11698,-5938.567929,75264.26915,64342.37979,133398.2284,41523.17095,V
24,76147.85596,47688.96671,3110.222889,45082.5745,48284.35013,-9267.994376,-25072.5329,95274.80248,131064.1251,11813.27692,-16055.81684,-5963.937159,75316.10284,64454.80906,133697.3394,41747.82833,V
26,75453.65548,47157.53164,2650.536913,44441.61587,48118.0308,-9614.51347,-25485.61549,96577.4845,130590.1117,11961.02196,-15914.12913,-5688.138984,75582.11095,64672.38094,134067.5737,42032.41074,V
28,75810.05404,47440.99646,2749.108106,44687.84269,48154.5312,-9537.735228,-25473.16557,97759.08712,134867.565,11713.25287,-16190.5308,-6088.838707,75270.54999,64376.37679,133549.4603,41444.69398,V
30,76012.76201,47657.27194,3032.282356,44966.09956,48405.87657,-9321.191528,-25203.2459,94562.58649,128476.9554,11937.2844,-15922.68985,-5759.351642,75565.16833,64728.57323,134232.552,42092.78281,V
32,75459.35517,47195.17198,2508.111597,44372.37017,48125.49628,-9710.625972,-25713.29036,98612.38731,134600.2382,11786.43248,-16126.35894,-5947.03924,75444.24539,64539.76804,133851.7453,41608.62167,V
34,76339.76803,47935.66292,3160.246093,45229.20194,48517.1212,-9215.646591,-25159.34708,95532.5628,131356.933,11822.15057,-16066.8586,-5981.572685,75481.12577,64642.13903,134133.3996,41815.71058,V
