,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,54988.35355,30148.79288,7691.65995,27270.80462,24346.39178,-10101.66974,-8215.137805,63609.44374,75395.63035,7063.8218,-4837.43159,-11099.89865,44417.96773,51077.8488,71623.39349,25983.56765,X
2,107703.1547,60634.04657,15767.65815,54942.8454,49094.28794,-19910.55398,-16080.35905,125551.2685,156070.9886,18274.60745,-10822.20058,-27591.10511,100232.1735,100101.4382,154662.784,52077.01648,X
4,111944.6888,60083.81368,15193.26302,54172.93956,48719.71741,-20366.59662,-16622.94765,126776.9711,159432.1098,18230.64157,-10876.60472,-27639.20607,100231.0336,100074.9961,154485.3335,51840.02094,X
6,108857.1082,60797.66134,15794.23437,54988.15238,49152.98362,-19905.56954,-16117.79822,126853.0118,159543.5556,18116.08888,-10945.38104,-27881.02959,100041.692,100002.1517,154262.2854,51617.37521,X
8,110162.5842,60633.1078,15700.71467,54767.67478,49196.61423,-19983.84535,-16196.23049,126049.7571,156476.2928,18510.26189,-10622.91242,-27374.96375,100683.6341,100567.4273,155153.9189,52408.71637,X
10,111697.5456,60604.05053,15533.09894,54603.25534,49046.18699,-20131.05394,-16414.65174,127738.6996,161662.7469,18181.42303,-10894.50847,-27845.78089,100221.6459,100184.4079,154363.5165,51596.87866,X
12,108277.4157,61211.61565,16150.29766,55335.96788,49597.2916,-19658.56041,-15864.86588,126134.9173,156680.4983,18494.81684,-10613.18941,-27507.44253,100672.5029,100672.7488,155113.5293,52318.50473,X
14,112530.5727,60647.36821,15577.84713,54563.35748,49213.84742,-20113.8431,-16403.16294,127372.3546,159969.334,18433.57306,-10677.04835,-27573.0449,100645.8149,100627.33,154905.7251,52064.58891,X
16,109451.5529,61359.42773,16169.29664,55367.46149,49647.13599,-19663.81307,-15913.36917,127415.8958,160218.3324,18359.1641,-10705.74799,-27769.89672,100530.2787,100600.575,154792.8264,51912.15001,X
18,110669.6782,61189.04039,16068.64674,55136.94795,49684.84338,-19749.62142,-16004.00549,126567.2894,156947.1546,18706.77843,-10421.00911,-27309.54019,101083.015,101103.5339,155544.1356,52615.06767,X
20,112329.7646,61163.29118,15914.03972,54992.89095,49540.11584,-19881.47436,-16199.42679,128338.3969,162280.6385,18412.31655,-10658.42934,-27745.08628,100690.5631,100762.5134,154856.7971,51873.83912,X
22,108777.2231,61754.71833,16499.05193,55682.97871,50080.69278,-19432.8525,-15690.00819,126630.4554,157216.672,18694.86495,-10406.90516,-27438.95679,101083.9985,101206.0837,155514.9219,52532.25446,X
24,113028.0331,61181.32903,15924.07565,54905.54034,49701.98717,-19886.5035,-16225.91361,127847.9773,160463.5981,18651.88255,-10458.22477,-27487.43772,101081.0928,101177.9205,155332.7328,52301.80798,X
26,109946.8899,61894.64025,16511.12187,55711.6113,50131.6324,-19436.42878,-15736.56687,127927.326,160693.1505,18542.53781,-10521.54726,-27722.86865,100899.686,101105.6126,155109.9306,52073.52961,X
28,111051.6472,61691.44055,16373.03279,55420.36807,50144.70817,-19555.31771,-15876.6676,126930.2594,157418.6423,18912.99563,-10218.9717,-27240.89798,101491.5602,101634.902,155920.1143,52819.22851,X
30,112776.8666,61661.95859,16222.27028,55280.96024,49992.73866,-19682.83441,-16061.67299,128769.8974,162680.4218,18573.24911,-10492.06531,-27716.61016,101022.1065,101242.5618,155112.4564,52002.40636,X
32,109220.8382,62282.55478,16835.73626,56011.99639,50551.33111,-19213.58189,-15517.58683,127124.9431,157711.2043,18876.07054,-10217.45178,-27394.40976,101456.2445,101709.1768,155836.4294,52700.54075,X
34,113436.6454,61705.00805,16270.6171,55236.07793,50174.92773,-19658.69452,-16044.50685,128293.09,160848.4728,18854.07643,-10247.8278,-27411.64296,101492.0296,101704.2371,155705.0235,52509.99212,X
36,110485.3657,62423.63899,16854.66818,56046.35102,50592.1901,-19210.38559,-15560.97157,128442.1984,161249.5302,18754.90174,-10301.22612,-27644.90576,101334.0922,101637.2489,155519.9063,52297.04705,X
38,111508.0251,62234.92321,16733.83465,55780.2535,50620.37565,-19311.10255,-15676.41833,127445.6459,157880.9211,19113.93781,-10011.4134,-27179.47539,101901.4465,102149.5732,156304.989,53022.16,X
40,113313.979,62188.38688,16558.99931,55607.96626,50445.47325,-19456.92533,-15890.07865,129263.7592,163187.5382,18794.64314,-10266.06682,-27629.25954,101472.0919,101779.473,155555.0656,52235.35624,X
42,109690.9624,62819.64485,17175.54983,56347.09374,51007.06083,-18981.59313,-15341.6339,127626.2033,158233.0281,19081.08074,-10004.99845,-27327.24277,101874.6244,102224.3175,156238.2467,52899.8289,X
44,113866.2012,62212.34795,16575.02551,55516.81584,50604.79648,-19458.22173,-15907.20009,128698.2377,161282.946,19052.35875,-10036.89439,-27343.82777,101904.084,102218.7072,156104.0468,52708.3415,X
46,110887.2725,62917.6796,17133.95323,56297.47287,51005.38445,-19031.54928,-15451.35861,128838.8525,161673.6322,18901.81975,-10131.82224,-27624.31981,101663.691,102097.8736,155796.1963,52408.78342,X
48,111900.7229,62751.42732,17051.47529,56078.60459,51060.81677,-19098.91744,-15520.67137,127895.7654,158270.8249,19282.15704,-9822.407046,-27136.85061,102268.1716,102634.6955,156637.2477,53172.72135,X
50,113806.0303,62711.35064,16890.25216,55925.09281,50895.36916,-19230.79273,-15710.46003,129776.5752,163650.711,18977.18984,-10056.80979,-27566.62995,101867.9859,102282.879,155932.3854,52417.43355,X
52,110237.1049,63363.39573,17534.65295,56707.09094,51469.8537,-18734.78517,-15129.5829,128201.5149,158800.7401,19293.53408,-9771.199199,-27240.56271,102321.8381,102759.4629,156696.5022,53134.25399,X
54,114421.7538,62747.51577,16941.46001,55876.9695,51073.04318,-19211.32436,-15689.94113,129252.4715,161822.003,19272.50108,-9798.267162,-27247.04471,102362.9206,102760.8711,156591.4713,52960.33507,X
56,111436.7901,63427.41113,17461.94273,56605.30109,51453.02283,-18818.82773,-15281.37359,129339.8892,162256.8786,19094.64825,-9916.731407,-27558.38216,102068.5705,102600.0279,156203.9144,52606.64107,X
58,112460.7682,63286.68455,17423.87771,56445.28496,51525.28602,-18853.91997,-15299.54556,128476.3966,158811.6254,19492.91164,-9593.279313,-27055.08793,102695.7605,103152.5854,157078.0688,53401.55851,X
60,114296.2935,63190.05796,17197.09691,56197.04648,51324.63441,-19043.79803,-15565.88895,130208.3439,164179.8662,19168.20784,-9849.430305,-27500.84877,102256.0122,102774.6845,156326.9384,52610.08324,X
62,110665.0067,63837.11861,17830.29948,56967.24289,51890.71469,-18553.87015,-14998.35581,128619.0455,159240.1977,19453.88549,-9593.078148,-27205.20225,102653.7839,103209.3141,156992.171,53264.47526,X
64,114885.329,63208.25228,17229.57399,56127.15258,51483.4212,-19032.24218,-15563.47496,129697.9642,162226.7708,19418.8156,-9632.528977,-27225.60939,102666.1891,103189.1752,156842.7273,53064.98594,X
66,112048.8479,63937.20972,17812.77571,56949.78618,51903.56695,-18582.83801,-15070.37313,129977.9645,162860.9568,19295.12105,-9703.875745,-27482.36388,102471.483,103091.7887,156608.9951,52810.31016,X
68,112907.0655,63747.53281,17701.86635,56684.96271,51936.11108,-18676.46947,-15178.51087,128884.9418,159315.6796,19671.90441,-9397.120404,-27000.01323,103058.9316,103616.5629,157436.9931,53570.0236,X
70,114754.5713,63637.09285,17463.08267,56420.96626,51722.9425,-18876.87521,-15458.62293,130634.0105,164635.8418,19317.47279,-9681.032262,-27477.11122,102567.8414,103200.0382,156603.4519,52727.87693,X
72,111047.6686,64296.60342,18098.63217,57199.9469,52294.09662,-18386.58969,-14892.29678,129034.6761,159664.5456,19589.89586,-9442.986184,-27202.74355,102939.3945,103611.8467,157231.5359,53355.02217,X
74,115325.6807,63689.91002,17543.34778,56418.61932,51908.97607,-18822.38165,-15397.3568,130196.5645,162638.4005,19587.48187,-9453.58091,-27191.94766,103007.7908,103632.9914,157170.6274,53222.31987,X
76,112370.8695,64397.76741,18086.22695,57185.19475,52308.5135,-18407.8909,-14957.09449,130325.8023,163278.1968,19466.78245,-9524.30183,-27448.81391,102814.2918,103534.0403,156941.9467,52966.92884,X
78,113171.8219,64238.6677,18026.48074,56987.8959,52369.24319,-18460.48456,-15002.26736,129256.4949,159559.5371,19841.64355,-9224.073198,-26968.2067,103396.8453,104054.4783,157746.4307,53717.99215,X
80,115172.9065,64163.65524,17845.74453,56796.98966,52186.7859,-18611.49295,-15211.30088,131115.4671,164988.0829,19535.11173,-9465.673204,-27392.42046,102993.9998,103695.3528,157044.4294,52968.62757,X
82,111444.1885,64843.88588,18501.85764,57599.79726,52771.88751,-18108.17636,-14626.62394,129489.02,160083.1491,19837.19556,-9201.453233,-27094.29289,103410.0328,104136.9115,157749.627,53645.66191,X
84,115577.8978,64200.82619,17910.76576,56757.09179,52373.51237,-18579.5076,-15176.34275,130453.8554,162890.1259,19829.46185,-9219.669905,-27081.17242,103469.3543,104148.4003,157667.6855,53505.33766,X
86,112717.0757,64919.47948,18473.35916,57555.16083,52778.63774,-18146.28609,-14711.40411,130670.3768,163583.0746,19703.30861,-9297.968065,-27339.93856,103270.0215,104035.6581,157417.3012,53234.72509,X
88,113377.8826,64728.55088,18374.58681,57294.91947,52821.0837,-18232.9885,-14815.04915,129450.0163,159832.3625,20073.67701,-9001.248658,-26865.7463,103840.058,104543.7133,158209.38,53980.44634,X
90,115330.5087,64597.34614,18132.42801,57018.24957,52599.75673,-18433.10367,-15094.53536,131215.5135,165141.9971,19724.49806,-9284.534667,-27326.9522,103353.4382,104125.8921,157364.8417,53142.52414,X
92,111579.3719,65276.19097,18789.14461,57828.92499,53180.99149,-17927.86484,-14505.03045,129644.5658,160274.033,20010.71215,-9036.3856,-27047.15306,103741.8891,104544.6297,158024.1064,53787.46137,X
