,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,55116.94313,32098.98258,8979.3663,32449.83792,32514.76973,-9251.856417,-7666.6707,64192.48899,82283.23099,12224.2361,-1108.110083,-9036.139731,61459.20592,55317.75121,76929.09413,29796.73055,Y
2,111199.951,64677.52185,18300.91546,65383.00996,65206.25236,-18245.66194,-15045.83091,129113.019,164314.3567,26242.64672,-6324.426094,-16661.88439,103857.023,133005.3071,153689.3208,58975.1448,Y
4,109114.7568,65085.35178,18814.98323,65893.70261,65700.60589,-17848.11382,-14554.249,128687.9112,155766.1555,26611.87519,-5947.575682,-16132.28215,104342.7711,132767.5963,154585.6928,59865.92887,Y
6,111195.7489,64620.70371,18190.94487,65161.43711,65340.0052,-18335.67242,-15198.73919,128963.2623,163318.2735,26512.58874,-6085.396538,-16297.5286,104288.6128,132644.9523,154154.2595,59398.06216,Y
8,110333.2398,65426.30529,18965.58928,66095.56122,65868.5569,-17744.37937,-14486.4338,129305.1993,160255.6151,26504.38565,-6051.935977,-16378.44192,104253.3641,133572.5944,154150.6832,59423.58785,Y
10,110087.1471,65050.79598,18611.44824,65578.65478,65793.92443,-18009.91809,-14840.82071,128868.5133,157995.6973,26822.54038,-5778.149459,-15884.75894,104737.637,132636.8386,154776.845,60014.16564,Y
12,111816.9262,65311.03734,18675.03895,65736.43574,65797.70187,-17966.66747,-14831.6565,129649.595,164984.1267,26543.14358,-6043.039983,-16378.77719,104401.8244,133657.1063,154008.5708,59238.91774,Y
14,109706.1839,65724.61167,19197.0863,66261.21,66292.21187,-17563.57611,-14328.22816,129238.9711,156370.7702,26898.11163,-5678.080699,-15866.89989,104862.695,133405.4257,154862.0498,60101.33744,Y
16,111728.8827,65246.46315,18561.29093,65513.16416,65925.93383,-18052.63228,-14978.46275,129489.8694,163769.2423,26801.75326,-5810.44773,-16024.81497,104810.3025,133242.8838,154426.1237,59636.21999,Y
18,110911.1665,66052.42235,19333.34253,66451.80332,66448.00352,-17461.02631,-14264.19041,129866.0493,160926.1898,26795.18185,-5774.372014,-16116.68064,104778.2948,134195.7163,154416.6689,59655.30838,Y
20,110677.032,65712.69819,19035.86317,66014.89377,66402.11539,-17679.64872,-14545.84474,129552.8119,158507.7311,27132.04499,-5483.352302,-15604.42336,105292.5861,133273.4386,155096.2961,60287.97451,Y
22,112485.1763,65975.39824,19111.70263,66187.33748,66407.92685,-17626.2504,-14519.71555,130389.9518,165658.0094,26881.88426,-5722.493615,-16070.27841,105015.2233,134355.7995,154417.2277,59568.22599,Y
24,110389.9461,66405.60227,19646.1999,66722.88528,66909.52234,-17211.02204,-14005.93835,129965.5592,157106.0085,27248.98931,-5345.754963,-15550.93563,105496.9258,134151.3481,155309.867,60455.27732,Y
26,112370.8695,65922.42461,19009.19753,65967.03869,66545.79241,-17702.29104,-14660.93387,130179.3313,164314.0437,27147.26652,-5481.988845,-15706.12379,105427.2554,133953.9151,154850.8963,59981.97913,Y
28,111590.5254,66726.86389,19775.23652,66898.94997,67061.73772,-17116.16124,-13956.02691,130552.2925,161646.1172,27145.59014,-5446.293109,-15796.22368,105407.2059,134921.5892,154854.8078,60002.52038,Y
30,111248.2978,66370.24181,19452.61144,66421.04732,67006.21599,-17356.17427,-14270.5383,130112.3208,159012.1429,27466.62825,-5167.969187,-15297.80213,105885.265,133950.093,155489.2174,60607.89503,Y
32,113017.3267,66602.65524,19493.82806,66548.36286,66996.62709,-17330.13449,-14283.59172,130881.5784,166169.3279,27196.55212,-5426.333001,-15782.23148,105565.6127,134962.5152,154740.6351,59843.04069,Y
34,110909.3783,67056.57447,20062.50114,67128.79296,67516.30515,-16886.38531,-13731.30247,130520.7542,157610.9791,27563.74658,-5053.260035,-15266.7779,106045.4599,134749.4584,155625.7195,60724.52643,Y
36,112869.1793,66573.17329,19435.53471,66384.90455,67155.45859,-17369.58532,-14371.0541,130747.2221,164747.9582,27483.90615,-5172.461888,-15396.66389,106015.6651,134530.389,155235.4133,60300.22327,Y
38,112134.1869,67370.90705,20190.15195,67306.06464,67662.50791,-16791.21158,-13678.15002,131113.4778,162303.1243,27481.20159,-5137.995498,-15495.19038,105990.6535,135513.9104,155242.3647,60316.11536,Y
40,111760.6445,67028.94771,19894.8407,66853.24065,67623.39236,-17013.83495,-13967.24748,130679.8092,159520.8686,27818.28824,-4846.104067,-14982.06138,106481.9448,134550.3938,155911.4866,60947.39568,Y
42,113550.5722,67249.17945,19925.59671,66964.19471,67606.44974,-16997.1382,-13990.5827,131434.6947,166719.6055,27544.0994,-5108.312381,-15467.04954,106153.3071,135536.2622,155148.8003,60167.23039,Y
44,111428.6094,67699.90238,20487.94424,67536.82405,68122.61857,-16562.86616,-13449.58108,131035.4031,158185.1507,27904.74479,-4737.899272,-14966.05753,106619.6315,135332.5037,156019.9149,61033.00286,Y
46,113398.5357,67216.4565,19875.77467,66806.39139,67768.61164,-17034.01858,-14069.26084,131307.9156,165208.9629,27829.33001,-4851.13321,-15088.92507,106591.0884,135079.7278,155640.427,60620.41201,Y
48,112740.8803,68014.10085,20630.97306,67727.97617,68271.88352,-16454.03552,-13374.88155,131706.6484,162988.2277,27837.15312,-4806.385017,-15179.49434,106588.8755,136103.7059,155685.3987,60651.10095,Y
50,112294.4489,67650.50502,20306.64924,67234.27084,68217.27821,-16698.29538,-13698.69127,131173.6487,160005.4991,28155.48666,-4528.016392,-14681.45277,107046.0358,135124.3866,156312.5216,61258.77783,Y
52,114103.4426,67840.65131,20303.54235,67304.50002,68179.07908,-16706.56552,-13752.20135,131908.9764,167286.9822,27872.44652,-4805.423892,-15178.33205,106692.9229,136086.3833,155512.195,60457.19957,Y
54,111995.1814,68308.13805,20890.96855,67909.36058,68701.08172,-16249.58411,-13179.50495,131577.5,158706.7957,28213.22122,-4456.133182,-14698.4401,107117.4049,135871.3148,156322.4234,61282.11305,Y
56,113922.7288,67808.55421,20265.38792,67154.76568,68337.35178,-16733.83465,-13819.70362,131797.1729,165677.1425,28166.64018,-4543.819075,-14791.49041,107133.4311,135622.8752,156021.0548,60924.61925,Y
58,113265.2969,68593.39101,20999.50862,68049.66248,68823.56928,-16172.31413,-13152.01231,132166.0885,163571.1612,28150.74809,-4523.054304,-14911.76515,107084.0337,136628.346,155987.8625,60900.90405,Y
60,112782.1863,68258.20425,20716.22261,67608.57315,68787.09123,-16382.68875,-13426.31291,131702.7368,160388.2727,28474.46841,-4238.606005,-14400.89368,107546.8713,135632.3523,156621.4003,61520.96379,Y
