,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
0,53790.90354,35873.20875,12671.29334,30925.00191,32694.9695,-1701.615954,335.5667395,58544.44904,83895.59643,23428.33858,6653.488476,13514.53525,70033.55861,70082.93361,80157.87067,36105.26456,Z
2,107651.9022,71233.04263,24674.31422,61100.16985,65016.62016,-3923.267594,-35.47221845,117336.5554,147407.9665,35037.45467,5769.409927,18622.51236,135268.6671,121287.5392,145992.8552,58384.96934,Z
4,108680.3059,71596.72786,24897.38463,61464.86091,65138.30306,-3761.306853,155.1881618,118250.0488,152808.3268,34732.15219,5452.84217,18056.7003,134896.8905,122978.538,145322.1241,57668.61828,Z
6,107557.466,71775.87709,25218.78036,61731.94191,65469.84648,-3520.131531,475.2874941,117106.4889,144008.378,35099.19019,5844.668251,18691.46749,135409.2819,121898.5688,146308.149,58595.00868,Z
8,108440.0917,71416.84102,24596.95483,61113.64795,65067.96212,-4008.830072,-203.1997088,118102.5273,152867.0225,34868.38607,5574.167439,18303.73178,135172.3758,122093.476,145688.7821,57911.84997,Z
10,108261.5013,72108.38164,25398.30958,62024.43683,65624.20763,-3395.520555,603.2065276,117762.8926,147485.1695,34919.21394,5657.740612,18351.51981,135241.2415,122981.9579,145969.0283,58157.09331,Z
12,107900.61,71653.52364,24875.30111,61392.46361,65374.04691,-3804.088092,52.45954424,117616.4663,147588.8145,35137.1658,5854.994757,18736.57331,135607.9666,121523.73,146468.6568,58553.00975,Z
14,108935.764,71987.10108,25065.84973,61713.52407,65466.65018,-3668.100079,207.1336159,118519.0968,153191.5475,34831.37159,5541.198616,18165.28507,135242.9179,123243.965,145807.0228,57832.94831,Z
16,107855.7724,72166.58558,25408.94901,62001.28043,65807.82721,-3406.025875,554.7702974,117427.9964,144409.9494,35187.54663,5926.497987,18784.58485,135733.2257,122211.0238,146762.8058,58741.16674,Z
18,108770.3164,71798.89939,24805.83189,61403.37126,65411.03904,-3875.457212,-94.95021045,118504.4788,153202.0304,34977.44024,5678.505382,18434.44478,135531.8589,122408.4121,146194.1104,58098.26351,Z
20,108569.8212,72443.81427,25543.32769,62227.7036,65928.25841,-3317.535319,631.2579669,118040.5012,148066.4489,35016.33227,5750.61211,18459.92577,135585.0337,123364.6644,146451.6695,58321.0657,Z
22,108156.5598,71961.55303,25007.26581,61570.04822,65672.21918,-3732.316641,68.70926246,117838.5309,147830.5486,35196.085,5912.863423,18816.6149,135874.8017,121839.5602,146830.3081,58652.31856,Z
24,109225.2638,72285.2957,25189.7678,61887.01831,65750.94202,-3602.341247,216.0966654,118824.3769,153586.5922,34887.83209,5596.720349,18243.69499,135507.5625,123550.4074,146157.2076,57924.97044,Z
26,108175.2683,72480.47113,25557.83398,62203.40725,66105.03836,-3322.139778,591.4271583,117800.5106,144796.9028,35242.44252,5981.148002,18846.78976,135991.5672,122574.6644,147109.4813,58828.58441,Z
28,109044.4605,72078.09503,24910.12513,61542.28735,65678.88,-3829.636136,-110.037638,118788.9271,153550.2259,35045.34483,5743.928938,18507.66909,135809.5793,122772.9467,146573.4865,58209.68696,Z
30,108897.7437,72747.8427,25670.86675,62406.62931,66203.27427,-3245.339184,650.5251706,118445.6266,148488.1146,35061.54985,5794.533288,18502.63995,135823.9962,123737.7821,146766.7621,58387.22687,Z
32,108461.4823,72256.75252,25130.62508,61733.52888,65943.547,-3666.110774,83.12613763,118187.6428,148180.6887,35270.65042,5987.361787,18891.5603,136166.559,122252.531,147234.7405,58780.43875,Z
34,109491.6295,72553.159,25279.28654,62004.25321,66000.54395,-3562.353976,194.706046,119112.4239,153944.8236,34928.02053,5640.41801,18287.9738,135734.2763,123902.358,146457.5927,57984.56019,Z
36,108441.9916,72766.59581,25676.0747,62363.08811,66366.17379,-3256.693871,605.531109,118126.6449,145075.115,35293.38214,6027.594927,18904.25609,136234.9106,122919.6188,147434.1404,58908.71542,Z
38,109268.7603,72330.11095,24996.69343,61652.97319,65920.54706,-3792.465185,-134.2892807,119039.5125,153867.1737,35091.7247,5785.860811,18563.79432,136049.2794,123087.5922,146905.7005,58295.4059,Z
40,109173.8324,73026.05486,25799.27752,62569.26061,66466.19784,-3179.178021,672.2287145,118804.1486,148861.7911,35099.03373,5831.190149,18551.27735,136053.3474,124057.6356,147076.3114,58452.82924,Z
42,108717.5886,72525.91223,25254.63256,61880.71512,66195.18294,-3606.073988,91.15041389,118496.0521,148436.6385,35324.29461,6038.927262,18957.85558,136419.6255,122562.0803,147590.7591,58876.88653,Z
44,109833.0524,72836.51207,25427.63507,62190.10796,66261.21,-3485.91101,234.2239301,119549.6687,154410.3881,34990.29249,5700.76772,18359.70054,136014.6342,124253.7945,146854.0009,58101.34805,Z
46,108748.3893,73026.79247,25787.16287,62486.62621,66608.64551,-3215.834882,598.6467717,118410.445,145485.3365,35352.23429,6090.269219,18974.15,136516.7438,123317.167,147836.4271,59021.77054,Z
48,109623.1696,72603.22691,25147.36654,61825.28279,66178.06151,-3718.033876,-87.77530048,119443.1179,154101.04,35132.15901,5836.487512,18627.98853,136300.8259,123404.8752,147247.9504,58375.46985,Z
50,109582.467,73292.64412,25936.04784,62727.73447,66709.27307,-3117.844834,702.269459,119224.4508,149403.575,35164.59139,5903.587449,18631.69892,136354.7607,124461.2634,147497.3959,58579.11659,Z
52,109145.2669,72801.68805,25417.44267,62066.83809,66457.95005,-3525.11597,156.0598798,118939.3543,148826.0283,35394.79201,6120.891109,19048.26838,136731.7229,122989.7586,148037.1458,59024.09512,Z
54,110260.0825,73095.61349,25563.44426,62345.85492,66504.32992,-3423.77316,267.3939189,119976.3858,154813.2112,35057.21361,5781.636331,18458.45055,136321.9707,124643.8995,147285.9931,58236.93374,Z
56,109237.6914,73300.57899,25937.54541,62662.33327,66854.84998,-3140.017765,647.4406299,118904.9997,146092.2088,35407.91248,6165.37108,19045.87675,136803.6731,123772.025,148250.8732,59140.39125,Z
58,110058.1345,72860.47314,25281.4323,61967.19402,66424.46714,-3657.415945,-56.05817509,119838.5873,154465.1275,35205.0704,5929.895452,18731.52181,136610.107,123854.7264,147700.4838,58526.81351,Z
60,109979.367,73522.01772,26006.6123,62798.25423,66912.60688,-3108.345343,655.8001823,119523.3607,149921.3532,35198.29782,5955.465848,18685.32076,136591.5998,124865.4947,147832.6273,58643.33315,Z
62,109526.9229,73053.03342,25534.40935,62192.67841,66694.05153,-3475.27158,173.8071649,119290.9249,149034.8606,35417.88136,6163.784106,19100.72793,136948.9595,123357.8248,148334.9381,59073.93951,Z
64,110620.3703,73326.4176,25647.06214,62431.90914,66713.5199,-3399.610925,245.4892094,120281.9342,155169.7663,35099.9725,5839.393239,18530.91491,136575.6853,124984.6518,147634.5238,58319.27756,Z
66,109605.0646,73550.35973,26042.4198,62779.59052,67079.48501,-3100.656343,650.0334322,119230.1058,146414.0515,35432.87938,6204.71015,19095.47527,137027.7494,124121.4721,148553.0688,59189.31922,Z
68,110420.8139,73111.79615,25400.36594,62106.42303,66656.85822,-3604.375256,-32.65589865,120201.6244,154676.6197,35242.62133,5981.282113,18803.62854,136860.9383,124152.8316,148045.103,58604.32936,Z
70,110366.0074,73774.1901,26112.53722,62924.78745,67133.06214,-3067.106374,660.0023103,119881.3909,150383.6543,35243.58246,6013.312163,18756.98045,136859.3066,125213.1313,148208.986,58733.92477,Z
72,109913.0717,73312.96185,25652.9183,62333.60616,66919.35711,-3420.643916,189.9227726,119651.4362,149319.4654,35453.5771,6212.555613,19159.91535,137192.8841,123693.7044,148682.9771,59147.05207,Z
74,111019.2595,73577.96414,25746.70622,62556.65422,66927.64961,-3356.516761,240.9071017,120651.7661,155598.6515,35135.31061,5887.673007,18587.93421,136817.7324,125329.5392,147978.1372,58386.35515,Z
76,110003.708,73815.29496,26151.11633,62919.22187,67300.67787,-3045.291072,657.5436184,119599.1331,146841.2828,35476.10765,6258.466096,19150.28175,137278.4689,124510.9513,148908.5509,59265.60572,Z
78,110795.1833,73365.28729,25506.73789,62235.03497,66875.57004,-3546.975976,-22.01646829,120547.2941,154963.9961,35284.06147,6034.434561,18864.38058,137110.8308,124495.4615,148386.8612,58681.80051,Z
80,110774.0385,74046.88138,26234.15306,63083.37308,67362.81572,-2993.055045,692.0770636,120286.8516,150844.659,35286.54251,6069.258579,18812.61394,137118.2516,125581.6669,148551.6606,58811.44062,Z
82,110286.5246,73581.40631,25777.26105,62486.93913,67150.56356,-3347.374898,225.1267702,120005.4207,149621.728,35515.87141,6290.786718,19238.34762,137479.344,124063.5588,149072.0316,59263.50466,Z
84,111371.5901,73826.44848,25842.6399,62669.41877,67140.2147,-3310.62863,243.946939,120968.5574,155984.7109,35180.12585,5951.39783,18650.80966,137079.2031,125674.9631,148321.3929,58474.44337,Z
86,110375.0822,74091.40606,26280.01884,63077.74044,67532.309,-2974.994835,697.553241,119965.7464,147103.9381,35509.3894,6311.484434,19199.56734,137518.7054,124843.1206,149217.6085,59335.52198,Z
88,111171.3184,73637.79976,25635.28277,62391.89951,67106.19534,-3479.920743,12.09229375,120927.229,155348.7814,35340.94666,6111.928059,18934.92269,137386.9419,124844.417,148763.3987,58798.00723,Z
90,111180.3485,74356.34129,26403.73575,63298.55332,67617.51385,-2897.456634,766.2401517,120735.5628,151209.4171,35361.53261,6162.152429,18906.17834,137425.141,125963.7476,148964.2738,58953.53066,Z
92,110666.1243,73880.09267,25939.73588,62691.68111,67400.83604,-3260.068984,290.1032913,120402.7901,149937.4017,35595.19775,6385.848687,19336.22591,137791.8214,124430.2838,149503.3979,59423.43139,Z
94,111775.2849,74124.62075,26001.22553,62874.07134,67395.91865,-3228.105989,309.1693293,121387.2726,156451.5718,35267.36471,6048.739678,18757.62865,137408.0866,126059.7484,148767.6455,58641.20974,Z
96,110718.4274,74375.87671,26416.16332,63242.96454,67774.44545,-2915.002753,726.7446192,120266.0644,147417.4884,35572.39897,6385.424004,19277.84315,137796.4259,125197.1275,149583.8195,59449.15825,Z
98,111482.7453,73895.40361,25748.13673,62523.10425,67333.19966,-3438.458257,20.3624392,121190.242,155654.2627,35403.17391,6185.577057,19014.4949,137660.0579,125161.0294,149118.6573,58908.78247,Z
100,111511.8026,74613.31929,26499.33416,63419.45391,67832.06824,-2865.426584,763.1109074,121029.1977,151634.4803,35380.68806,6195.523583,18930.27352,137626.6197,126272.3134,149210.1206,58981.35859,Z
102,110979.6522,74133.87437,26033.81437,62806.94906,67611.43417,-3227.524844,285.9905703,120684.6679,150206.5391,35627.85365,6434.307269,19375.43087,138014.9365,124747.2316,149790.5954,59480.38363,Z
104,112079.0898,74362.53272,26068.25841,62961.3102,67592.50225,-3215.589013,279.9332476,121658.0417,156814.05,35277.80298,6081.082652,18771.7773,137590.8569,126363.3074,148994.6945,58651.84917,Z
106,111022.8358,74635.40281,26504.02802,63365.96618,67985.96001,-2883.218573,725.9399564,120564.2144,147689.2856,35596.4718,6428.540519,19306.36398,138001.0114,125522.9936,149840.9763,59481.05418,Z
108,111814.8922,74175.42627,25865.39398,62695.83853,67564.20494,-3377.102718,64.5071345,121594.2274,155907.8209,35441.19423,6241.121142,19061.8806,137890.9067,125458.7323,149419.2436,58972.19437,Z
110,111801.2576,74884.33419,26581.18624,63545.4954,68052.05411,-2836.03404,759.6687388,121303.4312,151998.5455,35435.62864,6263.875218,18990.8244,137885.7881,126611.5012,149556.3492,59069.51387,Z
112,111262.8712,74433.38775,26161.24167,62989.92044,67858.68917,-3158.592064,333.8009517,120999.8499,150305.5796,35672.35597,6491.706549,19430.9973,138250.1886,125001.0803,150091.2264,59549.51758,Z
